,E_lowest,E_highest,electronegativity,NUnfilled,NValance,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Atomic_radius,Van der waals radius,Atomic mass
Tb,-28.3257,0.0,1.1,5,11,0,0,5,9,0,0,0,2,1.75,2.33,158.92535
Dy,-28.8291,0.0,1.22,4,12,0,0,4,10,0,0,0,2,1.75,2.31,162.5
Ho,-29.304,0.0,1.23,3,13,0,0,3,11,0,0,0,2,1.75,2.3,164.93032
Er,-29.8074,0.0,1.24,2,14,0,0,2,12,0,0,0,2,1.75,2.29,167.259
Tm,-30.27,0.0,1.25,1,15,0,0,1,13,0,0,0,2,1.75,2.27,168.93421
Yb,-30.7652,0.0,1.1,0,16,0,0,0,14,0,0,0,2,1.75,2.26,173.04
Lu,-34.8143,-5.313,1.27,9,17,9,1,0,14,0,0,0,2,1.75,2.24,174.967
Hf,-33.7679,-6.0368,1.3,8,18,8,2,0,14,0,0,0,2,1.55,2.23,178.49
Ta,-7.9933,-6.3457,1.5,7,19,7,3,0,14,0,0,0,2,1.45,2.22,180.94788
W,-9.3077,0.0,2.36,6,20,6,4,0,14,0,0,0,2,1.35,2.18,183.84
Re,-10.6206,0.0,1.9,5,21,5,5,0,14,0,0,0,2,1.35,2.16,186.207
Os,-11.9336,0.0,2.2,4,22,4,6,0,14,0,0,0,2,1.3,2.16,190.23
Ir,-13.2588,0.0,2.2,3,23,3,7,0,14,0,0,0,2,1.35,2.13,192.217
Pt,-11.3921,0.0,2.28,2,24,1,9,0,14,0,0,1,1,1.35,2.13,195.084
Au,-12.5172,0.0,2.54,1,25,0,10,0,14,0,0,1,1,1.35,2.14,196.966569
Hg,-17.2833,0.0,2.0,0,26,0,10,0,14,0,0,0,2,1.5,2.23,200.59
Tl,-24.0059,-4.6164,1.62,5,27,0,10,0,14,5,1,0,2,1.9,1.96,204.3833
Pb,-30.7326,-5.777,2.33,4,28,0,10,0,14,4,2,0,2,1.8,2.02,207.2
Bi,-14.1812,-6.9838,2.02,3,29,0,10,0,14,3,3,0,2,1.6,2.07,208.9804
