,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm
H,4.371009349822998,5.869232177734375,3.3956573009490967,4.283441543579102,3.381131649017334,4.0695881843566895,4.752246856689453,5.157271862030029,5.644545555114746,5.136327266693115,2.732031345367432,3.639728546142578,3.4279184341430664,2.8428220748901367,3.7336254119873047,3.922944307327272,4.276764869689941,4.188085079193115,2.6524932384490967,2.994239330291748,2.714482545852661,2.721313953399658,2.795573234558105,2.861059188842773,2.8644964694976807,2.922907829284668,3.076355218887329,3.2186717987060547,3.29764175415039,3.248284816741944,3.686649799346924,2.935588836669922,3.5577025413513184,3.559401512145996,3.76216459274292,3.4728784561157227,4.153872966766357,2.866261482238769,2.8904364109039307,2.710949182510376,2.720651865005493,2.7061920166015625,2.685518503189087,2.7512669563293457,2.8410112857818604,2.75628399848938,2.920262575149536,2.8781847953796387,3.485626459121704,2.9896833896636963,3.052818536758423,3.0849900245666504,3.347311019897461,3.063974142074585,6.126279354095459,3.0695619583129883,2.787353992462158,3.205045223236084,2.803293943405152,2.730414867401123,2.6536061763763428,2.587886095046997,2.526662588119507,2.940554618835449,2.418412208557129,2.3861279487609863,2.3586244583129883,2.3414363861083984,2.335756301879883,2.3194942474365234,2.5631723403930664,2.567744255065918,2.492027521133423,2.356986284255981,2.386850357055664,2.400041341781616,2.456418752670288,2.5625662803649902,2.5831594467163086,2.4707908630371094,3.0076467990875244,2.909848213195801,2.891986846923828,3.094590663909912,3.050346851348877,2.8586251735687256,6.152930736541748,3.1108055114746094,2.620920896530152,2.6042640209198,3.34568190574646,3.2436039447784424,3.167747259140014,2.578716516494751,2.5150156021118164,2.9600729942321777,2.5972304344177246,2.572528839111328,2.550713300704956,2.533642053604126
He,6.535665988922119,6.635865688323975,4.8709588050842285,5.204496383666992,4.740830898284912,4.956751823425293,5.425975322723389,5.828515529632568,6.49672269821167,5.847113132476807,4.869381904602051,4.941761493682861,4.761459827423096,4.7213521003723145,4.787197113037109,4.834103107452393,4.989954948425293,4.992901802062988,5.126372814178467,4.512650012969971,4.511925220489502,4.52655839920044,4.510963439941406,4.6567912101745605,4.562790393829346,4.604998588562012,4.630868911743164,4.689782619476318,4.97629976272583,4.8647637367248535,4.60703706741333,4.944564342498779,4.889485359191895,4.863680839538574,4.890821933746338,4.846297264099121,7.760861873626709,4.576589584350586,4.2499542236328125,4.545612335205078,4.653608798980713,4.678236961364746,4.628424644470215,4.770438194274902,4.811999797821045,4.868203639984131,4.96001672744751,4.873359203338623,4.52329683303833,4.361074924468994,4.952605724334717,4.927781581878662,4.881387233734131,4.9263596534729,8.369977951049805,5.44439697265625,4.216898441314697,4.481733798980713,4.318300247192383,4.250739574432373,4.171088218688965,4.098368644714356,4.04941987991333,4.170318603515625,3.9773781299591056,3.947683572769165,3.9159927368164062,3.886121988296509,3.847325325012207,3.819617748260498,3.784026622772217,3.820068597793579,4.232903480529785,4.078167915344238,4.125526905059815,4.18242883682251,4.252830028533936,4.485968112945557,4.543659687042236,4.428592681884766,4.42460298538208,4.292301654815674,4.655734539031982,4.640582084655762,4.649142742156982,4.623301982879639,8.131711959838867,5.980520725250244,4.173725605010986,4.142017364501953,4.536133766174316,4.467575550079346,4.393136024475098,4.163325786590576,4.12349271774292,4.2394843101501465,4.156959533691406,4.152135848999023,4.130100727081299,4.1039581298828125
Li,2.920363187789917,3.0656447410583496,1.4409878253936768,1.7625606060028076,1.8903170824050903,1.823534607887268,1.941009759902954,2.1953978538513184,2.59824800491333,2.401315212249756,1.6179115772247314,1.7382152080535889,1.7869038581848145,1.742680549621582,1.8667001724243164,1.954930067062378,2.0547478199005127,2.213729858398437,4.175800800323486,2.5564069747924805,2.018015623092652,2.010563850402832,2.0298073291778564,2.023614883422852,2.040689468383789,2.0481536388397217,2.061439752578736,2.079193115234375,2.054943084716797,2.0928282737731934,2.011348009109497,2.076746940612793,2.082194805145264,2.1741111278533936,2.2281694412231445,2.3583459854125977,5.695691585540772,3.175652503967285,2.469038248062134,1.9863989353179927,1.9717999696731567,1.970056176185608,1.9613656997680664,1.9741644859313965,1.994325876235962,1.7279568910598757,2.00389051437378,2.040231227874756,2.005000829696656,2.1554713249206543,2.0939202308654785,2.1231470108032227,2.1875710487365723,2.235893964767456,4.227603912353516,4.910277366638184,2.5779924392700195,3.139293909072876,2.466893434524536,2.3418009281158447,2.199715614318848,2.050224781036377,1.9428327083587649,2.5990991592407227,1.7888039350509644,1.7275731563568115,1.69049072265625,1.6588373184204102,1.6179165840148926,1.5905441045761108,2.052587985992432,2.0637221336364746,2.1649363040924072,1.904739260673523,1.8874222040176392,1.8824248313903809,1.881202936172485,1.9182509183883667,1.9244616031646729,1.8717961311340328,2.065070629119873,2.1493639945983887,2.2441554069519043,2.223397254943848,2.306769371032715,2.364078998565674,3.9385039806365967,5.107326030731201,2.4568560123443604,2.430600643157959,2.7804818153381348,3.092335700988769,2.935366630554199,2.2062582969665527,2.1407761573791504,2.736903190612793,2.3298122882843018,2.3026440143585205,2.257472515106201,2.218292236328125
Be,4.031784057617188,4.149677753448486,1.872024178504944,2.01658582687378,1.9172217845916748,2.116551160812378,2.7672019004821777,3.2007827758789062,3.813633918762207,3.1846671104431152,1.97940993309021,1.928253054618836,1.835364580154419,2.049258232116699,1.947768926620484,2.0582313537597656,2.260277271270752,2.443321228027344,2.9954304695129395,2.3037302494049072,2.279238224029541,2.2401742935180664,2.216928243637085,2.2006077766418457,2.200810194015503,2.189270257949829,2.131309509277344,2.0977792739868164,2.093474864959717,2.170234680175781,2.012229681015014,2.2572007179260254,2.0429491996765137,2.1133861541748047,2.185230255126953,2.442883014678955,5.855217933654785,2.3510191440582275,2.352714776992798,2.2883338928222656,2.275782585144043,2.269317150115967,2.270615816116333,2.241180896759033,2.220086097717285,1.9775426387786863,2.232716560363769,2.313814163208008,1.9880987405776973,2.3293023109436035,2.2169039249420166,2.2605342864990234,2.215576648712158,2.466036319732666,5.246509075164795,3.5717358589172363,2.2031373977661133,2.853684902191162,2.21689510345459,2.143524408340454,2.067328929901123,1.9963661432266235,1.9380017518997192,2.618424415588379,1.8718253374099727,1.8708839416503904,1.86404287815094,1.8595843315124512,1.846624493598938,1.8354437351226809,2.335155963897705,2.33302903175354,2.334847927093506,2.0408618450164795,1.9991204738616943,1.9866691827774048,1.950905561447144,2.007488489151001,2.0233302116394043,2.0598480701446533,1.9456161260604856,2.056095600128174,2.213009834289551,2.117771625518799,2.2339766025543213,2.499153614044189,4.961852550506592,4.203817844390869,2.001156806945801,2.006164789199829,2.8394665718078613,2.9148826599121094,2.8344407081604004,1.9722527265548704,1.9096804857254028,2.605047702789306,2.075329065322876,2.044899702072144,2.025148391723633,2.0070464611053467
B,3.1395978927612305,3.206007480621338,2.1290557384490967,1.976536750793457,2.0706419944763184,2.2022202014923096,2.231499671936035,2.477649211883545,2.842313766479492,2.6711020469665527,2.196990728378296,2.1046361923217773,2.1550092697143555,2.11082124710083,2.2157435417175293,2.300790786743164,2.376699924468994,2.577248334884644,5.094681739807129,3.462059736251831,2.2844271659851074,2.2441155910491943,2.2440619468688965,2.255490303039551,2.2562015056610107,2.2773358821868896,2.3214619159698486,2.363030433654785,2.40322494506836,2.3949108123779297,2.3238844871521,2.375831127166748,2.455394983291626,2.5052032470703125,2.5806806087493896,2.646688938140869,6.130223274230957,4.250512599945068,3.0543904304504395,2.3332908153533936,2.297239065170288,2.287981510162353,2.271393060684204,2.274289608001709,2.2833685874938965,2.06845760345459,2.337400197982788,2.3931660652160645,2.279940605163574,2.501511573791504,2.391491413116455,2.4270360469818115,2.4943792819976807,2.581066131591797,4.574980735778809,5.904397964477539,3.2739782333374023,3.767174005508423,3.2248101234436035,3.048142671585083,2.8608193397521973,2.651103973388672,2.492269277572632,2.958434820175171,2.2328743934631348,2.1292245388031006,2.0711286067962646,2.01643967628479,1.9363415241241453,1.8905632495880127,2.208358764648437,2.2081260681152344,2.337160110473633,2.043191909790039,2.0277140140533447,2.0279552936553955,2.0469343662261963,2.122544765472412,2.1418941020965576,2.108558416366577,2.329040050506592,2.3449270725250244,2.4640214443206787,2.513090372085572,2.5445749759674072,2.5697615146636963,4.310006141662598,5.831608295440674,3.2384591102600098,3.17106294631958,3.054723262786865,3.671563625335693,3.450280904769897,2.961038112640381,2.896902322769165,3.379733800888061,3.084334373474121,3.057328701019287,3.002191066741944,2.9480159282684326
C,3.821183919906616,3.9898664951324463,2.214639186859131,2.311165332794189,2.3055319786071777,2.226379871368408,2.523769855499268,2.87699818611145,3.4807653427124023,2.9746811389923096,2.232774019241333,2.185572624206543,2.194198608398437,2.321218729019165,2.208021879196167,2.3004441261291504,2.435486078262329,2.654163360595703,4.546057224273682,2.9106597900390625,2.418370008468628,2.431258201599121,2.466367244720459,2.49680495262146,2.48068642616272,2.4925332069396973,2.48160457611084,2.4627580642700195,2.5073177814483643,2.5335066318511963,2.236053943634033,2.528710126876831,2.356282949447632,2.4483649730682373,2.4563379287719727,2.7112653255462646,6.813787460327148,3.2012505531311035,2.604526996612549,2.3700613975524902,2.405918836593628,2.417235851287842,2.4163286685943604,2.4603466987609863,2.4865522384643555,2.326352119445801,2.5145187377929688,2.480167388916016,2.2847893238067627,2.4535014629364014,2.561190366744995,2.5833327770233154,2.5625057220458984,2.6553988456726074,5.51862382888794,5.242289543151856,2.519301414489746,3.1526119709014893,2.6136107444763184,2.499605655670166,2.3770248889923096,2.250725746154785,2.1462442874908447,2.637136459350586,2.007906675338745,1.9660624265670776,1.9388000965118408,1.916810393333435,1.882534861564636,1.865688800811768,2.2642767429351807,2.285052537918091,2.3749170303344727,2.158414125442505,2.1739888191223145,2.188563585281372,2.208324670791626,2.296067714691162,2.312502861022949,2.2385008335113525,2.293308973312378,2.3677518367767334,2.5669915676116943,2.521087169647217,2.6100873947143555,2.659684419631958,5.198574066162109,5.862473487854004,2.387492179870605,2.3932530879974365,3.0361948013305664,3.0867068767547607,2.950534105300904,2.30851411819458,2.2407901287078857,2.71049165725708,2.338720321655273,2.304847478866577,2.2754323482513428,2.247221231460572
N,4.566421985626221,4.825607776641846,2.5930492877960205,3.049492835998535,2.6055965423583984,2.6531777381896973,3.178745746612549,3.7574734687805176,4.477824687957764,3.6755990982055664,2.6092123985290527,2.6282224655151367,2.549023389816284,2.584901571273804,2.5525598526000977,2.618475914001465,2.7613115310668945,2.9340710639953613,4.06037187576294,2.9733011722564697,2.613120555877685,2.602769136428833,2.598902940750122,2.656874179840088,2.595264196395874,2.6060004234313965,2.613289356231689,2.628995895385742,2.734732389450073,2.70811128616333,2.520759105682373,2.69474458694458,2.6552484035491943,2.6811861991882324,2.718344449996948,2.815778970718384,7.1294684410095215,3.117104768753052,2.653981685638428,2.567112922668457,2.634449958801269,2.644455909729004,2.633124351501465,2.6783885955810547,2.6878881454467773,2.624856948852539,2.7401063442230225,2.7337448596954346,2.4731104373931885,2.6294822692871094,2.689340829849243,2.70170259475708,2.69913911819458,2.839965581893921,6.44694709777832,4.652271747589111,2.5410521030426025,3.1028921604156494,2.6656713485717773,2.5635876655578613,2.457051515579224,2.3596315383911133,2.2841274738311768,2.6922428607940674,2.1863932609558105,2.161266803741455,2.141097068786621,2.1231436729431152,2.108107566833496,2.096429347991944,2.325486898422241,2.337000846862793,2.430229663848877,2.252063751220703,2.251908779144287,2.272024154663086,2.271986961364746,2.3757810592651367,2.4082961082458496,2.396230936050415,2.414766788482666,2.3953676223754883,2.527297019958496,2.5209217071533203,2.5727739334106445,2.7527403831481934,6.134553909301758,5.389721870422363,2.443403720855713,2.448657751083374,3.015887260437012,3.037281513214112,2.931119441986084,2.392661094665528,2.34051775932312,2.6687653064727783,2.4189627170562744,2.3968873023986816,2.377980709075928,2.359891653060913
O,5.039504051208496,5.423354148864746,3.4170169830322266,3.906968355178833,3.279150485992432,3.3976142406463623,3.871260643005371,4.355551242828369,5.112489223480225,4.297558784484863,3.3766536712646484,3.541072368621826,3.279762983322144,3.213587522506714,3.2435035705566406,3.259604215621948,3.376173734664917,3.4088501930236816,4.6191229820251465,3.4976966381073,3.044409990310669,3.0419862270355225,3.0585615634918213,3.19141149520874,3.1252310276031494,3.170146942138672,3.212017297744751,3.2607014179229736,3.448983669281006,3.314490556716919,3.107062101364136,3.239025354385376,3.364989757537842,3.3416008949279785,3.3690428733825684,3.290297031402588,7.603018283843994,3.685284376144409,3.023367166519165,3.037145137786865,3.131852149963379,3.166193008422852,3.138063907623291,3.240002155303955,3.269329786300659,3.2829062938690186,3.32377028465271,3.2917582988739014,3.055788278579712,3.0734434127807617,3.256576538085937,3.249565839767456,3.281124353408813,3.325575351715088,7.121649265289307,5.074305057525635,3.038511276245117,3.39467716217041,3.135176181793213,3.043855667114258,2.9472861289978027,2.8515825271606445,2.7843196392059326,2.911516666412353,2.697597980499268,2.671424865722656,2.656078338623047,2.642451286315918,2.6260361671447754,2.616130828857422,2.5395262241363525,2.5657827854156494,2.691312551498413,2.6232171058654785,2.672540664672852,2.716496229171753,2.7457075119018555,2.854872941970825,2.8834052085876465,2.849656105041504,2.8613553047180176,2.815688371658325,2.873243808746338,2.927119970321656,2.930508613586426,2.950379133224488,6.812780857086182,5.722898006439209,3.0158498287200928,3.010923147201538,3.2761764526367188,3.305327892303467,3.188744068145752,2.955146789550781,2.9203038215637207,2.9763412475585938,2.977184295654297,2.9713377952575684,2.955677032470703,2.941732883453369
F,6.091738224029541,6.182431221008301,4.804571628570557,5.281623840332031,4.516775608062744,4.66559362411499,4.904214382171631,5.195698261260986,5.824400424957275,5.408729076385498,4.459392070770264,4.965418815612793,4.619684219360352,4.349056243896484,4.540248394012451,4.483088493347168,4.5040202140808105,4.363419532775879,5.371768474578857,4.204995155334473,3.830443620681762,3.890762090682984,3.998201131820679,4.281500339508057,4.201757907867432,4.292429924011231,4.398843288421631,4.478511333465576,4.6764655113220215,4.515531539916992,4.138189792633057,4.279701232910156,4.586185455322266,4.469915866851807,4.489892482757568,4.276933193206787,7.803984642028809,4.466040134429932,3.681063652038574,3.942826986312866,4.1069111824035645,4.171254634857178,4.121029853820801,4.305481910705566,4.390713214874268,4.4836955070495605,4.442841529846191,4.286438465118408,4.085958003997803,3.83878231048584,4.34476900100708,4.31926155090332,4.41212272644043,4.176883220672607,7.892021179199219,5.586155414581299,3.806241989135742,3.897188186645508,3.88830041885376,3.824161529541016,3.757956027984619,3.685034275054932,3.646828651428223,3.4861650466918945,3.608736991882324,3.589951992034912,3.5808799266815186,3.570234775543213,3.546416759490967,3.5342159271240234,3.1622800827026367,3.200240135192871,3.5562238693237305,3.5250813961029053,3.569528341293335,3.605583667755127,3.6482789516448975,3.788010597229004,3.7966036796569824,3.739435911178589,3.768975973129273,3.6279492378234863,3.776643991470337,3.897679567337036,3.8427846431732178,3.670114040374756,7.67205810546875,6.191562652587891,3.833394050598145,3.820603847503662,3.751221656799317,3.818951368331909,3.722867250442505,3.823983669281006,3.814118385314941,3.626059055328369,3.8617429733276367,3.878631114959717,3.875570297241211,3.868748426437378
Ne,5.270858287811279,5.642768383026123,3.5339245796203613,3.823762178421021,3.5322790145874023,3.54819130897522,4.038174629211426,4.519852161407471,5.277559280395508,4.522759914398193,3.617518901824951,3.5606393814086914,3.492982864379883,3.534273862838745,3.435220718383789,3.4729700088500977,3.588956832885742,3.741490125656128,4.798546314239502,3.737846612930298,3.543793201446533,3.537929058074951,3.5281662940979004,3.597135305404663,3.519932270050049,3.5249361991882324,3.528337240219116,3.5480737686157227,3.722378015518189,3.62391996383667,3.363161325454712,3.675627231597901,3.641469955444336,3.63935661315918,3.647907257080078,3.70200252532959,7.709892272949219,3.9065873622894287,3.4695358276367188,3.51261830329895,3.594360828399658,3.5983567237854004,3.559070110321045,3.624568939208984,3.614922523498535,3.5593769550323486,3.677386283874512,3.656515836715698,3.347752571105957,3.439188003540039,3.657795906066896,3.655028104782105,3.654520273208618,3.760963201522827,7.184352397918701,5.1896514892578125,3.3777835369110107,3.914863348007202,3.524599552154541,3.41617751121521,3.310163974761963,3.213228464126587,3.128375768661499,3.4675326347351074,3.003241062164306,2.961148262023926,2.930821895599365,2.909154891967773,2.893102169036865,2.880760669708252,3.07645320892334,3.100222110748291,3.3113393783569336,3.160153865814209,3.1811437606811523,3.212076425552368,3.2400941848754883,3.377072334289551,3.4207651615142822,3.343486785888672,3.313236951828003,3.2618560791015625,3.548117160797119,3.502000331878662,3.541245460510254,3.672561645507813,6.836716175079346,5.947673797607422,3.322101593017578,3.308061122894287,3.833264827728272,3.852323055267334,3.7615835666656494,3.2702882289886475,3.204949378967285,3.480430126190185,3.235360860824585,3.208765983581543,3.1801183223724365,3.1547441482543945
