,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm
H,4.697591781616211,5.982058048248291,2.798728704452514,3.317241668701172,3.025725841522217,3.5492186546325684,4.104403972625732,4.724792957305908,5.462903499603272,4.744744300842285,2.350594997406006,2.9857425689697266,2.8790652751922607,2.723251342773437,3.256354808807373,3.54629135131836,3.898641347885132,4.225931644439697,3.169095993041992,3.914441585540772,2.60014271736145,2.5308947563171387,2.515207290649414,2.537593364715576,2.5411252975463867,2.5924999713897705,2.710930109024048,2.8429744243621826,2.8977608680725098,3.021174430847168,3.0811595916748047,2.519949436187744,2.924818277359009,3.009274482727051,3.2457385063171387,3.302393913269043,5.17354154586792,3.3626463413238525,3.0196187496185303,2.55649733543396,2.531679630279541,2.480924367904663,2.440670251846313,2.4653007984161377,2.522883653640747,2.2595534324646,2.66597843170166,2.7095327377319336,2.881618022918701,3.01918888092041,2.611982107162476,2.693372964859009,2.92757248878479,2.866642475128174,5.449875831604004,4.073978900909424,2.747894287109375,3.5289835929870605,2.8773014545440674,2.746066093444824,2.582504987716675,2.437634229660034,2.288144826889038,2.854560136795044,2.03979229927063,1.9705814123153689,1.9136459827423096,1.868960976600647,1.827683925628662,1.791511058807373,1.996368646621704,2.0033721923828125,2.143958806991577,1.8501789569854736,1.8334107398986816,1.830177903175354,1.8518593311309808,1.9863312244415283,2.008144855499268,1.8810720443725584,2.155519962310791,2.1722500324249268,2.271079540252685,2.365553617477417,2.389472723007202,2.295565605163574,5.3771138191223145,4.145015239715576,2.5061209201812744,2.517775535583496,3.7945499420166016,3.5375289916992188,3.3877415657043457,2.363266944885254,2.2158238887786865,2.914198398590088,2.3106188774108887,2.20640516281128,2.1320619583129883,2.0593106746673584
He,5.982058525085449,6.972167491912842,3.985210418701172,4.5903849601745605,4.296755790710449,4.852649211883545,5.4373884201049805,6.012090682983398,6.652961730957031,5.927608013153076,3.691058158874512,4.237577438354492,4.102357387542725,4.06449031829834,4.490474224090576,4.784404754638672,5.173095226287842,5.398534774780273,5.519843101501465,5.380187511444092,3.7530694007873535,3.715711116790772,3.713610410690308,3.820112466812134,3.7748594284057617,3.828548431396485,3.905395984649658,3.998274564743042,4.108782768249512,4.20348072052002,4.26953649520874,3.9108619689941406,4.098477363586426,4.1713690757751465,4.430108547210693,4.482126235961914,7.551841259002685,5.211560726165772,4.443984508514404,3.77626633644104,3.81969165802002,3.8111188411712646,3.7709920406341553,3.84179949760437,3.8880245685577393,3.6244423389434814,4.042881965637207,4.14693546295166,4.074615001678467,4.364264965057373,3.9385323524475098,3.996782541275024,4.102036952972412,4.2259721755981445,7.206108570098877,6.426909446716309,4.190551280975342,4.633431434631348,4.288904666900635,4.165596961975098,4.013885021209717,3.839040756225586,3.6722989082336426,3.9815731048583984,3.3770668506622314,3.2631022930145264,3.1573326587677,3.051445245742798,2.948816537857056,2.867631435394287,2.995980739593506,3.0078845024108887,3.1715643405914307,2.769993543624878,2.7555763721466064,2.7616677284240723,2.778862714767456,2.981955051422119,3.017369747161865,2.8830246925354004,3.006725549697876,3.089128494262696,3.2217049598693848,3.207550525665283,3.2832820415496826,3.3516499996185303,7.0125603675842285,6.550012111663818,3.99821662902832,4.059162616729736,4.666008949279785,4.583714962005615,4.419332027435303,3.831683874130249,3.6768760681152335,4.012828350067139,3.867475509643554,3.735254287719727,3.6373984813690186,3.5443832874298096
Li,2.7987284660339355,3.985210418701172,1.4475258588790894,1.5996675491333008,1.834167718887329,1.9136508703231807,2.209970474243164,2.6725611686706543,3.317570686340332,2.9338557720184326,1.5525950193405151,1.4956166744232178,1.6403640508651731,1.7400774955749512,1.771633505821228,1.962538242340088,2.1799449920654297,2.493150472640991,3.685748815536499,3.466714859008789,1.9876608848571773,1.9730185270309448,1.998616933822632,2.0208816528320312,1.9891691207885744,1.978037476539612,1.9884766340255733,1.9993932247161863,2.0348057746887207,2.036982536315918,1.663557529449463,1.9700080156326287,1.9729862213134768,2.0308165550231934,2.073507785797119,2.254617691040039,5.003806591033936,3.627814769744873,2.5159568786621094,1.958534598350525,1.9772526025772093,1.9695475101470947,1.912068247795105,1.952371597290039,1.970618486404419,1.503692865371704,1.972969651222229,1.9859825372695925,1.651885151863098,2.1221601963043213,2.0251214504241943,2.0239293575286865,2.085421562194824,2.1721291542053223,3.761634588241577,4.602391719818115,2.41088604927063,3.129402637481689,2.604116916656494,2.442712783813477,2.240971565246582,2.009028434753418,1.8024992942810056,2.262756586074829,1.512160062789917,1.4088834524154663,1.3485796451568604,1.300408959388733,1.2334072589874268,1.196279525756836,1.4304306507110596,1.4368761777877808,1.801249623298645,1.4221971035003662,1.388561129570007,1.3614788055419922,1.3605387210845947,1.4724024534225464,1.468159317970276,1.3056573867797852,1.56170392036438,1.5069994926452637,1.8926095962524407,1.9308888912200928,1.9807229042053225,1.8966917991638184,3.569443225860596,4.499392509460449,2.234791040420532,2.2788686752319336,3.0395712852478027,3.0392677783966064,2.8282957077026367,2.0670015811920166,1.90352725982666,2.4323792457580566,2.075671434402466,1.9759347438812256,1.9081956148147583,1.846362829208374
Be,3.317241668701172,4.5903849601745605,1.5996674299240112,2.029280662536621,1.9372342824935915,2.17830753326416,2.7444167137146,3.355748653411865,4.065368175506592,3.473571300506592,1.6604535579681396,1.6739187240600586,1.7248022556304932,1.8827009201049805,1.9518256187438965,2.16200590133667,2.464174270629883,2.755953550338745,3.4402570724487305,3.123256206512451,2.153545379638672,2.12319016456604,2.1170520782470703,2.117316961288452,2.0802690982818604,2.0593223571777344,1.992682218551636,1.944361925125122,1.9846200942993164,2.039538145065308,1.771119236946106,2.0648136138916016,1.8696706295013428,1.9564907550811768,2.0907111167907715,2.313261270523072,5.2626776695251465,3.118002891540528,2.4142093658447266,2.1715962886810303,2.1809322834014893,2.1864562034606934,2.139126300811768,2.1256182193756104,2.088702440261841,1.629215955734253,2.0812792778015137,2.128896951675415,1.709802269935608,2.0220301151275635,2.0591328144073486,2.082763671875,2.053783416748047,2.291597843170166,4.487320899963379,4.24091386795044,2.153230667114258,3.1168372631073,2.425868034362793,2.295377254486084,2.127425193786621,1.9467843770980835,1.777537822723389,2.442249298095703,1.5404518842697144,1.460593581199646,1.397152066230774,1.3446719646453855,1.2905691862106323,1.2519125938415527,1.5810428857803345,1.5930914878845217,1.988721251487732,1.6238373517990112,1.5829122066497805,1.566566824913025,1.5449957847595217,1.6209299564361572,1.62891948223114,1.5652530193328855,1.6111228466033936,1.6401163339614868,1.9601073265075684,1.8892861604690552,1.9977734088897705,2.1549246311187744,4.284078121185303,4.389777660369873,1.9061633348464968,1.949274539947509,3.123114824295044,3.0590593814849854,2.9030327796936035,1.933079719543457,1.772001028060913,2.408269166946411,1.8353078365325928,1.7246553897857666,1.6608246564865112,1.611476182937622
B,3.025726318359375,4.296756744384766,1.834167242050171,1.9372342824935915,2.1205782890319824,2.163398742675781,2.502817392349243,3.0231733322143555,3.675439357757568,3.2849717140197754,2.1403796672821045,1.8900659084320068,1.9669513702392576,2.115344524383545,2.0246944427490234,2.2282447814941406,2.472105026245117,2.86384654045105,4.231503963470459,4.24483585357666,2.260131597518921,2.206608295440674,2.184293031692505,2.22832989692688,2.1370768547058105,2.1290690898895264,2.129900932312012,2.152890920639038,2.272178888320923,2.258218288421631,1.88956356048584,2.160940170288086,2.1573410034179688,2.1972599029541016,2.256687641143799,2.5275495052337646,5.394145011901856,4.356189250946045,3.193251609802246,2.269911289215088,2.252286672592163,2.214024305343628,2.142373323440552,2.1626272201538086,2.1655139923095703,1.8020271062850952,2.219567060470581,2.361687660217285,1.88535749912262,2.678293228149414,2.1934123039245605,2.231853485107422,2.265615701675415,2.4991579055786133,4.18390417098999,5.248742580413818,3.102423667907715,3.623363494873047,3.2963790893554688,3.106712818145752,2.8882744312286377,2.6424429416656494,2.425811767578125,2.80583119392395,2.0981123447418213,1.956514596939087,1.8747398853302,1.7931921482086182,1.6795856952667236,1.622630596160889,1.7482049465179443,1.73482346534729,2.0039424896240234,1.6088861227035522,1.564672827720642,1.5413360595703125,1.5330780744552612,1.6793262958526611,1.6880154609680176,1.5934463739395142,1.7189671993255615,1.6665914058685305,2.08817458152771,2.125595808029175,2.147230625152588,2.1485297679901123,4.020493507385254,5.023926258087158,2.874859571456909,2.9339375495910645,3.3333864212036133,3.549337387084961,3.344926357269287,2.716880798339844,2.558228015899658,3.02185606956482,2.78554105758667,2.671879768371582,2.576945304870605,2.482456922531128
C,3.5492186546325684,4.852649688720703,1.9136508703231807,2.17830753326416,2.163398504257202,2.446220874786377,2.976803779602051,3.5640997886657715,4.244598388671875,3.654696941375733,2.0555694103240967,1.9653475284576416,1.96802818775177,2.1251299381256104,2.1914308071136475,2.43046236038208,2.780804395675659,3.025557518005371,4.431955814361572,4.049614429473877,2.330783128738404,2.2916336059570312,2.275723695755005,2.318370819091797,2.208083152770996,2.1889092922210693,2.1667442321777344,2.1716055870056152,2.258880615234375,2.2736802101135254,1.9722893238067627,2.1953213214874268,2.056867837905884,2.160290241241455,2.27057147026062,2.536882400512696,5.953783988952637,4.132993221282959,2.9537124633789062,2.2932021617889404,2.336728096008301,2.3018574714660645,2.209578037261963,2.2292122840881348,2.2167327404022217,1.9231665134429927,2.2459945678710938,2.329596519470215,1.9066420793533323,2.535334587097168,2.201112985610962,2.215940475463867,2.256445407867432,2.4811694622039795,4.8649067878723145,5.306738376617432,2.750282526016236,3.5046820640563965,3.025789737701416,2.873394012451172,2.6905438899993896,2.4714550971984863,2.279981851577759,2.651695728302002,1.980991244316101,1.8624225854873653,1.7857216596603394,1.7220802307128906,1.6511186361312866,1.6119554042816162,1.7716585397720337,1.768709421157837,2.047077417373657,1.687009334564209,1.6595746278762815,1.645359992980957,1.6549687385559082,1.7936612367630005,1.802626371383667,1.6564302444458008,1.7732088565826416,1.750786066055298,2.153850078582764,2.1476221084594727,2.2080326080322266,2.229810237884521,4.646336078643799,5.330782890319824,2.573514461517334,2.677537679672241,3.369675636291504,3.375781536102295,3.16759729385376,2.502064943313598,2.3328208923339844,2.7292401790618896,2.4897522926330566,2.379711389541626,2.3003358840942383,2.24067497253418
N,4.104403972625732,5.437386989593506,2.209970474243164,2.7444167137146,2.5028181076049805,2.976803541183472,3.5920376777648926,4.196428298950195,4.906029224395752,4.188332557678223,2.286821126937866,2.3346285820007324,2.341280937194824,2.3576319217681885,2.6934926509857178,2.97305679321289,3.364152908325196,3.6316282749176025,4.57263708114624,4.183384418487549,2.4301156997680664,2.359338998794556,2.329139709472656,2.33740758895874,2.2783918380737305,2.269813060760498,2.2620530128479004,2.284074068069458,2.347710609436035,2.452080249786377,2.4124765396118164,2.2541756629943848,2.281208276748657,2.4077603816986084,2.59543514251709,2.7882561683654785,6.381702899932861,4.213401317596436,3.1220223903656006,2.4138617515563965,2.4135782718658447,2.374605655670166,2.311070919036865,2.298678159713745,2.285605430603028,2.032262325286865,2.3635292053222656,2.485375165939331,2.278323173522949,2.767301559448242,2.2780394554138184,2.3376054763793945,2.4231438636779785,2.63353967666626,5.598075866699219,5.481518268585205,2.843032121658325,3.619922876358032,3.101958513259888,2.949023962020874,2.773358106613159,2.579401016235352,2.415855407714844,2.8257641792297363,2.151271104812622,2.049698829650879,1.975213527679444,1.9210857152938845,1.846813440322876,1.7942214012145996,1.95305597782135,1.939957976341248,2.1713685989379883,1.7866220474243164,1.7521984577178955,1.7369152307510376,1.7276134490966797,1.872035026550293,1.890419006347656,1.790937423706055,1.8695635795593264,1.88565731048584,2.1937053203582764,2.127174139022827,2.2088265419006348,2.337200164794922,5.367032527923584,5.548247337341309,2.6628072261810303,2.775364875793457,3.519679307937622,3.4874911308288574,3.3046576976776123,2.6049389839172363,2.4632577896118164,2.8391780853271484,2.6158933639526367,2.495547294616699,2.423149585723877,2.3566393852233887
O,4.724792957305908,6.012088775634766,2.672560930252075,3.355748653411865,3.0231728553771973,3.564098834991455,4.196427345275879,4.80897331237793,5.51874303817749,4.767314910888672,2.668030261993408,2.874629020690918,2.847470283508301,2.786620855331421,3.264139175415039,3.560465097427368,3.961265563964844,4.225980281829834,5.068943500518799,4.725354671478272,2.6551201343536377,2.592928886413574,2.5757431983947754,2.5793991088867188,2.55632758140564,2.573217868804932,2.6080667972564697,2.687082529067993,2.745300531387329,2.907855033874512,2.991584062576294,2.579381465911865,2.7159643173217773,2.858238935470581,3.092216968536377,3.2500991821289062,6.930770397186279,4.714585781097412,3.5912086963653564,2.627572059631348,2.6260364055633545,2.592618465423584,2.554154396057129,2.575625419616699,2.596486568450928,2.401766777038574,2.7350876331329346,2.905683279037476,2.831162452697754,3.317932605743408,2.6103298664093018,2.6947181224823,2.8291306495666504,3.030080318450928,6.211649894714356,6.00832462310791,3.297182321548462,3.914557456970215,3.5242435932159424,3.376258373260498,3.200352668762207,3.00220251083374,2.8373708724975586,3.11643385887146,2.5732944011688232,2.475553512573242,2.4113545417785645,2.3551230430603027,2.2789502143859863,2.2278828620910645,2.2372422218322754,2.214017391204834,2.257115602493286,1.8960014581680296,1.868096947669983,1.863326072692871,1.869885921478272,2.0054712295532227,2.0457980632781982,2.003993034362793,2.099581003189087,2.1381406784057617,2.306994915008545,2.283397912979126,2.3734824657440186,2.5122811794281006,5.979411602020264,6.069436550140381,3.150479555130005,3.291334629058838,3.756614208221436,3.766592979431152,3.581687688827514,3.03767991065979,2.9131784439086914,3.135805130004883,3.1333281993865967,3.011765956878662,2.933468818664551,2.8689448833465576
F,5.462903499603272,6.652961254119873,3.317570924758911,4.06536865234375,3.67543888092041,4.244598388671875,4.906029224395752,5.518742084503174,6.23448371887207,5.435298919677734,3.122868061065674,3.546546697616577,3.495497941970825,3.38297963142395,3.9431777000427246,4.258664131164551,4.6706318855285645,4.942647457122803,5.5806427001953125,5.326943397521973,3.0008115768432617,2.953752517700196,2.947253465652466,2.965120553970337,2.980589866638184,3.0348429679870605,3.1225388050079346,3.250033378601074,3.301152467727661,3.505133628845215,3.740590810775757,3.072150230407715,3.339905023574829,3.474693298339844,3.751636505126953,3.876465797424317,7.497797012329102,5.205210208892822,4.118832588195801,2.9875144958496094,3.002472400665283,2.98069715499878,2.9645023345947266,2.990285873413086,3.047778844833374,2.9189043045043945,3.244173526763916,3.4503602981567383,3.5409984588623047,3.978956937789917,3.122206211090088,3.224113941192627,3.38712215423584,3.530397891998291,6.912899971008301,6.54209566116333,3.8145768642425537,4.274029731750488,4.08090877532959,3.934861183166504,3.7587716579437256,3.563551902770996,3.4041647911071777,3.461535930633545,3.161853790283203,3.06491494178772,2.9933249950408936,2.9289422035217285,2.8521761894226074,2.7973568439483643,2.599841594696045,2.5851528644561768,2.436582326889038,2.105990171432495,2.09981656074524,2.1109116077423096,2.143063545227051,2.300177812576294,2.346543550491333,2.323878765106201,2.4997031688690186,2.598179578781128,2.550654411315918,2.607980728149414,2.6912224292755127,2.768289804458618,6.685609817504883,6.608786106109619,3.695812225341797,3.8481557369232178,4.07504415512085,4.087366580963135,3.896533727645874,3.596416473388672,3.478874444961548,3.4986319541931152,3.696694850921631,3.5861544609069824,3.504600763320923,3.4335877895355225
Ne,4.744743824005127,5.927608013153076,2.933855533599853,3.4735701084136963,3.284971237182617,3.654696941375733,4.188333988189697,4.767314910888672,5.435299396514893,4.855199813842773,2.98729944229126,3.107544422149658,3.101850986480713,3.093177556991577,3.368445634841919,3.59790301322937,3.937580823898315,4.155726909637451,5.033443450927734,4.687020778656006,3.1506435871124268,3.106396436691284,3.074825048446656,3.11042594909668,3.033179759979248,3.042527675628662,3.044175624847412,3.0782861709594727,3.1684842109680176,3.26374888420105,3.117983818054199,3.071485757827759,3.1112847328186035,3.210463523864746,3.35706114768982,3.571280002593994,6.956921100616455,4.618907451629639,3.7261147499084473,3.150115966796875,3.199016571044922,3.160391569137573,3.066845893859864,3.0959341526031494,3.084633111953736,2.800629138946533,3.183103561401367,3.301908493041992,3.011027336120605,3.370098114013672,3.0907702445983887,3.161992073059082,3.2381668090820312,3.4753310680389404,6.160183906555176,5.914431095123291,3.514478206634521,4.241520404815674,3.773296356201172,3.609796047210693,3.4006872177124023,3.172508716583252,2.9798343181610107,3.368797540664673,2.671304702758789,2.549750566482544,2.453314781188965,2.376455783843994,2.2853291034698486,2.221274852752685,2.412728786468506,2.4158992767333984,2.8151330947875977,2.4048867225646973,2.3742823600769043,2.3549654483795166,2.344347715377808,2.488247871398926,2.5059115886688232,2.402543544769287,2.3717174530029297,2.371668577194214,2.795228958129883,2.737549304962158,2.809654474258423,2.9466586112976074,5.925405025482178,6.050183296203613,3.3601927757263184,3.41438627243042,4.059920787811279,4.08970832824707,3.900037050247192,3.219513416290283,3.068589210510254,3.411994695663452,3.1999261379241943,3.0684165954589844,2.96109676361084,2.861321449279785
