,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm
H,10.127689361572266,10.5009126663208,5.027776718139648,6.517379283905029,5.314457893371582,6.617712020874023,8.057437896728516,9.436413764953612,11.21172046661377,8.629822731018066,3.938554286956787,5.487653255462647,5.2735700607299805,4.8481550216674805,6.074389934539795,6.573871612548828,7.457239627838135,7.766788959503174,3.532515525817871,5.557487487792969,3.96797513961792,4.126361846923828,4.331459045410156,4.434300899505615,4.655840396881104,4.844377517700195,5.121387481689453,5.39193868637085,5.344202995300293,5.702730655670166,6.86051082611084,5.402163982391357,6.326056480407715,6.5233259201049805,7.1306328773498535,7.1065826416015625,5.454147338867188,4.668549537658691,5.228548526763916,3.899566650390625,4.1238322257995605,4.239075183868408,4.375855445861816,4.56624698638916,4.767903804779053,4.45510721206665,5.112819194793701,5.339991092681885,6.442353248596191,6.557262420654297,5.570616245269775,5.798362255096436,6.273237705230713,6.148788928985596,5.550937175750732,4.782445430755615,4.208870887756348,4.560527801513672,4.0693440437316895,4.005242824554443,3.924636125564575,3.8715224266052246,3.818595170974731,4.73008394241333,3.779450416564941,3.804751396179199,3.8276212215423584,3.847780227661133,3.8923747539520255,3.927136898040772,4.721321105957031,4.812394142150879,4.149417400360107,3.88193416595459,4.006385326385498,4.113945007324219,4.290286540985107,4.545791149139404,4.66155481338501,4.545264720916748,5.904909610748291,6.1610426902771,5.573451042175293,5.935269355773926,5.997037887573242,5.8008646965026855,5.482868671417236,4.252935409545898,3.689231634140015,3.929731607437134,5.538707256317139,4.745306015014648,4.695980548858643,3.6050310134887695,3.4991350173950195,4.2275567054748535,3.961023330688477,3.877668619155884,3.866080522537232,3.860330820083618
He,10.5009126663208,10.6160306930542,6.6871113777160645,7.902078151702881,6.76768970489502,7.6938323974609375,8.784852981567383,9.64665985107422,10.985486030578612,9.422829627990724,5.311584949493408,7.034392833709717,6.769687175750732,6.098512172698975,7.26599645614624,7.557373046875,8.084654808044434,8.185587882995605,5.455471992492676,6.045534610748291,5.022505283355713,5.249753475189209,5.539583683013916,5.777531147003174,5.936570167541504,6.152567863464356,6.478277206420898,6.754206657409668,6.921477317810059,7.0124616622924805,7.694355010986328,6.525012969970703,7.581443309783935,7.676326751708984,8.111526489257812,7.76513147354126,6.869897842407227,5.478394031524658,5.540095806121826,4.899770259857178,5.247140407562256,5.399418354034424,5.507824420928955,5.81561803817749,6.077975749969482,5.906397819519043,6.398836135864258,6.294002056121826,7.388746738433838,6.885462284088135,6.78728723526001,6.929516315460205,7.410282611846924,6.862301349639893,6.240870475769043,5.957032203674316,4.931358337402344,5.209137916564941,4.791231632232666,4.7122721672058105,4.621139049530029,4.571321964263916,4.539517879486084,5.173182010650635,4.539243698120117,4.572018623352051,4.5940656661987305,4.623214721679688,4.6676225662231445,4.705737590789795,5.095906734466553,5.186617374420166,5.008396148681641,4.853106021881104,5.0222930908203125,5.138440132141113,5.3489089012146,5.627041816711426,5.738093852996826,5.484143257141113,6.938143253326416,6.940934658050537,6.580740451812744,6.9960761070251465,6.958990573883057,6.543846607208252,6.060557842254639,6.059786319732666,4.585771083831787,4.73031759262085,6.059215068817139,5.343010425567627,5.265590667724609,4.430337429046631,4.379683017730713,5.041215419769287,4.757797718048096,4.74254846572876,4.753006935119629,4.761430740356445
Li,5.027777194976807,6.6871113777160645,2.5736470222473145,3.1116180419921875,2.888745307922364,3.599827289581299,4.718764305114746,5.903748989105225,7.454614162445068,5.347630023956299,2.617597818374634,2.603559255599976,2.7181975841522217,2.904214382171631,3.2264325618743896,3.625397682189941,4.303925037384033,4.626945495605469,4.721856594085693,4.469249248504639,2.745530843734741,2.7399935722351074,2.7755613327026367,2.756281852722168,2.8763132095336914,2.936189651489258,2.988781452178955,3.097632884979248,3.08801007270813,3.373335123062134,3.9588522911071777,3.531028509140014,3.692571878433228,3.896985530853272,4.2899699211120605,4.534236431121826,5.972815036773682,4.663010120391846,4.430825233459473,2.912162065505981,2.8732247352600098,2.9127492904663086,2.9797825813293457,2.946899890899658,2.9736926555633545,2.734147548675537,3.161774158477783,3.523998737335205,3.767745018005371,4.5914483070373535,3.5388731956481934,3.70615291595459,3.904413938522339,4.239091873168945,4.174265384674072,5.805609226226807,4.139109134674072,4.498608112335205,3.614949941635132,3.4854321479797363,3.3328564167022705,3.174753427505493,3.078848123550415,4.215878009796143,2.979744434356689,2.9066171646118164,2.863330364227295,2.8304715156555176,2.776063680648804,2.761370897293091,3.623635768890381,3.651515007019043,3.1948070526123047,2.7639360427856445,2.800532817840576,2.8718924522399902,2.931050539016724,3.134563684463501,3.25040054321289,3.329795360565185,3.874318599700928,4.205270290374756,4.037402629852295,4.1648359298706055,4.309958934783936,4.537064075469971,3.8233211040496826,5.621606826782227,3.710667133331299,3.849184513092041,4.235421657562256,4.691255569458008,4.519937515258789,3.271043300628662,3.227821588516236,4.263026714324951,3.734600067138672,3.7064907550811768,3.67931866645813,3.650147438049317
Be,6.517379283905029,7.902077198028564,3.1116180419921875,3.918716430664064,3.536871671676636,4.536617755889893,5.744904041290283,7.008002758026123,8.737019538879395,6.406661510467529,2.475477933883667,3.346699476242065,3.4463703632354736,3.122389316558838,4.093918800354004,4.600329875946045,5.408682346343994,5.76196813583374,4.0297465324401855,4.1880292892456055,2.742575168609619,2.841698169708252,2.980083703994751,3.015245199203491,3.1723227500915527,3.298018455505371,3.492227554321289,3.673020839691162,3.722303628921509,3.9065189361572266,4.938509464263916,3.738777875900269,4.495558738708496,4.694941520690918,5.264503002166748,5.16138219833374,6.292803287506104,3.9153432846069336,4.014373779296875,2.7099592685699463,2.8114445209503174,2.8839714527130127,2.978354454040528,3.071594715118408,3.21008825302124,2.962438106536865,3.4276766777038574,3.568767070770264,4.546411037445068,4.745426654815674,3.90710973739624,4.047764301300049,4.478480815887451,4.343144416809082,4.911184787750244,5.078084945678711,3.5737290382385254,3.958176612854004,3.1337690353393555,3.0165069103240967,2.893747329711914,2.7794222831726074,2.699988842010498,3.7529568672180176,2.6177191734313965,2.593678951263428,2.587714672088623,2.593247652053833,2.598832607269287,2.614983558654785,3.519059181213379,3.5456814765930176,3.1886987686157227,2.7871336936950684,2.876265048980713,2.98060941696167,3.1296586990356445,3.342871904373169,3.4443960189819336,3.3287739753723145,4.3416748046875,4.543787956237793,4.310982704162598,4.587972640991211,4.6482834815979,4.561579704284668,4.634289741516113,5.204939365386963,3.129286766052246,3.214066743850708,4.2342915534973145,4.153123378753662,3.996776342391968,2.791386365890503,2.742382287979126,3.789376974105835,3.1593222618103027,3.135875940322876,3.1292877197265625,3.1214258670806885
B,5.31445837020874,6.767689228057861,2.88874626159668,3.5368714332580566,3.6559340953826895,3.822155714035034,4.874757766723633,5.949627876281738,7.424581050872803,5.39459228515625,3.596352815628052,3.0560073852539062,3.19012451171875,3.683194398880005,3.525362491607666,3.851325750350952,4.411592483520508,4.787250518798828,5.207385540008545,5.222249031066895,3.4841036796569824,3.432098388671875,3.4059860706329346,3.4223074913024902,3.502102851867676,3.556633949279785,3.572669506072998,3.6303188800811768,3.631326675415039,3.918966054916382,4.193293571472168,4.228374481201172,4.054924488067627,4.25516414642334,4.545510768890381,4.9255547523498535,5.994486331939697,5.470510482788086,5.0339837074279785,3.6711931228637695,3.6458795070648193,3.667282104492188,3.701704263687134,3.6660268306732178,3.6738319396972656,3.4667084217071533,3.8788113594055176,4.213903903961182,4.119532585144043,5.118343830108643,4.171233654022217,4.273204326629639,4.331053733825684,4.779752254486084,4.033351421356201,6.299552917480469,4.845877170562744,5.07888126373291,4.464704990386963,4.344186782836914,4.198782444000244,4.027019500732422,3.904062747955322,4.744818210601807,3.7416188716888414,3.668687582015991,3.604772090911865,3.5412278175354004,3.456440687179565,3.410069704055786,4.058230876922607,4.088272571563721,3.879731416702272,3.45719575881958,3.4735703468322754,3.531145572662353,3.560799121856689,3.765048027038574,3.879532814025879,4.005189895629883,4.246110916137695,4.466199398040772,4.505777359008789,4.516530513763428,4.650475025177002,4.912412643432617,3.738470554351807,5.847806930541992,4.426241874694824,4.533923625946045,4.687452793121338,5.204604625701904,5.0555291175842285,4.1572465896606445,4.084499359130859,4.8387064933776855,4.437466144561768,4.389965534210205,4.346461772918701,4.299771785736084
C,6.617711544036865,7.693831920623779,3.599827289581299,4.536617755889893,3.822156667709351,4.8324737548828125,5.868704319000244,6.970848560333252,8.453832626342773,6.404785633087158,3.3579342365264893,3.9202160835266113,3.814667224884033,3.605651617050171,4.2889485359191895,4.664507865905762,5.356541156768799,5.527244567871094,5.143995761871338,4.645385265350342,3.2540903091430664,3.279893636703491,3.3647401332855225,3.44162654876709,3.5268423557281494,3.627831220626831,3.7603838443756095,3.910151958465576,4.013359069824219,4.131142616271973,4.759021759033203,4.187295913696289,4.62877082824707,4.701178550720215,5.16008186340332,5.109671115875244,6.564825057983398,4.903707027435303,4.605074882507324,3.398744821548462,3.4212234020233154,3.475546360015869,3.527052640914917,3.5869691371917725,3.668325185775757,3.479022264480591,3.895127058029175,4.095704555511475,4.479447364807129,4.821727752685547,4.232741832733154,4.351603984832764,4.566512107849121,4.666243076324463,4.718185424804688,6.000528812408447,4.382052898406982,4.751466274261475,4.034445762634277,3.918805122375488,3.777563571929932,3.6206674575805664,3.5311741828918457,4.441672325134277,3.4151172637939453,3.3460609912872314,3.299385070800781,3.260581016540528,3.2021706104278564,3.1809287071228027,3.8862249851226807,3.9219484329223633,3.657999038696289,3.2783684730529785,3.3198113441467285,3.391334295272827,3.4603073596954346,3.676188945770264,3.784886121749878,3.837246179580689,4.431475639343262,4.516982555389404,4.538319110870361,4.694366931915283,4.746173858642578,4.879764080047607,4.418734073638916,5.905210018157959,4.093863010406494,4.154914379119873,4.389194488525391,4.893239498138428,4.7495598793029785,3.757601737976074,3.712546348571777,4.534602165222168,4.05805778503418,4.029833793640137,3.989673137664795,3.9539811611175537
N,8.0574369430542,8.784852027893066,4.718765258789063,5.7449049949646,4.874757289886475,5.868704795837402,6.812084197998047,7.907327175140381,9.463122367858888,7.353335380554199,3.738969802856445,5.104826927185059,4.891688823699951,4.303380489349365,5.416609764099121,5.728023052215576,6.343424320220947,6.513097286224365,5.039235591888428,4.783422470092773,3.6605417728424072,3.784905195236206,3.965235710144043,4.11419153213501,4.213350296020508,4.364741325378418,4.6200032234191895,4.855504512786865,5.002869129180908,5.055532455444336,5.824082374572754,4.757345199584961,5.731506824493408,5.750143527984619,6.191836357116699,5.832814693450928,6.706707000732422,4.654533386230469,4.555702686309815,3.663356304168701,3.8378517627716064,3.92565655708313,3.9843790531158447,4.151513576507568,4.319329738616943,4.1515889167785645,4.566452503204346,4.614809989929199,5.494949817657471,5.25889778137207,4.935333251953125,5.05996561050415,5.463876247406006,5.171543121337891,5.190999507904053,5.675933361053467,4.305922031402588,4.677638530731201,3.99432897567749,3.896550893783569,3.7860610485076895,3.6752893924713135,3.6025404930114746,4.440222263336182,3.524053812026977,3.4955430030822754,3.482114791870117,3.478182554244995,3.475400447845459,3.484894275665283,4.064056873321533,4.091166019439697,3.834296703338623,3.5048179626464844,3.5869390964508057,3.677561044692993,3.826360940933228,4.096771717071533,4.206306457519531,4.126029014587402,5.180266380310059,5.193165302276611,5.037819862365723,5.374448776245117,5.362430095672607,5.150092601776123,4.99001932144165,5.736850261688232,4.0162672996521,4.0675787925720215,4.745068550109863,4.814646244049072,4.683521270751953,3.735728740692138,3.700517416000366,4.523859977722168,3.997755289077759,3.9858238697052,3.96610689163208,3.95192551612854
O,9.436415672302246,9.64665985107422,5.90374755859375,7.00800371170044,5.949626922607422,6.970848560333252,7.907327175140381,8.662590980529785,10.118199348449709,8.300289154052734,4.558391571044922,6.305126667022705,6.0159220695495605,5.254469394683838,6.55189323425293,6.823055744171143,7.2947468757629395,7.270212650299072,5.424251556396484,5.359048843383789,4.394878387451172,4.59391450881958,4.821844577789307,4.990481853485107,5.120034217834473,5.293374538421631,5.587025165557861,5.892464637756348,6.0700364112854,6.078573703765869,6.792355060577393,5.641348361968994,6.781955242156982,6.759653568267822,7.178202152252197,6.6340508460998535,6.784073352813721,5.119875431060791,4.971242427825928,4.3496503829956055,4.605011463165283,4.723414897918701,4.813048839569092,5.0240397453308105,5.244745254516602,5.13513708114624,5.5170207023620605,5.498922348022461,6.437581539154053,5.9168314933776855,5.847072124481201,5.948023319244385,6.395501136779785,5.938000202178955,5.545474529266357,5.89491605758667,4.689518451690674,4.963171005249023,4.429383754730225,4.337221622467041,4.2402167320251465,4.158483028411865,4.101931095123291,4.769577026367188,4.073997497558594,4.081085205078125,4.090546131134033,4.10850191116333,4.129794120788574,4.148278713226318,4.491239547729492,4.556753635406494,4.359805107116699,4.115519046783447,4.237799167633057,4.343785285949707,4.53540563583374,4.846626281738281,4.9761176109313965,4.836392879486084,5.994376659393311,5.9718403816223145,5.745784282684326,6.1232194900512695,6.062759399414063,5.710770130157471,5.379348278045654,6.017009258270264,4.428436756134033,4.501495361328125,5.263872623443604,5.081087112426758,4.964223861694336,4.167659759521484,4.137975215911865,4.827027320861816,4.438671112060547,4.43785572052002,4.436743259429932,4.440663814544678
F,11.21172046661377,10.98548698425293,7.454615592956543,8.737018585205078,7.424582004547119,8.453832626342773,9.463122367858888,10.11819839477539,11.079748153686523,9.849173545837402,5.820318698883057,7.86357831954956,7.515415191650391,6.634829521179199,8.021614074707031,8.267316818237305,8.729429244995117,8.589936256408691,5.976363658905029,6.273500442504883,5.580970287322998,5.813774585723877,6.085371494293213,6.299129009246826,6.433108806610107,6.643937587738037,7.020462512969971,7.3776535987854,7.595691204071045,7.548329830169678,8.205522537231445,6.963867664337158,8.214028358459473,8.190009117126465,8.580681800842285,7.98457670211792,7.11934232711792,5.917418003082275,5.727689743041992,5.464189529418945,5.771332263946533,5.898440837860107,5.986485958099365,6.301565647125244,6.585508346557617,6.580042362213135,6.900023460388184,6.772332668304443,7.899865627288818,7.027639865875244,7.218523025512695,7.306591510772705,7.813728332519531,7.114309310913086,6.068760395050049,6.427421569824219,5.298716068267822,5.355742454528809,5.122082233428955,5.062515258789063,4.991659641265869,4.954383850097656,4.933688163757324,5.223298072814941,4.972304344177246,5.017942905426025,5.048708438873291,5.07717752456665,5.114904880523682,5.141312122344971,5.224080562591553,5.326296806335449,5.263954639434815,5.18500280380249,5.350530624389648,5.476146221160889,5.716389179229736,6.06552267074585,6.198800563812256,5.92846155166626,7.274953842163086,7.140514373779297,6.879373073577881,7.378519058227539,7.23932409286499,6.608776569366455,5.92653226852417,6.498627185821533,5.0265092849731445,5.124807834625244,6.041137218475342,5.45969295501709,5.365828514099121,4.875870704650879,4.850739479064941,5.2174248695373535,5.163819789886475,5.179559707641602,5.196498870849609,5.212930202484131
Ne,8.62982177734375,9.422828674316406,5.347630023956299,6.406661033630371,5.39459228515625,6.404786586761475,7.353334903717041,8.300289154052734,9.84917449951172,8.041311264038086,4.288957595825195,5.73646879196167,5.414988994598389,4.795289516448975,5.926889896392822,6.239525318145752,6.83221435546875,6.960871696472168,5.187428951263428,5.064361572265625,4.147937774658203,4.2789716720581055,4.466679573059082,4.6370463371276855,4.710928440093994,4.861606121063232,5.1128411293029785,5.353933811187744,5.529985904693604,5.566590785980225,6.310803890228272,5.254953861236572,6.2444257736206055,6.271531581878662,6.716997623443604,6.353915691375732,6.632505416870117,4.957090854644775,4.817527294158936,4.132152080535889,4.317265033721924,4.408151149749756,4.45494556427002,4.651106834411621,4.824887752532959,4.669798374176025,5.060336589813232,5.057615280151367,5.945674419403076,5.665613174438477,5.472009181976318,5.606450080871582,6.02198600769043,5.666838645935059,5.313148498535156,5.709880352020264,4.635776042938232,4.999722480773926,4.39155912399292,4.285107135772705,4.172418117523193,4.069878101348877,4.002313137054443,4.819818019866943,3.93122124671936,3.909833908081055,3.901571750640869,3.9065113067626953,3.9027950763702393,3.908964157104492,4.457139492034912,4.503760814666748,4.374294281005859,4.064721584320068,4.159885883331299,4.244042873382568,4.391356945037842,4.652637004852295,4.751885414123535,4.630728244781494,5.67722225189209,5.668976306915283,5.6087822914123535,5.897548198699951,5.888551712036133,5.679390907287598,5.138670444488525,5.782437801361084,4.367286205291748,4.418455600738525,5.149184226989746,5.145804405212402,5.029622554779053,4.107798099517822,4.060612678527832,4.901562690734863,4.355490207672119,4.333680152893066,4.31402063369751,4.302146911621094
