,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm
H,6.928970813751221,8.22786808013916,4.701883792877197,5.437010765075684,5.505018711090088,6.217479705810547,6.93455696105957,7.599943161010742,8.329999923706055,7.354989528656006,4.277744770050049,4.990379810333252,5.192795276641846,5.342119693756104,5.990882396697998,6.40784215927124,6.852320194244385,7.207382678985596,5.077597618103027,6.578719615936279,4.4264068603515625,4.547563076019287,4.696882247924805,4.647894382476807,5.001252174377441,5.1694512367248535,5.367121696472168,5.563845157623291,5.38966703414917,5.86311674118042,6.165024280548096,5.343638896942139,5.759612560272217,5.994524955749512,6.317633152008057,6.51643705368042,6.195713520050049,6.044328212738037,5.863199710845947,4.339082717895508,4.478513717651367,4.568024158477783,4.80602502822876,4.875516414642334,5.065672397613525,4.6059184074401855,5.39750862121582,5.696606636047363,5.983509540557861,6.342365264892578,5.441547870635986,5.623721599578857,5.89520788192749,5.986918449401856,5.103067874908447,6.364126682281494,5.115084171295166,5.005517482757568,4.970128536224365,4.906863689422607,4.805290222167969,4.698643207550049,4.5797953605651855,4.9055609703063965,4.398587703704834,4.345782279968262,4.2778143882751465,4.203628540039063,4.130177974700928,4.049910545349121,4.21959924697876,4.253849029541016,3.8418874740600586,3.50063419342041,3.5911083221435547,3.670222282409668,3.78633189201355,4.013088703155518,4.063178539276123,3.8940296173095694,4.3281660079956055,4.467609405517578,4.406204700469971,4.500636100769043,4.634820461273193,4.58909273147583,4.888614177703857,5.8616132736206055,4.583489418029785,4.87144947052002,5.607780933380127,5.1440043449401855,5.05893611907959,4.4487786293029785,4.299026012420654,4.6096601486206055,4.752810955047607,4.618858814239502,4.545958518981934,4.457931041717529
He,8.227869033813477,9.5240478515625,6.502946376800537,7.05728816986084,7.06630277633667,7.697980403900146,8.341357231140137,8.962056159973145,9.671112060546877,8.708066940307617,5.944947719573975,6.726922035217285,6.860983848571777,6.781515121459961,7.428115844726562,7.760739803314209,8.180122375488281,8.454418182373047,6.540211200714111,7.976101875305176,5.938271999359131,6.049584865570068,6.203260898590088,6.267155170440674,6.456528186798096,6.598555564880371,6.791900634765625,6.98384952545166,7.014937877655029,7.290424823760986,7.657035827636719,6.8714776039123535,7.340450763702393,7.484213352203369,7.764459609985352,7.803639411926269,7.571734428405762,7.335738182067871,7.128892421722412,5.8069844245910645,6.037862300872803,6.10907506942749,6.22678804397583,6.371612071990967,6.550765037536621,6.334496974945068,6.870828151702881,7.035466194152832,7.467333793640137,7.6920576095581055,6.984192371368408,7.100466728210449,7.359275817871094,7.26795768737793,6.663164615631104,7.721219062805176,6.408538341522217,6.341479778289795,6.513260364532471,6.436250686645508,6.321307182312012,6.1978440284729,6.070010662078857,6.121494293212891,5.859320163726807,5.78312349319458,5.695809364318848,5.624860286712647,5.559159755706787,5.495251178741455,5.514706134796143,5.554943561553955,5.195776462554932,4.962906360626221,5.061531066894531,5.139862537384033,5.261422634124756,5.56857442855835,5.616351127624512,5.368875503540039,5.832985877990723,5.879647731781006,5.856860160827637,5.99865198135376,6.06355619430542,5.873295307159424,6.460435390472412,7.271865367889404,5.967010974884033,6.2033538818359375,7.033026218414307,6.386972904205322,6.297682762145996,5.928653240203857,5.76053524017334,5.815120220184326,6.0534257888793945,5.895383834838867,5.809197902679443,5.720987796783447
Li,4.701884269714356,6.502946376800537,2.2505853176116943,3.017043352127075,2.9977378845214844,3.898261547088623,4.822453022003174,5.602602958679199,6.471505641937256,5.431905746459961,1.8162230253219604,2.5650904178619385,2.703163146972656,2.718268632888794,3.5209779739379883,3.9940922260284415,4.574496746063232,4.866194248199463,3.187349796295166,4.341274738311768,2.1469125747680664,2.208858251571656,2.317166566848755,2.321873664855957,2.5592429637908936,2.7200264930725098,2.9211504459381104,3.127638816833496,3.0167453289031982,3.3994855880737305,3.765127658843994,2.939310073852539,3.433147430419922,3.6469593048095694,4.017388820648193,4.07566499710083,4.546549320220947,3.813993453979492,3.436404228210449,2.147359848022461,2.22222900390625,2.2890565395355225,2.4132280349731445,2.495136260986328,2.638523578643799,2.1622347831726074,2.9151127338409424,3.1549391746521,3.5383055210113525,3.876227378845215,3.048231601715088,3.216626644134521,3.526083946228028,3.496867418289185,3.5432701110839844,4.412883281707764,2.8591341972351074,3.323283672332764,2.8351073265075684,2.709531545639038,2.560057640075684,2.410695791244507,2.286088705062866,2.9737765789031982,2.129368305206299,2.0771875381469727,2.043320178985596,2.027250051498413,2.004277467727661,1.979839563369751,2.3533935546875,2.36446499824524,2.329601764678955,1.8965617418289185,1.911116361618042,1.93140709400177,1.9825849533081048,2.1812167167663574,2.214210033416748,2.0670289993286133,2.546836376190185,2.582934617996216,2.67238187789917,2.7497599124908447,2.818668365478516,2.762099504470825,3.3651511669158936,4.082842350006104,2.456005096435547,2.601879119873047,3.614409923553467,3.3307738304138184,3.2076802253723145,2.299179792404175,2.158738136291504,2.85089111328125,2.44630765914917,2.3416123390197754,2.288240671157837,2.24367904663086
Be,5.437010288238525,7.05728816986084,3.017043352127075,3.773128032684326,3.857266426086426,4.737091541290283,5.60429573059082,6.350144863128662,7.122769355773926,6.073484897613525,2.476181507110596,3.327998638153076,3.5326924324035645,3.541431427001953,4.398159503936768,4.846448421478272,5.387742519378662,5.699337482452393,3.551095724105835,4.996668815612793,2.6806836128234863,2.807821750640869,3.007097244262696,3.01857852935791,3.333444595336914,3.5054821968078613,3.719204425811768,3.919726610183716,3.7960963249206543,4.207731246948242,4.496013164520264,3.643434047698975,4.205655574798584,4.411773681640625,4.771585941314697,4.8841633796691895,4.954427242279053,4.398971557617188,4.108366966247559,2.5945255756378174,2.7699837684631348,2.891192674636841,3.080427408218384,3.189267158508301,3.3697662353515625,2.8525867462158203,3.683105230331421,3.949484586715698,4.282879829406738,4.6539740562438965,3.777755260467529,3.9622395038604736,4.290421009063721,4.279205322265625,4.014308452606201,4.885639190673828,3.3794872760772705,3.6449055671691895,3.284257411956787,3.184889316558838,3.055339336395264,2.935000419616699,2.8131792545318604,3.40148663520813,2.6745500564575195,2.6489031314849854,2.6159937381744385,2.5678694248199463,2.5243279933929443,2.4949982166290283,2.7839300632476807,2.8010354042053223,2.686617374420166,2.298712491989136,2.3243181705474854,2.35880184173584,2.431324243545532,2.6199488639831543,2.655405044555664,2.4927759170532227,3.0263686180114746,3.0942625999450684,3.1129472255706787,3.239421367645264,3.3160207271575928,3.204996347427368,3.8142247200012207,4.472885608673096,2.876354694366455,3.113543033599853,4.1550164222717285,3.702483892440796,3.595209836959839,2.7464792728424072,2.617371320724488,3.192774772644043,2.966782808303833,2.872013807296753,2.8163866996765137,2.7576799392700195
B,5.505016803741455,7.06630277633667,2.9977378845214844,3.857266664505005,3.566396713256836,4.44247579574585,5.335094451904297,6.091914653778076,6.952246189117432,5.951476097106934,2.622281789779663,3.3121399879455566,3.2861642837524414,3.3052279949188232,4.05600118637085,4.477129459381104,5.028437614440918,5.288108825683594,3.7424261569976807,4.88974142074585,2.753222703933716,2.780311107635498,2.8684003353118896,2.913125991821289,3.073354721069336,3.206748008728028,3.371632099151612,3.543330192565918,3.538395643234253,3.804744482040405,4.066514492034912,3.35109281539917,3.817490577697754,3.959852695465088,4.305910587310791,4.33677864074707,4.930117607116699,4.368045330047607,3.823221206665039,2.764709234237671,2.8568906784057617,2.898693561553955,2.949521780014038,3.038505792617798,3.150529861450196,2.7435097694396973,3.382312774658203,3.561851501464844,3.8420448303222656,4.122720241546631,3.440298795700073,3.5681278705596924,3.8480031490325928,3.7821991443634033,3.914790630340576,4.930263996124268,3.319795846939087,3.737939119338989,3.372624397277832,3.2571146488189697,3.1007328033447266,2.924283027648926,2.762031555175781,3.3769969940185547,2.5173699855804443,2.450178861618042,2.394397258758545,2.351663589477539,2.302784442901612,2.2687554359436035,2.6816909313201904,2.688680648803711,2.711085557937622,2.2862491607666016,2.288742780685425,2.2926018238067627,2.3299410343170166,2.514376640319824,2.544957160949707,2.421414375305176,2.788276433944702,2.8185603618621826,2.9445834159851074,3.027295589447021,3.087188482284546,3.046770572662353,3.710012435913086,4.541261672973633,2.9565820693969727,3.068466186523437,3.985674381256104,3.771946430206299,3.651186227798462,2.835114002227783,2.672737836837769,3.282499551773072,2.8490302562713623,2.7331457138061523,2.6576790809631348,2.5837502479553223
C,6.217479705810547,7.697981357574463,3.898261547088623,4.737091541290283,4.442476749420166,5.274439334869385,6.078991413116455,6.796568393707275,7.577571392059326,6.657919883728027,3.2184598445892334,4.216311454772949,4.185212135314941,4.069662570953369,4.917506217956543,5.317511558532715,5.844777584075928,6.106603622436523,4.28063440322876,5.583746910095215,3.220133066177368,3.306720018386841,3.467961549758911,3.5435056686401367,3.733978748321533,3.891512155532837,4.11066198348999,4.321788787841797,4.331696033477783,4.578377723693848,4.846136569976807,3.983339786529541,4.551119327545166,4.704600811004639,5.06803035736084,5.086510181427002,5.484507083892822,4.963212490081787,4.489633560180664,3.1315722465515137,3.311713218688965,3.3920834064483643,3.49544620513916,3.644648790359497,3.831275463104248,3.439663887023926,4.111908912658691,4.256159782409668,4.625422477722168,4.929633617401123,4.104408264160156,4.240357398986816,4.551807403564453,4.46697473526001,4.512373447418213,5.498176097869873,3.7822132110595694,4.033592224121094,3.8172669410705566,3.696681499481201,3.5452470779418945,3.4039576053619385,3.2585487365722656,3.722487688064575,3.083458185195923,3.038051128387451,2.998910903930664,2.9443533420562744,2.893425226211548,2.8559441566467285,3.0550005435943604,3.0642166137695312,2.9695749282836914,2.550734043121338,2.576427698135376,2.6004319190979004,2.672028064727783,2.872072219848633,2.913320302963257,2.749713182449341,3.2197084426879883,3.292999267578125,3.290210723876953,3.4219448566436768,3.469913959503174,3.3677563667297363,4.322424411773682,5.100479602813721,3.377331256866455,3.5641801357269287,4.49907112121582,4.087052822113037,3.974821090698242,3.2104406356811523,3.043326139450073,3.5596938133239746,3.3410134315490723,3.218330383300781,3.159144878387451,3.087855100631714
N,6.9345574378967285,8.341357231140137,4.822453022003174,5.6042962074279785,5.3350934982299805,6.078990459442139,6.8163251876831055,7.477426052093506,8.197358131408691,7.323765277862549,4.071125507354736,5.118649005889893,5.095675468444824,4.9575958251953125,5.74618673324585,6.127996921539307,6.608482837677002,6.872842311859131,4.969240188598633,6.391778469085693,3.979119539260864,4.0856242179870605,4.251923561096191,4.352667331695557,4.53054141998291,4.704841613769531,4.941514492034912,5.149690628051758,5.18211030960083,5.406554698944092,5.632631778717041,4.7566633224487305,5.337405681610107,5.491391181945801,5.829317092895508,5.875297546386719,6.125592231750488,5.733457088470459,5.304630279541016,3.832718849182129,4.078569412231445,4.150876522064209,4.255109786987305,4.448727607727051,4.652896404266357,4.327516555786133,4.957808971405029,5.072537422180176,5.416470050811768,5.76537036895752,4.885837078094482,5.026889801025391,5.353535175323486,5.247729778289795,5.151796817779541,6.210195064544678,4.491832733154297,4.5930376052856445,4.5748610496521,4.479607105255127,4.3479485511779785,4.20619535446167,4.0673346519470215,4.25649356842041,3.915938854217529,3.8796420097351074,3.812409639358521,3.744370937347412,3.683372020721436,3.629049777984619,3.5948872566223145,3.6227543354034415,3.3146023750305176,2.9746692180633545,3.017241239547729,3.0705137252807617,3.17576551437378,3.408625602722168,3.469887971878052,3.2879741191864014,3.827124118804932,3.927642822265625,3.801089286804199,3.9674813747406006,4.016963481903076,3.867655515670776,4.971712589263916,5.756936550140381,4.054008483886719,4.334395885467529,5.164519786834717,4.601502895355225,4.49674129486084,3.9404726028442383,3.7705328464508057,4.017708778381348,4.123040676116943,3.996013164520264,3.940283298492432,3.859741687774658
O,7.599943161010742,8.962056159973145,5.602603912353516,6.350144863128662,6.091914653778076,6.796569347381592,7.477426052093506,8.091291427612305,8.78126049041748,7.933751106262207,4.8627238273620605,5.874954700469971,5.88190507888794,5.734124183654785,6.481750965118408,6.833184242248535,7.276256561279297,7.52040958404541,5.685104846954346,7.155277252197266,4.653177261352539,4.75438928604126,4.91157341003418,5.028048992156982,5.178865909576416,5.365225315093994,5.591126441955566,5.793367862701416,5.875886917114258,6.083078861236572,6.360457420349121,5.456379890441895,5.999175548553467,6.149972438812256,6.466243743896484,6.518568515777588,6.774628639221191,6.463766574859619,6.030578136444092,4.493002891540527,4.749039649963379,4.816150188446045,4.897990703582764,5.122411251068115,5.341240882873535,5.103346824645996,5.64515495300293,5.7603759765625,6.137543201446533,6.488915920257568,5.577480792999268,5.709972381591797,6.014030933380127,5.901730537414551,5.849116325378418,6.893838882446289,5.199300765991211,5.175201892852783,5.391445636749268,5.283454895019531,5.147060871124268,5.016880512237549,4.875454425811768,4.828802585601807,4.69844913482666,4.657225608825684,4.590270519256592,4.519543170928955,4.447558879852295,4.394286632537842,4.191154003143311,4.210983753204346,3.738177299499512,3.4373526573181152,3.5101077556610107,3.5812485218048096,3.720051050186157,3.984885692596436,4.0496110916137695,3.867265462875366,4.421027660369873,4.5501708984375,4.327901840209961,4.516789436340332,4.575422763824463,4.392852783203125,5.667160511016846,6.440666198730469,4.789813041687012,5.078779697418213,5.786424160003662,5.158404350280762,5.042966365814209,4.734731197357178,4.556502819061279,4.526266574859619,4.86699914932251,4.7386555671691895,4.677628040313721,4.600210666656494
F,8.330001831054688,9.67111110687256,6.471506595611572,7.122767925262451,6.952246189117432,7.577570915222168,8.197359085083008,8.781262397766113,9.436144828796388,8.636820793151855,5.720738410949707,6.712353229522705,6.743538856506348,6.587996006011963,7.280936717987059,7.5972371101379395,8.004545211791992,8.26246166229248,6.4893670082092285,7.999578952789307,5.4227495193481445,5.4987382888793945,5.657022476196289,5.788492679595947,5.94278621673584,6.107374668121338,6.32244873046875,6.530086040496826,6.622474193572998,6.8386335372924805,7.204527854919434,6.256948471069336,6.770292282104492,6.901636123657227,7.21394681930542,7.2552618980407715,7.501251220703125,7.250931262969971,6.848534107208252,5.244932651519775,5.506457805633545,5.575239181518555,5.677534103393555,5.887068271636963,6.088285446166992,5.944109916687012,6.421215534210205,6.544326305389404,6.991299152374268,7.302539348602295,6.362549304962158,6.48435640335083,6.7680745124816895,6.660410404205322,6.609762668609619,7.680829524993896,6.031196117401123,5.899653434753418,6.315460681915283,6.2146992683410645,6.079304218292236,5.938002109527588,5.791304111480713,5.5390496253967285,5.5998053550720215,5.541576862335205,5.468227386474609,5.390636920928955,5.3257155418396,5.263412952423096,4.970221519470215,4.984555721282959,4.391077518463135,4.1077799797058105,4.199550151824951,4.288337230682373,4.445089340209961,4.738251209259033,4.824273586273193,4.65448522567749,5.17392110824585,5.321460723876953,5.022268772125244,5.204017639160156,5.273733615875244,5.06309986114502,6.417320728302002,7.212996006011963,5.636209011077881,5.93096399307251,6.568836688995361,5.849380970001221,5.744060039520264,5.643665790557861,5.461643695831299,5.205357551574707,5.76011848449707,5.6125569343566895,5.536687850952148,5.4488959312438965
Ne,7.354990005493164,8.708066940307617,5.431905746459961,6.073484897613525,5.951476573944092,6.657920837402344,7.323765754699707,7.933750152587891,8.636821746826172,7.6411051750183105,4.742692947387695,5.692282199859619,5.759766101837158,5.561206340789795,6.318833827972412,6.640252590179443,7.065616130828857,7.272764682769775,5.370055675506592,6.915337562561035,4.649840354919434,4.745240688323975,4.899564743041992,4.995028018951416,5.1646504402160645,5.319104194641113,5.530796051025391,5.733274936676025,5.810891628265381,6.013461589813232,6.351954460144043,5.475054740905762,6.032436847686768,6.138075351715088,6.434723377227783,6.403892993927002,6.4846720695495605,6.124853610992432,5.809391975402832,4.507486820220947,4.736340522766113,4.809156894683838,4.904143333435059,5.080273151397705,5.272237300872803,5.056143760681152,5.580774784088135,5.67122745513916,6.144436359405518,6.287497997283936,5.579007625579834,5.687099933624268,5.972534656524658,5.822086334228516,5.573966979980469,6.641178131103516,5.097019672393799,5.308866024017334,5.240805625915527,5.125125408172607,4.973981380462647,4.833598613739014,4.690029144287109,4.93907356262207,4.484542846679688,4.424784183502197,4.353785037994385,4.287489891052246,4.217586994171143,4.15229082107544,4.266625881195068,4.306823253631592,4.093352794647217,3.7497050762176514,3.813075542449951,3.8684778213500977,3.989826679229736,4.265185832977295,4.3085036277771,4.0627946853637695,4.59165620803833,4.639881610870361,4.678045749664307,4.838767051696777,4.865436553955078,4.6673102378845215,5.360877513885498,6.172387599945068,4.670570373535156,4.873720645904541,5.905786991119385,5.311975479125977,5.194495677947998,4.596951007843018,4.421525478363037,4.678791522979736,4.684918880462647,4.563863277435303,4.492350101470947,4.401244163513184
