,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm
H,7.284428119659424,8.283699989318848,3.619900703430176,4.67423152923584,3.86626935005188,4.930899143218994,6.139288425445557,7.309630870819092,8.913961410522461,6.778816223144531,3.406633377075196,4.017411231994629,3.807936668395996,3.5916993618011475,4.387158393859863,4.784759998321533,5.5554280281066895,5.711815357208252,5.302080631256104,4.695476531982422,3.306123971939087,3.3003554344177246,3.355233907699585,3.416309833526612,3.510872840881348,3.617810010910034,3.7701995372772217,3.941230773925781,4.049629211425781,4.1922478675842285,4.88378381729126,4.224112510681152,4.780941486358643,4.842258453369141,5.319873332977295,5.157680034637451,6.098768711090088,5.117870330810547,4.648964405059815,3.479654550552368,3.4512481689453125,3.49430513381958,3.5604782104492188,3.566711902618408,3.643467903137207,3.441850423812866,3.904987335205078,4.176153659820557,4.582924842834473,4.892384052276611,4.280592441558838,4.403076648712158,4.654648303985596,4.761157512664795,4.085457801818848,6.117135047912598,4.551406383514404,4.987730026245117,4.284617900848389,4.163410186767578,4.015102386474609,3.84508204460144,3.729069232940674,4.59520959854126,3.570631980895996,3.473076343536377,3.414543628692627,3.366585731506348,3.29749608039856,3.2600560188293457,3.95876407623291,3.9959986209869385,3.724577903747559,3.315720558166504,3.3588671684265137,3.440294027328491,3.517368793487549,3.7305092811584473,3.850799083709717,3.9494240283966064,4.570718765258789,4.659459590911865,4.656241893768311,4.839645385742188,4.869373798370361,5.03267240524292,3.818984508514404,5.858006477355957,4.291802883148193,4.339673042297363,4.446579456329346,5.090345859527588,4.925871849060059,4.018226623535156,3.964660406112671,4.750694751739502,4.25788164138794,4.223557949066162,4.189662456512451,4.158868789672852
He,8.283699989318848,8.73678207397461,4.997698783874512,6.052029609680176,5.316209316253662,5.658960819244385,6.678261280059815,7.414730072021484,8.607097625732422,7.449931621551514,6.124794960021973,5.229165554046631,5.05522346496582,5.815918445587158,5.358569622039795,5.588836193084717,5.957138538360596,6.221275806427002,5.676001071929932,6.550536632537842,5.4254984855651855,5.338823318481445,5.285799026489258,5.366470336914063,5.428678512573242,5.50004768371582,5.494256496429443,5.528544902801514,5.63946533203125,5.942073822021484,5.774136066436768,6.346236228942871,5.784997463226318,6.027319431304932,6.159512996673584,6.609115123748779,5.845668315887451,6.715354442596436,6.3427042961120605,5.793788909912109,5.720313549041748,5.74264669418335,5.738850116729736,5.761273384094238,5.774290561676025,5.642007827758789,6.0552239418029785,6.336699962615967,5.8042893409729,6.559056758880615,6.252527713775635,6.330682277679443,6.250965595245361,6.696634769439697,4.33535099029541,6.295831680297852,6.316977500915527,6.5015716552734375,6.185293674468994,6.084590435028076,5.950007915496826,5.8019304275512695,5.6847028732299805,6.143824100494385,5.520439624786377,5.432876110076904,5.358707427978516,5.289648532867432,5.196808338165283,5.126987934112549,5.387387752532959,5.425600528717041,5.658193588256836,5.291236400604248,5.288311004638672,5.360019207000732,5.370603561401367,5.642886161804199,5.766525745391846,5.918920516967773,5.8900885581970215,5.942946910858154,6.272240161895752,6.201536655426025,6.3295087814331055,6.569571018218994,4.221978664398193,5.893567562103272,6.036920070648193,6.082933902740479,6.077478408813477,6.513370037078857,6.410557270050049,5.860671043395996,5.773412704467773,6.077229976654053,5.892852783203125,5.838515758514404,5.783668518066406,5.727444171905518
Li,3.619898796081543,4.997698783874512,3.55401349067688,2.6770315170288086,4.5652923583984375,4.074934482574463,4.030198574066162,4.65656328201294,5.597818851470947,4.438619136810303,3.5353078842163086,3.096770763397217,4.038188457489014,4.619763374328613,4.265769004821777,4.580330848693848,4.730162620544434,5.537686347961426,3.142693281173706,5.236763000488281,3.944993019104004,4.049600124359131,4.159549236297607,4.134413242340088,4.279346942901611,4.352480411529541,4.396763801574707,4.454836368560791,4.353967666625977,4.7420973777771,5.112999439239502,4.615544319152832,4.714819431304932,5.043373107910156,5.230290412902832,5.604634761810303,3.719715833663941,4.433807849884033,4.654905796051025,3.778348207473755,3.926941156387329,3.972111940383911,4.091139793395996,4.1381916999816895,4.232590198516846,3.902336359024048,4.360242366790772,4.468188285827637,5.1168060302734375,5.30775785446167,4.744004726409912,4.875754356384277,5.0718092918396,4.982163906097412,2.9569904804229736,4.380705833435059,4.002479553222656,4.607868194580078,3.877929449081421,3.744422197341919,3.605681896209717,3.497887134552002,3.409675121307373,4.2870192527771,3.313421726226806,3.302537202835083,3.276408195495605,3.2555837631225586,3.24938702583313,3.2261056900024414,3.728349924087525,3.76635217666626,3.4385223388671875,3.1955814361572266,3.276726484298706,3.33525013923645,3.483031988143921,3.730079174041748,3.805410861968994,3.5080461502075195,4.576258182525635,4.620510578155518,4.430532932281494,4.689153671264648,4.715048313140869,4.371159553527832,2.905048131942749,3.6305994987487793,3.508872985839844,3.667686462402344,5.323629856109619,4.697342395782471,4.548439979553223,3.339211225509644,3.221958875656128,4.025405406951904,3.574153184890747,3.462553262710572,3.3941571712493896,3.327011108398437
Be,4.674232482910156,6.052030086517334,2.677030801773072,2.9531397819519043,3.630772590637207,3.3882365226745605,4.046584129333496,5.0347089767456055,6.5018510818481445,4.643893241882324,4.017583847045898,2.605608940124512,3.1360223293304443,4.245192527770996,3.401134490966797,3.725082874298096,4.052448272705078,4.839929103851318,4.0347113609313965,5.7963948249816895,3.840790748596192,3.787495374679565,3.756049633026123,3.74241304397583,3.8220372200012207,3.8849472999572754,3.876722574234009,3.900958299636841,3.8499701023101807,4.302932262420654,4.359730243682861,4.656136989593506,4.028963565826416,4.362302303314209,4.574032306671143,5.297730922698975,4.602687835693359,5.297129154205322,5.437193870544434,4.06998872756958,4.016805648803711,4.043456554412842,4.089358806610107,4.056563854217529,4.069309234619141,3.812743663787842,4.311527252197266,4.722651958465576,4.426358222961426,5.656062602996826,4.5455002784729,4.671064376831055,4.595905303955078,5.261525630950928,3.197326183319092,5.400144577026367,4.811477184295654,5.122851371765137,4.534111976623535,4.427179336547852,4.284997463226318,4.174339294433594,4.076567649841309,4.814579963684082,3.9311327934265137,3.872836828231812,3.823464393615722,3.7794127464294434,3.7289278507232666,3.6893410682678223,4.319421291351318,4.342806816101074,3.8775689601898193,3.5664985179901123,3.6126534938812256,3.6909408569335938,3.766538858413696,4.031589031219482,4.150627613067627,4.1602864265441895,4.367918491363525,4.651275634765625,4.66860818862915,4.541283130645752,4.714088439941406,5.009314060211182,3.1954505443573,4.619370937347412,4.175215721130371,4.346254348754883,5.091701030731201,5.171759128570557,5.038984775543213,4.010530948638916,3.8674259185791016,4.5085296630859375,4.267707347869873,4.160691738128662,4.098217010498047,4.038772106170654
B,3.866269588470459,5.316209316253662,4.565291881561279,3.630772113800049,5.4712443351745605,5.109673023223877,4.876852512359619,5.328409194946289,6.03649377822876,5.125115871429443,3.895450592041016,4.320828437805176,5.05152702331543,4.877886295318604,5.2157816886901855,5.474006652832031,5.627389430999756,6.164178848266602,3.090063095092773,5.1849045753479,4.232217788696289,4.381118774414063,4.5521674156188965,4.608238697052002,4.691057205200195,4.776499271392822,4.936614513397217,5.048422813415527,5.130171298980713,5.11198616027832,5.590733051300049,4.793088912963867,5.388805389404297,5.512551784515381,5.695999622344971,5.671680450439453,3.646537065505981,4.258153438568115,4.516641616821289,3.9982948303222656,4.22357702255249,4.282586574554443,4.337636470794678,4.4776482582092285,4.619831085205078,4.398621082305908,4.688440322875977,4.538558483123779,5.431754112243652,5.066296577453613,4.968703746795654,5.0261101722717285,5.366349697113037,4.881271839141846,2.857343435287476,4.235414505004883,3.925501346588135,4.644595623016357,3.9188156127929688,3.8001999855041504,3.6573469638824463,3.542341947555542,3.4352293014526367,4.15779447555542,3.3054862022399902,3.282773494720459,3.247643232345581,3.224517107009888,3.2228810787200928,3.216992855072021,3.582406997680664,3.6288516521453857,3.51216983795166,3.353431701660156,3.4289321899414062,3.4596261978149414,3.622161388397217,3.884332180023194,3.922938346862793,3.5118370056152344,4.672230243682861,4.567049980163574,4.46403169631958,4.78961181640625,4.739726066589356,4.227987289428711,2.78539514541626,3.513006687164306,3.407431125640869,3.5792224407196045,5.33635139465332,4.651975154876709,4.4987335205078125,3.418020009994507,3.2878434658050537,4.02987813949585,3.58797550201416,3.497902631759644,3.4522385597229004,3.406522512435913
C,4.930899143218994,5.658962726593018,4.074932098388672,3.3882369995117188,5.109671115875244,4.701590538024902,4.391018390655518,5.081616401672363,6.164796352386475,4.77897310256958,4.95158052444458,3.819331407546997,4.5649824142456055,5.4586181640625,4.630805492401123,4.8502373695373535,4.950583934783936,5.728957176208496,3.723277091979981,5.807379722595215,4.860706329345703,4.876099586486816,4.905690670013428,4.9805402755737305,5.034209728240967,5.114100456237793,5.125770092010498,5.156567096710205,5.214046955108643,5.440826892852783,5.26949405670166,5.630263805389404,5.127143859863281,5.3706464767456055,5.390349864959717,5.976892948150635,4.204531192779541,5.025545597076416,5.164170742034912,4.853792667388916,5.014085292816162,5.072219371795654,5.099905490875244,5.198624134063721,5.260035514831543,5.133105754852295,5.438865661621094,5.464198589324951,5.3832197189331055,5.853476047515869,5.5942792892456055,5.613354682922363,5.555097579956055,5.72126579284668,3.0694918632507324,5.097499847412109,4.446595668792725,5.054480075836182,4.512136936187744,4.409471035003662,4.291475772857666,4.214684009552002,4.121156692504883,4.618577003479004,4.004844665527344,4.003124237060547,3.9728310108184814,3.948562860488892,3.950568914413452,3.9292287826538086,4.21851110458374,4.291167736053467,4.336771488189697,4.194972038269043,4.257487773895264,4.3152570724487305,4.441752910614014,4.72366189956665,4.811462879180908,4.503757953643799,4.999207019805908,5.052055835723877,5.120333194732666,5.143558025360107,5.18911600112915,5.020895004272461,3.022252559661865,4.255075931549072,3.9958224296569824,4.111955642700195,5.62091875076294,5.063092231750488,4.932514667510986,3.961533784866333,3.82351279258728,4.310729026794434,4.026254177093506,3.951343059539795,3.911032199859619,3.873013019561768
N,6.139288425445557,6.678260326385498,4.03019905090332,4.046583652496338,4.876852989196777,4.391018390655518,5.024002552032471,5.644924163818359,6.980533123016357,5.292198657989502,5.52641487121582,3.881040811538696,4.409695625305176,5.537087917327881,4.494772434234619,4.680087566375732,4.84597635269165,5.5386271476745605,4.487180709838867,6.124731063842773,5.010110378265381,4.971888542175293,4.9373626708984375,5.020194053649902,5.051437854766846,5.113773822784424,5.064681529998779,5.069143772125244,5.116909980773926,5.405210018157959,5.196901321411133,5.820314407348633,5.076419353485107,5.343851089477539,5.382180690765381,5.905346393585205,4.853052616119385,5.493982791900635,5.700729846954346,5.23314094543457,5.289842128753662,5.347801208496094,5.368532657623291,5.428595066070557,5.430629253387451,5.2948317527771,5.643732070922852,5.850442409515381,5.307146072387695,6.030879497528076,5.660165786743164,5.694203853607178,5.540236473083496,6.015999794006348,3.259554862976074,5.565850734710693,5.14130449295044,5.579980373382568,5.270761013031006,5.184609413146973,5.068978309631348,4.987630844116211,4.8946614265441895,5.200990200042725,4.767046451568604,4.73612117767334,4.684556484222412,4.629330158233643,4.564064979553223,4.507714748382568,4.662532329559326,4.725879669189453,4.85550594329834,4.624410152435303,4.665524482727051,4.74005126953125,4.80274772644043,5.109714508056641,5.23567533493042,5.199504852294922,5.182278156280518,5.266550064086914,5.447597026824951,5.319911479949951,5.408976078033447,5.509528160095215,3.2358455657958984,4.862083435058594,4.762744903564453,4.852959156036377,5.750213146209717,5.597715854644775,5.488214015960693,4.771210670471191,4.622091770172119,4.928038597106934,4.728653430938721,4.628158092498779,4.569184303283691,4.512964248657227
O,7.30963134765625,7.414731025695801,4.656563758850098,5.034709453582764,5.328407764434815,5.081615924835205,5.644924640655518,6.369056701660156,7.5262980461120605,6.038444995880127,6.06425142288208,4.5985493659973145,4.925294399261475,5.921955585479736,5.07343864440918,5.250491619110107,5.422511577606201,5.865611553192139,4.996912479400635,6.3495869636535645,5.458166599273682,5.418493747711182,5.3743510246276855,5.459812641143799,5.470088481903076,5.526502132415772,5.516772747039795,5.5460638999938965,5.638592720031738,5.856420993804932,5.585402488708496,6.236538410186768,5.597821235656738,5.816329956054688,5.8517889976501465,6.286787509918213,5.126760959625244,5.819186687469482,5.971038341522217,5.723050117492676,5.781567573547363,5.834543704986572,5.820037364959717,5.866440296173096,5.854579448699951,5.7619218826293945,6.085293292999268,6.312597274780273,5.681926727294922,6.331067562103272,6.083273887634277,6.114134311676025,5.9978132247924805,6.422403335571289,3.543501853942871,5.783646106719971,5.531448841094971,5.894740581512451,5.652048110961914,5.570714473724365,5.461963176727295,5.385588645935059,5.299107074737549,5.5397114753723145,5.182065486907959,5.145479679107666,5.101101398468018,5.047338008880615,4.9840474128723145,4.924691677093506,5.020354270935059,5.083179950714111,5.366157531738281,5.133711338043213,5.170759677886963,5.248657703399658,5.301195621490479,5.621196269989014,5.739767551422119,5.679858207702637,5.582263946533203,5.646849632263184,5.876285076141357,5.74437952041626,5.831202507019043,5.97031831741333,3.4916648864746094,5.317498207092285,5.1834893226623535,5.270779132843018,5.980472087860107,5.9122843742370605,5.807287693023682,5.226968765258789,5.100470066070557,5.300928592681885,5.1804633140563965,5.092355728149414,5.040269374847412,4.991194248199463
F,8.913962364196777,8.607095718383789,5.597817897796631,6.5018510818481445,6.03649377822876,6.164797306060791,6.98053503036499,7.5262980461120605,8.413945198059082,7.405763626098633,6.6614508628845215,5.7316765785217285,5.760880947113037,6.423485279083252,5.973717212677002,6.137479305267334,6.383299350738525,6.540433406829834,5.627556324005127,6.769920349121094,5.934223651885986,5.894278049468994,5.868632793426514,5.982753276824951,5.990507125854492,6.087299346923828,6.1310625076293945,6.2051215171813965,6.35113000869751,6.495532035827637,6.224837303161621,6.76233434677124,6.342081546783447,6.495830059051514,6.556732654571533,6.853173732757568,5.67603063583374,6.393581390380859,6.3191914558410645,6.244715213775635,6.2442827224731445,6.290064334869385,6.283631801605225,6.353851318359375,6.3791022300720215,6.337810039520264,6.621164798736572,6.863528728485107,6.300605297088623,6.832590579986572,6.669539928436279,6.697049617767334,6.615957736968994,6.997232913970947,4.041316509246826,6.243420124053955,6.0367350578308105,6.280614376068115,6.098866939544678,6.02243185043335,5.9225263595581055,5.841973781585693,5.760002136230469,5.93351411819458,5.667843818664551,5.637105941772461,5.601088047027588,5.560592174530029,5.493674755096436,5.445925235748291,5.441826820373535,5.497658729553223,5.9017486572265625,5.671128749847412,5.687523365020752,5.780378818511963,5.840886116027832,6.141213417053223,6.24962043762207,6.247879981994629,6.1311869621276855,6.184249401092529,6.434538841247559,6.3399271965026855,6.397840976715088,6.548806190490723,3.9506702423095694,5.927358627319336,5.723050117492676,5.818670749664307,6.221213817596436,6.267534255981445,6.169759273529053,5.742246627807617,5.645686626434326,5.728825569152832,5.754120826721191,5.701375484466553,5.672715187072754,5.650136470794678
Ne,6.778815746307373,7.449931621551514,4.438618183135986,4.643893241882324,5.125115871429443,4.778972625732422,5.292198657989502,6.038445472717285,7.405764102935791,6.1731133460998535,5.693575859069824,4.369070053100586,4.707437038421631,5.632479190826416,4.82213020324707,5.037450790405273,5.216824531555176,5.86545467376709,4.749712467193604,6.181000232696533,5.312227725982666,5.245047092437744,5.187770843505859,5.245935916900635,5.276081562042236,5.329534530639648,5.295560359954834,5.325514316558838,5.414226531982422,5.658078670501709,5.513987064361572,6.061129093170166,5.4998321533203125,5.750545978546143,5.8161396980285645,6.296237945556641,4.951704502105713,5.694878101348877,5.940633773803711,5.586990833282471,5.578707218170166,5.612711429595947,5.611649990081787,5.6177263259887695,5.599390506744385,5.40856409072876,5.806013584136963,6.037954330444336,5.597297191619873,6.243110179901123,5.949483394622803,6.014495372772217,5.9148054122924805,6.355429649353027,3.6426944732666016,5.579228401184082,5.500862121582031,5.904765605926514,5.6032538414001465,5.511307716369629,5.382277965545654,5.266648769378662,5.165475368499756,5.535975456237793,5.028520107269287,4.97359037399292,4.911734580993652,4.849522113800049,4.783016204833984,4.721524715423584,5.034156322479248,5.101648807525635,5.209288120269775,4.941197872161865,4.974414348602295,5.041884422302246,5.078209400177002,5.334815979003906,5.443678379058838,5.430233478546143,5.527017116546631,5.559892177581787,5.842422962188721,5.749402523040772,5.847350597381592,5.963016033172607,3.628753423690796,5.09381914138794,5.119707107543945,5.206987857818604,5.988049507141113,5.9039506912231445,5.802291393280029,5.126864433288574,4.976676940917969,5.273316860198975,5.065878868103027,4.96364164352417,4.893672466278076,4.828403949737549
