,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm
H,5.547762393951416,6.316425800323486,3.401139259338379,4.012750148773193,3.3660361766815186,3.7787444591522217,4.639425754547119,5.307543277740479,6.117458343505859,5.023135185241699,2.957183837890625,3.4439451694488525,3.324792861938477,3.1393065452575684,3.4609696865081787,3.586468458175659,3.889951467514038,3.923508644104004,3.518240451812744,3.167524576187134,3.0996909141540527,3.120913028717041,3.1867029666900635,3.28307843208313,3.291086435317993,3.3459038734436035,3.404151439666748,3.453003168106079,3.556751251220703,3.513392925262451,3.4891834259033203,3.277202844619751,3.5917463302612305,3.607463836669922,3.767364263534546,3.737983703613281,6.605072498321533,3.1175425052642822,3.2808139324188232,3.142052173614502,3.1575496196746826,3.163369655609131,3.153372049331665,3.218868017196656,3.2908709049224854,3.152486801147461,3.3490822315216064,3.3345446586608887,3.3547258377075195,3.224513530731201,3.4204022884368896,3.4530463218688965,3.556188106536865,3.537150621414185,6.583680629730225,3.89755129814148,3.18892765045166,3.799557685852051,3.1551170349121094,3.088125705718994,2.997621774673462,2.8991448879241943,2.8143467903137207,3.5166893005371094,2.6771457195281982,2.622287034988404,2.576345443725586,2.5178589820861816,2.429672718048096,2.38649582862854,2.849194288253784,2.8613924980163574,2.8144466876983643,2.468212604522705,2.493575096130371,2.507305145263672,2.5636696815490723,2.7158870697021484,2.7408576011657715,2.656219005584717,3.1530237197875977,3.103290557861328,3.0896546840667725,3.2844603061676025,3.300786256790161,3.2054386138916016,6.436470031738281,4.49616003036499,2.9699206352233887,2.9315173625946045,3.962624311447144,3.919618844985962,3.801459312438965,2.9320385456085205,2.882357358932495,3.6355233192443848,3.0620675086975098,3.048017978668213,3.030037879943848,3.014420986175537
He,6.3164262771606445,6.001071453094482,4.174118518829346,4.596791744232178,4.069390773773193,4.216805458068848,4.546489238739014,4.830053329467773,5.440486431121826,5.22358512878418,4.338966369628906,4.285107612609863,4.047665119171143,4.163544178009033,4.086210250854492,4.140746593475342,4.22389554977417,4.305323123931885,6.442235469818115,4.295074939727783,4.143552780151367,4.141673564910889,4.143379211425781,4.232325553894043,4.2186455726623535,4.260005950927734,4.261058807373047,4.307167053222656,4.446893692016602,4.4698662757873535,3.968683958053589,4.573831558227539,4.357749938964844,4.394059181213379,4.402392864227295,4.577511310577393,8.500131607055664,5.404511451721191,4.381707668304443,4.2894606590271,4.2824811935424805,4.318263530731201,4.328708171844482,4.382756233215332,4.408301830291748,4.205516815185547,4.538748741149902,4.618730545043945,4.028993129730225,4.216868877410889,4.522688865661621,4.540249347686768,4.484071254730225,4.7300639152526855,7.959710597991943,6.803492546081543,4.774720191955566,5.379430770874023,4.741976261138916,4.620510101318359,4.4689717292785645,4.30402135848999,4.16727876663208,4.727556228637695,3.962801456451416,3.846281528472901,3.776685953140259,3.707723379135132,3.598769187927246,3.5291664600372314,3.763800621032715,3.797263145446777,4.054608345031738,3.745433807373047,3.743895053863525,3.773455619812012,3.795312404632568,3.9154653549194336,3.973847389221192,4.034983158111572,3.790546178817749,3.830045223236084,4.184732913970947,4.036234855651856,4.176187515258789,4.356129169464111,7.749053478240967,7.304072856903076,4.727209091186523,4.62074613571167,4.519212245941162,5.354015350341797,5.198724269866943,4.544931888580322,4.488853931427002,5.030900478363037,4.583490371704102,4.5679707527160645,4.506082534790039,4.450597763061523
Li,3.401139974594116,4.174118518829346,2.2765941619873047,2.568033695220948,2.832694292068481,2.688729763031006,2.8762762546539307,3.256922721862793,3.75254225730896,3.472540140151977,3.3975155353546143,2.392229557037353,2.449953556060791,3.3534460067749023,2.6367504596710205,2.800673246383667,2.9710803031921387,3.5414719581604004,5.281579971313477,5.336649894714356,3.679799318313599,3.6634092330932617,3.656879425048828,3.601344108581543,3.6714060306549072,3.6665525436401367,3.576710224151612,3.516495704650879,3.3836917877197266,3.6923232078552246,3.291432380676269,3.837351799011232,3.3231024742126465,3.5834767818450928,3.59761905670166,4.213339328765869,7.287943363189697,5.5758161544799805,5.00941801071167,3.656378984451294,3.665785789489746,3.68664288520813,3.766458749771118,3.6968913078308105,3.6620960235595694,3.1761133670806885,3.723245859146118,3.9499807357788086,3.451405763626098,4.279356479644775,3.805073499679565,3.857234954833984,3.852900981903076,4.288085460662842,5.083055019378662,6.922722339630127,4.729972839355469,5.172200202941895,4.481268882751465,4.301898002624512,4.0973801612854,3.8758723735809326,3.7199606895446777,4.586654186248779,3.4741885662078857,3.365507841110229,3.3001937866210938,3.238818407058716,3.1434013843536377,3.0947375297546387,3.662229061126709,3.6589958667755127,3.5302536487579346,3.133258581161499,3.132256507873535,3.117232322692871,3.10772705078125,3.2039225101470947,3.217698812484741,3.157204389572144,3.483884811401367,3.694306135177612,3.729677200317383,3.747902631759644,3.918159484863281,4.0376811027526855,4.650322437286377,6.540160655975342,4.31123685836792,4.433370590209961,4.850017070770264,5.2270283699035645,5.023566246032715,3.964331865310669,3.85272216796875,4.677520275115967,4.381809234619141,4.294272422790527,4.234218120574951,4.163527011871338
Be,4.012750148773193,4.5967936515808105,2.568033695220948,3.288590431213379,2.672405481338501,2.8637492656707764,3.290755271911621,3.578942060470581,4.1087565422058105,3.8224267959594727,2.8673548698425293,2.692147016525269,2.485446214675904,2.660836696624756,2.7105154991149902,2.868866443634033,3.125850200653076,3.3039801120758057,4.8328776359558105,3.726542472839356,3.155790090560913,3.109216928482056,3.078677177429199,3.017792224884033,3.1035051345825195,3.111214637756348,3.127885341644287,3.142061710357666,3.058253526687622,3.207756996154785,2.9013471603393555,3.286635637283325,3.0216333866119385,3.2490556240081787,3.283520460128784,3.6622822284698486,7.596584796905518,4.533608913421631,3.970623731613159,3.344316005706787,3.210362434387207,3.2195076942443848,3.2517850399017334,3.135901927947998,3.100343704223633,2.631855726242065,3.146345615386963,3.4606387615203857,2.982570171356201,3.5584332942962646,3.2194249629974365,3.295041084289551,3.350115299224853,3.7525131702423096,5.939853191375732,6.269365787506104,3.981553792953491,4.7632927894592285,3.802840232849121,3.678059577941896,3.5105180740356445,3.325840950012207,3.184385061264038,4.264679431915283,2.961094856262207,2.8733906745910645,2.81205415725708,2.7577834129333496,2.6950724124908447,2.647010564804077,3.5752830505371094,3.6013853549957275,3.426541805267334,2.879085063934326,2.794562816619873,2.78873872756958,2.692110538482666,2.718134880065918,2.7730484008789062,2.961308002471924,2.936276197433472,3.2461864948272705,3.2043240070343018,3.0968034267425537,3.309800624847412,3.870838642120361,5.516042232513428,6.252474308013916,3.6587777137756334,3.658280372619629,4.145862579345703,4.805896759033203,4.643795967102051,3.46010160446167,3.342050552368164,4.280905246734619,3.66617488861084,3.580713987350464,3.505593061447144,3.456291675567627
B,3.3660356998443604,4.069392204284668,2.832694292068481,2.67240571975708,3.564084053039551,2.947840452194214,3.078091144561768,3.3734560012817383,3.803533554077149,3.591146230697632,3.9838345050811768,2.6630635261535645,3.051652669906616,3.7748360633850098,3.1084916591644287,3.301645517349243,3.3685503005981445,4.105017185211182,5.568575382232666,5.919971942901611,3.902925968170166,3.8962173461914062,3.9154114723205566,3.9071028232574463,3.952261447906494,3.9778647422790527,3.925487518310547,3.879118919372559,3.903352975845337,4.010957717895508,3.690840721130371,4.057638645172119,3.776890754699707,4.003772735595703,4.033400535583496,4.549790859222412,7.295346736907959,6.058874130249023,5.362502098083496,3.9295175075531006,3.9128305912017822,3.9266510009765625,3.970703125,3.9631171226501465,3.974457502365112,3.596435070037842,4.033492088317871,4.201204776763916,3.747119665145874,4.61864185333252,4.066648960113525,4.1210761070251465,4.119263172149658,4.523875236511231,5.0506463050842285,7.264272212982178,4.983000755310059,5.335665702819824,4.861757755279541,4.6895270347595215,4.484198093414307,4.260011672973633,4.074182033538818,4.733922004699707,3.8184814453125,3.711432456970215,3.63706374168396,3.567100048065185,3.446136474609375,3.3716912269592285,3.801058292388916,3.785122632980346,3.475951910018921,3.16321349143982,3.172166347503662,3.174887657165528,3.182600259780884,3.309099674224853,3.3326125144958496,3.3265743255615234,3.578752040863037,3.672097206115722,3.715251922607422,3.7912020683288574,3.873120069503784,4.039789199829102,4.678027629852295,6.685478687286377,4.561283588409424,4.612181186676025,4.953433513641357,5.3775506019592285,5.160803318023682,4.332231998443604,4.205959796905518,4.795795917510986,4.604238986968994,4.501809597015381,4.421985149383545,4.346362590789795
C,3.778743982315064,4.216805458068848,2.688729763031006,2.8637497425079346,2.9478402137756348,2.9263594150543213,3.081274032592773,3.4257640838623047,3.868110656738281,3.602114200592041,3.775913238525391,2.7466182708740234,2.7644941806793213,3.4633703231811523,2.907014846801758,3.0374555587768555,3.1832098960876465,3.4376254081726074,5.578112602233887,4.894349098205566,3.794756174087525,3.7224295139312735,3.6401538848876953,3.629041194915772,3.615490674972534,3.599327564239502,3.503540277481079,3.453103542327881,3.4332058429718018,3.640071392059326,3.202885866165161,3.931995153427124,3.355353832244873,3.48704481124878,3.5384974479675293,4.093116760253906,7.749141216278076,5.457705974578857,4.62285852432251,3.9258999824523926,3.890197992324829,3.897397756576538,3.870796203613281,3.8235325813293457,3.7767910957336426,3.3971824645996094,3.843629837036133,3.946756839752197,3.271787643432617,3.9973514080047607,3.8148353099823,3.856841325759888,3.6891255378723145,4.211470127105713,5.717324256896973,6.984141826629639,4.39107084274292,4.8385515213012695,4.326470851898193,4.192283153533936,4.023167133331299,3.840475559234619,3.6857175827026367,4.3017449378967285,3.42728853225708,3.298602104187012,3.212900161743164,3.129455327987671,3.0231404304504395,2.9487075805664062,3.451209783554077,3.4802489280700684,3.6472461223602295,3.235868215560913,3.1948862075805664,3.1885502338409424,3.1388816833496094,3.228980541229248,3.268008232116699,3.2898645401000977,3.2161569595336914,3.4288229942321777,3.566066265106201,3.3475565910339355,3.574105024337769,3.916825771331787,5.31799840927124,6.834331035614014,4.104846954345703,4.150626182556152,4.611473560333252,4.845986843109131,4.662084102630615,3.968477725982666,3.877586603164673,4.327245235443115,4.165388107299805,4.088414669036865,4.019984245300293,3.9486734867095934
N,4.639424800872803,4.546489238739014,2.8762764930725098,3.290754556655884,3.078091621398926,3.0812735557556152,3.465257167816162,3.65059757232666,4.16384744644165,3.835142135620117,3.643211603164673,2.986867427825928,2.884350776672364,3.2205071449279785,2.998776435852051,3.100295305252075,3.2424511909484863,3.450722932815552,5.577313423156738,4.0368475914001465,3.52201247215271,3.423962116241455,3.3710646629333496,3.389025449752808,3.384319305419922,3.4088149070739746,3.410017490386963,3.4389450550079346,3.43941617012024,3.542022705078125,3.179471492767334,3.726097345352173,3.3283278942108154,3.5161848068237305,3.4835205078125,3.815229415893554,7.962705612182617,4.977709293365479,4.136096954345703,3.816771745681762,3.7050588130950928,3.696704387664795,3.658518552780152,3.611882209777832,3.5504064559936523,3.195472955703736,3.645021915435791,3.8850836753845215,3.2596442699432373,3.683104276657105,3.6089587211608887,3.626622200012207,3.593081474304199,4.01507043838501,6.35654878616333,6.678636074066162,4.21334981918335,4.828976154327393,4.21320104598999,4.087006092071533,3.921242475509644,3.736105442047119,3.587729215621948,4.243999481201172,3.3415467739105225,3.2373862266540527,3.156070709228516,3.07938814163208,2.979661464691162,2.912552833557129,3.395591974258423,3.405933380126953,3.513075351715088,3.0605006217956543,2.9762330055236816,2.977838516235352,2.939441204071045,3.0234949588775635,3.069064855575561,3.269508123397827,3.101997137069702,3.266831398010254,3.29705548286438,3.175476551055908,3.3236804008483887,3.7756187915802,6.029717922210693,6.705882549285889,4.015856742858887,3.993552684783936,4.104363441467285,4.8249993324279785,4.653546333312988,3.915518522262573,3.8204174041748047,4.338737487792969,4.001022815704346,3.935192584991455,3.8561508655548096,3.7877988815307617
O,5.307544231414795,4.830052852630615,3.2569236755371094,3.57894229888916,3.37345552444458,3.425765037536621,3.65059757232666,3.947258949279785,4.335361480712891,4.0968427658081055,4.015333652496338,3.4100632667541504,3.234433650970459,3.523040294647217,3.3392457962036133,3.4006919860839844,3.5069971084594727,3.640769004821777,6.241641044616699,4.1873321533203125,3.677322626113892,3.572869062423706,3.538931131362915,3.603407382965088,3.60660982131958,3.6598093509674072,3.688446760177612,3.716396808624268,3.747795343399048,3.830118179321289,3.3448314666748047,3.944763422012329,3.6015114784240723,3.7360856533050537,3.701361656188965,3.976675987243652,8.159350395202637,5.274200439453125,4.254651546478272,3.998220920562744,3.893650531768799,3.8968191146850586,3.864367961883545,3.8303353786468506,3.799161434173584,3.507305145263672,3.904204845428467,4.124330043792725,3.4576735496521,3.8014421463012695,3.857754945755005,3.87691879272461,3.8314132690429688,4.206861972808838,6.930147647857666,6.86375904083252,4.4989190101623535,4.956284046173096,4.446816444396973,4.317873477935791,4.164324760437012,3.965778589248657,3.830894947052002,4.352013111114502,3.61937427520752,3.4995317459106445,3.4182939529418945,3.3419189453125,3.233555316925049,3.152681350708008,3.43729305267334,3.450945377349853,3.62238359451294,3.2039570808410645,3.1587696075439453,3.186237573623657,3.144819498062134,3.2521119117736816,3.3194713592529297,3.523048162460327,3.2478933334350586,3.373786449432373,3.469145059585572,3.376436233520508,3.499149799346924,3.868512153625488,6.681319713592529,7.044278621673584,4.391796588897705,4.33092737197876,4.097219944000244,4.9134521484375,4.754543304443359,4.266195774078369,4.211359977722168,4.5466837882995605,4.358965396881104,4.331686496734619,4.268758296966553,4.204916000366211
F,6.117457866668701,5.440485954284668,3.752542495727539,4.1087565422058105,3.803534507751465,3.8681116104125977,4.163846969604492,4.335361003875732,4.771894931793213,4.5996174812316895,4.436380386352539,3.863014698028565,3.697903871536255,3.946773052215576,3.778352975845337,3.841311454772949,3.922474384307861,4.025455951690674,7.067348003387451,4.397205352783203,3.879279375076294,3.830819606781006,3.851285457611084,3.9410085678100586,3.9540982246398926,4.012963771820068,4.0554022789001465,4.060344219207764,4.141159534454346,4.195289611816406,3.7070775032043457,4.231590270996094,3.981794834136963,4.070277690887451,4.049558162689209,4.302140235900879,8.546833038330078,5.728514194488525,4.413738250732422,4.207788944244385,4.08873987197876,4.098957538604736,4.0849223136901855,4.124107360839844,4.144527912139893,3.961959600448608,4.243272304534912,4.38704252243042,3.7861387729644775,4.009536743164063,4.188505172729492,4.202175617218018,4.168148517608643,4.438815116882324,7.894402980804443,7.150781631469727,4.86297607421875,5.10676383972168,4.756339550018311,4.633174419403076,4.476510047912598,4.28710412979126,4.163334369659424,4.447964191436768,3.962653160095215,3.839063882827759,3.7698683738708496,3.697723150253296,3.577587604522705,3.4940314292907715,3.5040619373321533,3.5296099185943604,3.737573146820069,3.422799587249756,3.416771411895752,3.4724321365356445,3.489889144897461,3.642669200897217,3.69849705696106,3.849365234375,3.483103036880493,3.542010307312012,3.765108108520508,3.651168823242188,3.764298439025879,4.064046382904053,7.743027687072754,7.580458641052246,4.866380214691162,4.738117218017578,4.225234508514404,5.079136371612549,4.912288188934326,4.687147617340088,4.65472412109375,4.800766944885254,4.766727924346924,4.776738166809082,4.726714134216309,4.671342849731445
Ne,5.023136615753174,5.223585605621338,3.47253942489624,3.8224263191223145,3.591146230697632,3.602114200592041,3.835141658782959,4.096843719482422,4.599618911743164,4.601898193359375,4.308494091033936,3.591037511825561,3.4178240299224854,3.7491846084594727,3.511709213256836,3.5987064838409424,3.718437671661377,3.8960325717926025,6.039602756500244,4.484775066375732,4.096724987030029,3.963799476623535,3.884027004241944,3.919339418411255,3.901002407073975,3.922414302825928,3.933964490890503,3.964710712432861,4.044556140899658,4.086302280426025,3.651550769805908,4.257980346679688,3.908142566680908,4.025574207305908,4.023862838745117,4.236640453338623,8.192384719848633,5.519267559051514,4.545130252838135,4.3824543952941895,4.288388729095459,4.272067070007324,4.229534149169922,4.160353183746338,4.089359283447266,3.781341552734375,4.198698043823242,4.455650806427002,3.748085021972656,4.091940879821777,4.149445056915283,4.158203601837158,4.109263896942139,4.567424297332764,6.87103796005249,6.8989033699035645,4.787823677062988,5.346070766448975,4.809019088745117,4.686262607574463,4.52675199508667,4.3246684074401855,4.155524253845215,4.7463860511779785,3.874515295028688,3.738685131072998,3.636298656463623,3.5452194213867188,3.43384861946106,3.346989631652832,3.789573192596436,3.81284761428833,4.108103752136231,3.665525913238525,3.590441942214966,3.592047452926636,3.511418342590332,3.597062349319458,3.637594699859619,3.84445858001709,3.5998167991638184,3.650572061538696,3.789653778076172,3.70910382270813,3.8194000720977774,4.333764553070068,6.536034107208252,6.997833728790283,4.658261775970459,4.6042304039001465,4.489094734191895,5.319784164428711,5.1599602699279785,4.554897308349609,4.470462799072266,4.902813911437988,4.613579273223877,4.553229331970215,4.472190856933594,4.395129680633545
