,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm
H,7.618655681610107,9.00823211669922,4.690858364105225,5.7072296142578125,5.569774150848389,6.564053058624268,7.552914142608643,8.36620044708252,9.23038101196289,8.002504348754883,4.1105499267578125,5.048557758331299,5.239526748657227,5.364987850189209,6.229625225067139,6.779089450836182,7.3830485343933105,7.80064058303833,4.6882405281066895,6.625062465667725,4.354669094085693,4.525559902191162,4.735858917236328,4.675292491912842,5.090377330780029,5.282247543334961,5.523698329925537,5.759664058685303,5.537100315093994,6.119300365447998,6.8885416984558105,5.669821739196777,6.2918219566345215,6.589334964752197,7.019205570220947,7.207362174987793,5.930506229400635,5.930737018585205,6.081532001495361,4.265361309051514,4.454958438873291,4.574061870574951,4.833505153656006,4.890938758850098,5.110229015350342,4.58196496963501,5.502065181732178,5.865853786468506,6.653518199920654,6.930286884307861,5.8072614669799805,6.050200462341309,6.441389560699463,6.479522705078125,4.757582187652588,6.218128681182861,5.152665615081787,5.09485387802124,4.955681324005127,4.897136211395264,4.811448097229004,4.732411861419678,4.651145458221436,5.220689296722412,4.548949718475342,4.535743236541748,4.511730194091797,4.497298717498779,4.483315944671631,4.465359687805176,4.848876953125,4.8938307762146,4.263380527496338,3.916128158569336,4.024160861968994,4.129603862762451,4.289256095886231,4.5311150550842285,4.625652313232422,4.509990692138672,5.228594303131104,5.36615800857544,5.207071781158447,5.370840549468994,5.479161262512207,5.36801290512085,4.562572002410889,5.559334754943848,4.553068161010742,4.87138032913208,5.998714447021484,5.339580535888672,5.291920185089111,4.422290802001953,4.299593448638916,4.815130710601807,4.885859966278076,4.779148578643799,4.746772766113281,4.713674545288086
He,9.008230209350586,10.107111930847168,6.680203914642334,7.411098003387451,7.373702526092529,8.223132133483887,9.013670921325684,9.719171524047852,10.529991149902344,9.354628562927246,5.960214138031006,6.978044509887695,7.164112567901611,6.997929096221924,7.908791065216064,8.311573028564453,8.82260799407959,9.036133766174316,6.221007823944092,8.01815414428711,6.026355743408203,6.182157516479492,6.38442325592041,6.44942569732666,6.706051349639893,6.887765884399414,7.139110088348389,7.3808159828186035,7.356126308441162,7.685760974884033,8.333015441894531,7.25840950012207,7.960283756256103,8.126688957214355,8.5010347366333,8.47448444366455,7.322836399078369,7.26908540725708,7.23472261428833,5.871620655059815,6.1336822509765625,6.238332748413086,6.388570308685303,6.566651821136475,6.797525405883789,6.518954277038574,7.155572414398193,7.32693338394165,8.079170227050781,8.16458797454834,7.420298099517822,7.595060348510742,7.966107368469238,7.764529705047607,6.334167003631592,7.519916534423828,6.378159046173096,6.324499130249023,6.409983158111572,6.337031364440918,6.236866474151611,6.146451473236084,6.051174640655518,6.300881385803223,5.923681259155273,5.9157328605651855,5.886988639831543,5.86526346206665,5.866787433624268,5.86237382888794,6.052017688751221,6.106777667999268,5.645472049713135,5.417161464691162,5.5440850257873535,5.649388790130615,5.844892501831055,6.182252883911133,6.263454914093018,6.019188404083252,6.717629909515381,6.743163585662842,6.7226881980896,6.927704334259033,6.958613395690918,6.65479040145874,6.142103672027588,6.972286701202393,5.882476329803467,6.1547160148620605,7.328630924224853,6.458846569061279,6.398070812225342,5.852035999298096,5.695148468017578,5.8802595138549805,6.0772576332092285,5.959294319152832,5.909729957580566,5.8670268058776855
Li,4.690858364105225,6.680202960968018,2.0801568031311035,2.906371116638184,2.810002326965332,3.817225933074951,4.902656555175781,5.85821008682251,6.884512901306152,5.528683662414551,1.667400360107422,2.469104290008545,2.574706077575684,2.474113702774048,3.3795015811920166,3.892266273498535,4.588834285736084,4.935368061065674,3.040670394897461,3.999350070953369,2.0548243522644043,2.112946033477783,2.222275733947754,2.21962308883667,2.438551902770996,2.576157569885254,2.766749858856201,2.976115226745605,2.939080238342285,3.2863311767578125,3.986939430236816,3.024106979370117,3.569467544555664,3.7868709564208975,4.275481224060059,4.323953151702881,4.478731155395508,3.468726873397827,3.331071615219116,2.0858089923858643,2.1273975372314453,2.1930978298187256,2.314038276672364,2.3520407676696777,2.4929842948913574,2.12145733833313,2.776700735092163,3.011662006378174,3.7138383388519287,4.032095432281494,3.134969711303711,3.2910056114196777,3.645319700241089,3.617788553237915,3.42935848236084,4.244558811187744,2.850269794464112,3.404860496520996,2.7801318168640137,2.6663856506347656,2.528559446334839,2.3870856761932373,2.2765679359436035,3.0358948707580566,2.1626458168029785,2.155735492706299,2.159269332885742,2.1626925468444824,2.1630356311798096,2.1627349853515625,2.645845413208008,2.674102067947388,2.5589816570281982,2.140213966369629,2.1820805072784424,2.2237558364868164,2.292880058288574,2.503593921661377,2.559710502624512,2.425378799438477,3.067312002182007,3.149470329284668,3.170635461807251,3.2778573036193848,3.3407061100006104,3.257061004638672,3.2630653381347656,3.965466022491455,2.4618098735809326,2.5675902366638184,3.650611400604248,3.452251434326172,3.312692165374756,2.334850788116455,2.2291550636291504,2.987518072128296,2.502267837524414,2.442523956298828,2.420332670211792,2.4035465717315674
Be,5.707228660583496,7.411098957061768,2.906371593475342,3.6822781562805176,3.740911960601807,4.742738246917725,5.848888874053955,6.80333423614502,7.809502124786377,6.312155723571777,2.2521488666534424,3.203840732574463,3.418318271636963,3.355764389038086,4.363698482513428,4.927148342132568,5.605929851531982,5.9564642906188965,3.109560966491699,4.763299465179443,2.5492196083068848,2.6846206188201904,2.864008665084839,2.8942461013793945,3.204859733581543,3.405275344848633,3.6666793823242174,3.909244060516357,3.779938220977783,4.237206935882568,4.877582550048828,3.747950792312622,4.4975690841674805,4.739871501922607,5.1983819007873535,5.27924394607544,4.774806976318359,3.972786664962769,4.062514305114746,2.464311122894287,2.6243233680725098,2.732173681259156,2.920238971710205,3.0493383407592773,3.262920379638672,2.840223789215088,3.60847806930542,3.8816885948181152,4.610800743103027,4.96049165725708,3.927396535873413,4.152189254760742,4.575185298919678,4.504409790039063,3.879337072372437,4.556046009063721,3.2201218605041504,3.623938798904419,3.1105456352233887,3.020122528076172,2.90679669380188,2.80605697631836,2.7235231399536133,3.4865121841430664,2.670794725418091,2.697072029113769,2.7141759395599365,2.732826232910156,2.7503502368927,2.757265090942383,3.1607937812805176,3.2057783603668213,2.938794612884521,2.5301976203918457,2.5804805755615234,2.635678291320801,2.747644424438477,2.973205804824829,3.0478594303131104,2.893200159072876,3.666782855987549,3.760739326477051,3.685965061187744,3.872442960739136,3.929050922393799,3.802340507507324,3.701204299926758,4.09354305267334,2.717790126800537,2.9531126022338867,4.283848285675049,3.738519191741944,3.635883331298828,2.6314709186553955,2.52667498588562,3.228884696960449,2.9810502529144287,2.928192138671875,2.92555832862854,2.9149200916290283
B,5.569773674011231,7.373703956604004,2.810002326965332,3.740911722183228,3.3236076831817627,4.339466571807861,5.408571720123291,6.290830135345459,7.287466526031494,6.105433464050293,2.525752067565918,3.152794599533081,3.15090274810791,3.081467390060425,3.8755364418029785,4.335319519042969,5.008718013763428,5.266409873962402,3.714263439178467,4.589156150817871,2.7338879108428955,2.750643253326416,2.8127646446228027,2.845447063446045,2.984534502029419,3.100583076477051,3.250661373138428,3.4377129077911377,3.446865558624268,3.734145164489746,4.284569263458252,3.4560909271240234,3.914146423339844,4.10374927520752,4.56248140335083,4.566164493560791,4.756985187530518,4.093473434448242,3.72750473022461,2.7997546195983887,2.8412272930145264,2.889350891113281,2.9372000694274902,3.0055456161499023,3.101261138916016,2.7188949584960938,3.326995372772217,3.49134373664856,4.01511812210083,4.246387004852295,3.543269157409668,3.675933122634888,3.961395740509033,3.969950675964356,3.712145328521729,4.792108058929443,3.3886117935180664,3.894253253936768,3.438030242919922,3.3156416416168213,3.167980670928955,2.986870288848877,2.825173139572144,3.4743385314941406,2.6259520053863525,2.56628680229187,2.538060188293457,2.515648126602173,2.488706588745117,2.4796276092529297,2.9484941959381104,2.9742159843444824,3.001229286193848,2.569431781768799,2.596145868301392,2.623100757598877,2.683903694152832,2.8935139179229736,2.940887212753296,2.802597999572754,3.3394205570220947,3.3618173599243164,3.475156784057617,3.596363544464112,3.644659757614136,3.5770883560180664,3.5314700603485107,4.425332546234131,3.09810471534729,3.136784315109253,4.033665180206299,3.8907437324523926,3.7628707885742174,2.984463930130005,2.8401694297790527,3.4520082473754883,3.0034618377685547,2.916815996170044,2.851487874984741,2.7982118129730225
C,6.564053058624268,8.223133087158203,3.817226648330689,4.742737770080566,4.339467525482178,5.350969314575195,6.408456802368164,7.237236499786377,8.184511184692383,7.068549156188965,2.924204111099243,4.175015449523926,4.141831874847412,3.863957643508911,4.964470863342285,5.430603504180908,6.03822135925293,6.303987979888916,4.005351066589356,5.341714382171631,3.0704691410064697,3.1802053451538086,3.3521647453308105,3.43095326423645,3.656996726989746,3.845881938934326,4.116949081420898,4.3739333152771,4.361964702606201,4.681403160095215,5.229743957519531,4.081039905548096,4.883674144744873,5.070325374603272,5.5330891609191895,5.480853080749512,5.30538272857666,4.594686985015869,4.324960231781006,3.0058274269104004,3.158573627471924,3.253372430801392,3.38421368598938,3.541764974594116,3.740711688995361,3.3803391456604004,4.08375358581543,4.256960868835449,4.96979570388794,5.133528232574463,4.2487473487854,4.45164680480957,4.888016700744629,4.751421928405762,4.229201793670654,5.236944198608398,3.615562915802002,4.019459247589111,3.646890163421631,3.5336146354675293,3.402613639831543,3.284286975860596,3.175523042678833,3.756038665771485,3.0622923374176025,3.065441846847534,3.0671515464782715,3.0727696418762207,3.07206654548645,3.0694804191589355,3.349759340286255,3.381641387939453,3.284585237503052,2.885194063186645,2.937707662582397,2.986139297485352,3.0838005542755127,3.327183961868286,3.3855135440826416,3.206348419189453,3.8519999980926514,3.921050548553467,3.950984716415405,4.136914253234863,4.186572551727295,4.014939785003662,4.029786109924316,4.880943775177002,3.2235984802246094,3.390709161758423,4.564839839935303,4.09382963180542,3.983646869659424,3.142675876617432,3.0123181343078613,3.59403395652771,3.3032617568969727,3.225862503051758,3.194973945617676,3.166402816772461
N,7.552914142608643,9.013671875,4.902656555175781,5.848887920379639,5.408571243286133,6.408457279205322,7.231583118438721,8.120918273925781,9.004136085510254,7.958897590637207,3.900228500366211,5.2601470947265625,5.217992305755615,4.918150901794434,5.988660335540772,6.416262149810791,7.006529331207275,7.264321804046631,4.6090474128723145,6.279577255249023,3.910079956054688,4.071237564086914,4.286906719207764,4.411642551422119,4.64106035232544,4.854728698730469,5.138205528259277,5.390855312347412,5.396319389343262,5.70039701461792,6.165030956268311,5.067649841308594,5.873566150665283,6.05531644821167,6.480084896087647,6.442982196807861,5.905980110168457,5.446727752685547,5.2350382804870605,3.755717039108277,4.041184902191162,4.157519817352295,4.302001476287842,4.519130229949951,4.760548114776611,4.427812099456787,5.117978572845459,5.269284725189209,5.911764144897461,6.107134342193604,5.2572784423828125,5.449119091033936,5.858597278594971,5.665097236633301,4.856410980224609,5.951094150543213,4.369466304779053,4.527424812316895,4.345268726348877,4.258941650390625,4.153592109680176,4.065372467041016,3.969583034515381,4.371663570404053,3.8949766159057617,3.910682678222656,3.910020351409912,3.91498064994812,3.9234719276428223,3.925434827804565,3.9815962314605713,4.033494472503662,3.772505760192871,3.4237256050109863,3.4985179901123047,3.5780694484710693,3.717927694320679,3.982488393783569,4.054839611053467,3.854537487030029,4.545592308044434,4.65973711013794,4.561572551727295,4.761382102966309,4.785049915313721,4.579115867614746,4.650357723236084,5.456516265869141,3.861437559127808,4.152610778808594,5.33613920211792,4.619265079498291,4.522544860839844,3.803686141967773,3.670616388320923,4.08105993270874,4.088289737701416,3.982531070709229,3.9522147178649902,3.918334722518921
O,8.36620044708252,9.719171524047852,5.858210563659668,6.803334712982178,6.290830135345459,7.237237453460693,8.120917320251465,8.710323333740234,9.67431926727295,8.702260971069336,4.834727764129639,6.220344543457031,6.125111103057861,5.804378509521484,6.831823348999023,7.238193988800049,7.791629791259766,8.009848594665527,5.3593363761901855,7.131970405578613,4.736282825469971,4.89873743057251,5.119417667388916,5.276405334472656,5.475349426269531,5.685422420501709,5.974990367889404,6.239802837371826,6.263355731964111,6.532619953155518,6.983036041259766,5.895296096801758,6.682165622711182,6.84066104888916,7.24397611618042,7.189225196838379,6.57676362991333,6.280663013458252,6.05702543258667,4.574707984924316,4.895442485809326,5.010840892791748,5.129860877990723,5.377509593963623,5.62124490737915,5.363194942474365,5.975364208221436,6.0767741203308105,6.724998950958252,6.883678436279297,6.083433628082275,6.253681182861328,6.666476726531982,6.402933120727539,5.545210361480713,6.730273246765137,5.125777244567871,5.139015197753906,5.192611217498779,5.123233318328857,5.026258945465088,4.930729866027832,4.840872764587402,4.982568264007568,4.762646198272705,4.774622440338135,4.760522842407227,4.744724750518799,4.74579381942749,4.7388176918029785,4.63161039352417,4.679779529571533,4.314067840576172,4.011149883270264,4.115488052368164,4.199607372283936,4.357861518859863,4.640372276306152,4.724003791809082,4.516170501708984,5.210566997528076,5.320157051086426,5.157622337341309,5.3900065422058105,5.409821510314941,5.110097408294678,5.322056293487549,6.196303844451904,4.647970676422119,4.944189548492432,6.032000541687012,5.196920871734619,5.100673198699951,4.631816387176514,4.480073928833008,4.631974697113037,4.874022006988525,4.761985778808594,4.729060649871826,4.687832355499268
F,9.23038101196289,10.529991149902344,6.884511470794678,7.809502124786377,7.28746747970581,8.184513092041016,9.004136085510254,9.674318313598633,10.24758243560791,9.531638145446776,5.85553503036499,7.221749782562256,7.150579929351807,6.806084156036377,7.802613735198975,8.170751571655273,8.692537307739258,8.88219165802002,6.260299205780029,8.096264839172363,5.718907833099365,5.874100208282471,6.0845208168029785,6.251420497894287,6.442933559417725,6.644299983978272,6.914600372314453,7.162759304046631,7.241933822631836,7.458240509033203,7.930936336517334,6.876285552978516,7.618375301361084,7.741933345794678,8.107151985168457,8.05025863647461,7.362796306610107,7.235227584838867,7.033082962036133,5.537586688995361,5.868107318878174,5.971360683441162,6.076988697052002,6.335921764373779,6.580857276916504,6.3762922286987305,6.919755935668945,7.015267848968506,7.670542240142822,7.848023414611816,7.050351142883301,7.201043605804443,7.566038608551025,7.306368350982666,6.349551200866699,7.607079982757568,6.071195125579834,5.944209575653076,6.248449802398682,6.167126178741455,6.0640482902526855,5.983987808227539,5.890691757202148,5.772953987121582,5.776646137237549,5.770761966705322,5.747543811798096,5.728465557098389,5.723896026611328,5.69732666015625,5.495082378387451,5.5432233810424805,5.087626934051514,4.819434642791748,4.936794281005859,5.035961151123047,5.2245774269104,5.52224588394165,5.605204582214356,5.374603748321533,6.07067346572876,6.186861038208008,5.933940410614014,6.16918420791626,6.201550006866455,5.881441116333008,6.134444713592529,7.041849613189697,5.608913898468018,5.925328254699707,6.906190872192383,5.967348098754883,5.891454219818115,5.640180587768555,5.486330509185791,5.349869251251221,5.841691493988037,5.7169623374938965,5.680750370025635,5.636582851409912
Ne,8.002504348754883,9.35462760925293,5.528684139251709,6.312155246734619,6.105434417724609,7.068548202514648,7.958897590637207,8.702260971069336,9.531639099121094,8.203593254089355,4.6555609703063965,5.836007118225098,5.935790538787842,5.62956428527832,6.657792568206787,7.0676984786987305,7.6319260597229,7.783951282501221,5.044580936431885,6.791780948638916,4.683034896850586,4.83490800857544,5.043728351593018,5.145384311676025,5.3625168800354,5.551158428192139,5.820222854614258,6.073550224304199,6.074716091156006,6.383199214935303,6.989935398101807,5.834623336791992,6.610169887542725,6.767070770263672,7.17474365234375,7.072286128997803,6.234440326690674,5.938196659088135,5.870442867279053,4.535093784332275,4.804449081420898,4.911988735198975,5.047102451324463,5.223858833312988,5.450067043304443,5.178364276885986,5.816369533538818,5.972136974334717,6.72322416305542,6.759137153625488,5.994227409362793,6.167110443115234,6.570644855499268,6.321871280670166,5.261929988861084,6.360866546630859,5.048794269561768,5.247048377990723,5.098676681518555,5.010220527648926,4.903009414672852,4.806995391845703,4.70560884475708,5.052600383758545,4.57056188583374,4.566351413726807,4.546951770782471,4.524984359741211,4.525872707366943,4.516867637634277,4.734558582305908,4.791768550872803,4.488213062286377,4.166661262512207,4.265287399291992,4.351452350616455,4.514443874359131,4.786252498626709,4.866294860839844,4.678096771240234,5.38853931427002,5.423506259918213,5.377625465393066,5.606839179992676,5.599128246307373,5.32960319519043,5.063161373138428,5.8367204666137695,4.549297332763672,4.786571025848389,6.0599284172058105,5.3376874923706055,5.23468828201294,4.53937578201294,4.39235258102417,4.736572265625,4.737271785736084,4.625957012176514,4.581313133239746,4.536023616790772
Na,4.110550403594971,5.960215091705322,1.6674001216888428,2.252148389816284,2.525752067565918,2.924203872680664,3.900228500366211,4.8347272872924805,5.85553503036499,4.655561923980713,2.0412659645080566,1.8345274925231927,2.178715229034424,2.7204370498657227,2.648916244506836,3.066483974456787,3.626734733581543,4.024290561676025,3.1968541145324707,4.015459537506104,2.399544239044189,2.401987075805664,2.439316749572754,2.427806615829468,2.558577299118042,2.6368632316589355,2.674450159072876,2.72697377204895,2.707439661026001,2.9829816818237305,3.247287034988404,3.115142583847046,3.0910000801086426,3.273536443710327,3.526338577270508,3.715277910232544,4.066063404083252,3.6340315341949454,3.334368944168091,2.4978671073913574,2.5154800415039062,2.550617218017578,2.618696689605713,2.6025357246398926,2.65432357788086,2.2027153968811035,2.840130090713501,3.0809428691864014,3.108741044998169,3.521448850631714,3.121571779251098,3.221963882446289,3.314779758453369,3.518627405166626,2.961164712905884,4.261647701263428,3.083925247192383,3.663615703582764,3.1976118087768555,3.0829007625579834,2.9165186882019043,2.7399110794067383,2.5815227031707764,3.2556471824646,2.3690061569213867,2.280794143676758,2.21222186088562,2.165088653564453,2.132032871246338,2.11672043800354,2.654293298721313,2.6515560150146484,2.624964714050293,2.1970252990722656,2.2000865936279297,2.231689214706421,2.27221941947937,2.4723479747772217,2.5257041454315186,2.4793567657470703,2.76435661315918,2.858652114868164,2.983731746673584,2.99690055847168,3.054990768432617,3.1271731853485107,2.766730070114136,3.8338491916656494,2.8202195167541504,2.872614860534668,3.605224370956421,3.6430373191833496,3.521320343017578,2.7434260845184326,2.596498489379883,3.1952784061431885,2.6773648262023926,2.594069480895996,2.5342650413513184,2.4919357299804688
Mg,5.048557758331299,6.9780449867248535,2.4691050052642822,3.203840732574463,3.152794361114502,4.175014972686768,5.2601470947265625,6.220344066619873,7.221750259399414,5.836006164550781,1.834528088569641,2.7253520488739014,2.913583755493164,2.7475175857543945,3.750353574752808,4.273042678833008,4.97055721282959,5.290809154510498,3.062314987182617,4.241215705871582,2.1924948692321777,2.2853424549102783,2.4269583225250244,2.4405651092529297,2.670440673828125,2.829416036605835,3.0635228157043457,3.2933502197265625,3.230679035186768,3.620125770568848,4.2838053703308105,3.2305150032043457,3.895005702972412,4.131795406341553,4.61054277420044,4.6499505043029785,4.5915069580078125,3.5719659328460693,3.517573833465576,2.1803226470947266,2.268319606781006,2.354897975921631,2.5046682357788086,2.574122905731201,2.7429683208465576,2.3570337295532227,3.048434257507324,3.283788681030273,4.027496337890625,4.323040008544922,3.373918056488037,3.56077527999878,3.9646711349487305,3.88227653503418,3.576058387756348,4.312795162200928,2.9160702228546143,3.462308406829834,2.8534531593322754,2.7539024353027344,2.632448673248291,2.509962320327759,2.411450862884521,3.149045467376709,2.3241217136383057,2.32539701461792,2.3346142768859863,2.345622539520264,2.344961166381836,2.342721700668335,2.792120695114136,2.8184025287628174,2.70581316947937,2.2724409103393555,2.3105502128601074,2.351109504699707,2.415395021438598,2.641946792602539,2.709567308425904,2.560333728790283,3.2434651851654053,3.327883720397949,3.3081305027008057,3.4639620780944824,3.516059875488281,3.409530639648437,3.403525114059448,4.011044025421143,2.501164197921753,2.64368200302124,3.8343138694763184,3.5188205242156982,3.3946571350097656,2.400960922241211,2.2967395782470703,3.0135269165039062,2.616748571395874,2.5558855533599854,2.540078401565552,2.5245423316955566
