,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm
H,5.5871100425720215,6.649183750152588,3.485844373703003,3.410348415374756,4.071542739868164,4.214298725128174,4.71370267868042,5.434706211090088,6.337080001831055,5.392187595367432,3.0865626335144043,3.44394326210022,3.877567768096924,3.764885902404785,4.079105377197266,4.2767863273620605,4.539075374603272,4.829360485076904,3.0637876987457275,4.711981296539307,3.4615907669067383,3.5126612186431885,3.586790084838867,3.661199808120728,3.6568660736083984,3.7056047916412354,3.7966420650482178,3.87572979927063,3.993286848068237,4.014518737792969,4.102161407470703,3.777585029602051,4.144468307495117,4.214248180389404,4.393535137176514,4.394794940948486,3.7889020442962646,3.970714569091797,3.616492748260498,3.2939600944519043,3.4468207359313965,3.467340469360352,3.4287097454071045,3.5525331497192383,3.646061420440674,3.482468605041504,3.74760365486145,3.6557674407958975,3.995314598083496,3.8950083255767822,3.91473388671875,3.9585022926330566,4.1577229499816895,3.924044609069824,2.7471423149108887,4.186528205871582,3.2577269077301025,4.1531853675842285,3.636944532394409,3.5025789737701416,3.3448617458343506,3.200786828994751,3.07675838470459,3.450296640396118,2.912754774093628,2.8701062202453613,2.8226420879364014,2.7733473777771,2.7281534671783447,2.67949652671814,2.972149133682251,2.988672971725464,2.957899570465088,2.65778923034668,2.7004401683807373,2.720236301422119,2.8254308700561523,3.062791109085083,3.1018733978271484,2.823188304901123,3.467461109161377,3.3858799934387207,3.493008852005005,3.699134349822998,3.650416374206543,3.303102731704712,2.7033474445343018,3.584650754928589,3.003023147583008,3.08519983291626,4.474390029907227,4.040015697479248,3.8578059673309326,3.127612352371216,2.9724907875061035,3.391146659851074,3.113539218902588,2.9971394538879395,2.917574882507324,2.8365182876586914
He,6.649182796478272,7.594101905822754,4.720063209533691,5.246800899505615,4.8712544441223145,5.480709552764893,6.027457237243652,6.553817272186279,7.228790283203125,6.663584232330322,4.063872814178467,4.937572002410889,4.82339334487915,4.540895462036133,5.109978199005127,5.329918384552002,5.715425491333008,5.838083267211914,4.213609218597412,5.791459560394287,4.091810703277588,4.095268249511719,4.139105796813965,4.237882137298584,4.243310451507568,4.326984882354736,4.482421398162842,4.647652626037598,4.787473201751709,4.825906276702881,4.989851951599121,4.370861053466797,5.028752326965332,5.00068473815918,5.28649377822876,5.058506011962891,4.927537441253662,5.031713962554932,4.61017656326294,4.011954307556152,4.110136985778809,4.106348037719727,4.092371463775635,4.192790985107422,4.2923665046691895,4.178511142730713,4.494648456573486,4.6051554679870605,4.792508125305176,4.992621898651123,4.45660400390625,4.503545761108398,4.777114868164063,4.674033164978027,4.561344623565674,5.347133636474609,4.083578109741211,4.798434257507324,4.526648044586182,4.419754505157471,4.273220539093018,4.14012336730957,3.991899013519287,4.188257694244385,3.747610569000244,3.674437522888184,3.599974632263184,3.5318503379821777,3.474098920822144,3.428391218185425,3.5566976070404053,3.5753204822540283,3.5947961807250977,3.3285329341888428,3.3415122032165527,3.343366861343384,3.410860061645508,3.623623847961426,3.639081478118897,3.417731523513794,3.8899121284484863,3.779623031616211,3.939089775085449,4.139951705932617,4.060876369476318,3.741952657699585,4.588690280914307,4.778750896453857,3.7423930168151855,3.86887788772583,5.263298988342285,4.686831951141357,4.536627292633057,3.92984390258789,3.764106750488281,3.924776315689087,3.8958394527435294,3.7600173950195312,3.677744865417481,3.607994556427002
Li,3.485844612121582,4.72006368637085,1.844543933868408,2.477539539337158,2.141108512878418,2.615806102752685,3.099461078643799,3.567049503326416,4.188514709472656,3.673905372619629,1.4542101621627808,2.058133840560913,2.1005232334136963,1.7523188591003418,2.3570613861083984,2.5527915954589844,2.834118604660034,2.914281129837036,1.6831600666046145,2.335406541824341,1.883408784866333,1.909556865692139,1.949140548706055,1.937567949295044,1.9858471155166624,2.032137632369995,2.161299705505371,2.280605792999268,2.28862738609314,2.347727537155152,2.451892137527466,2.0599796772003174,2.509866237640381,2.5030441284179688,2.630439758300781,2.569530487060547,2.7780661582946777,1.9617207050323489,2.0128109455108643,1.7716352939605713,1.8147512674331665,1.8223743438720703,1.839946985244751,1.853909492492676,1.9131982326507568,1.6344808340072632,1.9824718236923216,1.9713613986969,2.3319411277771,2.056208848953247,2.1779887676239014,2.237865447998047,2.421904802322388,2.2587897777557373,3.1206507682800293,2.2491791248321533,1.891825795173645,2.8811521530151367,2.0785300731658936,1.967063069343567,1.828695058822632,1.7129130363464355,1.6172583103179932,2.223088502883911,1.47286057472229,1.4366320371627808,1.4024090766906738,1.376143217086792,1.3451530933380127,1.3134113550186155,1.6033885478973389,1.6191656589508057,1.6626943349838257,1.4185895919799805,1.4321725368499756,1.4501667022705078,1.4895838499069214,1.6267802715301514,1.6377619504928589,1.487680435180664,1.985318660736084,1.920423030853272,1.9243124723434448,2.0394229888916016,2.0579168796539307,1.924279808998108,3.123507738113404,2.0897216796875,1.7038768529891968,1.6682133674621582,3.0825612545013428,2.857097625732422,2.6888723373413086,1.6774237155914309,1.5562037229537964,2.295578956604004,1.621396780014038,1.564070224761963,1.5140951871871948,1.4690641164779663
Be,3.4103479385375977,5.246800899505615,2.477539539337158,2.9907102584838867,2.681829929351806,3.322509527206421,3.7741904258728014,4.177287578582764,4.782625675201416,4.388239860534668,1.880542039871216,2.797299385070801,2.652684211730957,2.409660816192627,2.925940990447998,3.079404830932617,3.367006778717041,3.531423330307007,1.826653957366944,2.994849681854248,2.4357733726501465,2.481558561325073,2.529705762863159,2.598832607269287,2.524876594543457,2.550307273864746,2.580717086791992,2.624645471572876,2.703483819961548,2.7630929946899414,2.822148561477661,2.639076471328736,2.838074207305908,2.8188533782958984,3.044168472290039,2.986346244812012,2.634550094604492,2.318643569946289,2.463580846786499,2.30366849899292,2.44525146484375,2.4556126594543457,2.4194672107696533,2.508382797241211,2.5620524883270264,2.2707743644714355,2.6382932662963867,2.677576303482056,2.7063090801239014,2.782309532165528,2.6393532752990723,2.6498913764953613,2.7180986404418945,2.8038582801818848,2.590075731277466,2.679362297058105,2.080343008041382,3.1604349613189697,2.4540770053863525,2.3634562492370605,2.241790771484375,2.129263401031494,2.0119733810424805,2.5201010704040527,1.8473329544067385,1.8012185096740725,1.7520699501037598,1.7124632596969604,1.685774803161621,1.6577247381210327,2.072899580001831,2.082628965377808,2.109241247177124,1.893128752708435,1.906174898147583,1.90088152885437,1.947674870491028,2.1242690086364746,2.1387369632720947,1.9028468132019043,2.2790918350219727,2.227957010269165,2.404728889465332,2.4527649879455566,2.4399423599243164,2.3214383125305176,2.595709085464477,2.3006837368011475,1.8660674095153809,1.8856372833251955,3.668424606323242,3.0202012062072754,2.858628988265991,2.003608703613281,1.8785407543182373,2.425271511077881,1.9285392761230469,1.858943223953247,1.8143583536148071,1.7666517496109009
B,4.071542263031006,4.871253490447998,2.141108512878418,2.6818294525146484,2.1912682056427,2.782987594604492,3.260948181152344,3.69206476211548,4.328258037567139,3.814280271530152,1.6318734884262085,2.345367431640625,2.258955955505371,1.9075863361358645,2.463088035583496,2.635162591934204,2.943963050842285,3.0020079612731934,1.9312219619750977,2.5723090171813965,2.0835564136505127,2.068691730499268,2.0919878482818604,2.100632429122925,2.102186441421509,2.1273727416992188,2.213095426559448,2.3010098934173584,2.362096071243286,2.329582452774048,2.4616432189941406,2.076169967651367,2.54856014251709,2.5290417671203613,2.6514413356781006,2.57908034324646,3.3630239963531494,2.2215967178344727,2.2497286796569824,2.041664361953736,2.006698608398437,2.000007152557373,2.001261234283448,1.9973201751708984,2.032676935195923,1.723771333694458,2.064613103866577,2.0445427894592285,2.340988874435425,2.1702699661254883,2.1828012466430664,2.240242958068848,2.4420952796936035,2.308516263961792,3.9328184127807617,2.5628623962402344,2.131907224655152,3.0596275329589844,2.273822069168091,2.163470268249512,2.031878471374512,1.9045337438583367,1.7777318954467771,2.4559597969055176,1.6089155673980713,1.5640859603881836,1.5256400108337402,1.4967247247695925,1.4688054323196411,1.4484012126922607,1.7260891199111938,1.7368212938308716,1.8461991548538208,1.597928166389465,1.6034772396087646,1.5990862846374512,1.6252965927124023,1.7113251686096191,1.7179381847381592,1.5954123735427856,2.027533054351806,1.992461323738098,1.9864087104797363,2.13735580444336,2.1462409496307373,2.028311491012573,3.958319187164306,2.4803738594055176,1.8962469100952148,1.880554676055908,3.228583574295044,3.0837385654449463,2.935996055603028,1.9095758199691768,1.7897186279296875,2.563781976699829,1.8298609256744385,1.7562761306762695,1.7023282051086426,1.6479392051696775
C,4.214299201965332,5.480710983276367,2.615805149078369,3.322510004043579,2.782987356185913,3.156322479248047,3.8028347492218018,4.258336544036865,4.901405811309815,4.422709941864014,1.908985257148743,2.782069683074951,2.716432571411133,2.369961977005005,2.9717397689819336,3.167696475982666,3.435595989227295,3.6272902488708496,2.13686752319336,3.18050479888916,2.39279842376709,2.4317076206207275,2.5052311420440674,2.589073657989502,2.52576208114624,2.561499118804932,2.646481990814209,2.7132389545440674,2.8018040657043457,2.809144973754883,2.838552236557007,2.5216622352600098,2.77567720413208,2.800546407699585,2.938983678817749,3.0370683670043945,3.2238593101501465,2.580843687057495,2.437326192855835,2.258518695831299,2.334944248199463,2.344848871231079,2.315374851226806,2.416038274765014,2.488776206970215,2.243242025375366,2.534735679626465,2.4741930961608887,2.708397388458252,2.6829259395599365,2.5880250930786133,2.611452341079712,2.749066114425659,2.666713237762451,3.5428600311279297,2.9259495735168457,2.1977996826171875,3.2592921257019043,2.4843297004699707,2.369039535522461,2.2392067909240723,2.117481708526612,2.0092689990997314,2.513963222503662,1.8655024766922,1.820305347442627,1.7862684726715088,1.762866735458374,1.7361488342285156,1.7135136127471924,2.003745079040528,2.014266014099121,2.07173228263855,1.8722097873687744,1.8819339275360107,1.876082420349121,1.9176691770553589,2.0623226165771484,2.076493978500366,1.914101243019104,2.3445522785186768,2.330185413360596,2.3804240226745605,2.4890410900115967,2.497278928756714,2.356719732284546,3.569716453552246,2.634063959121704,2.0175228118896484,2.0111725330352783,3.5518510341644287,3.114551544189453,2.931668996810913,2.0595526695251465,1.9425032138824463,2.52145791053772,2.012932777404785,1.9499742984771729,1.907954692840576,1.8734283447265625
N,4.713702201843262,6.0274577140808105,3.0994606018066406,3.774189949035645,3.26094913482666,3.802834272384644,4.291328430175781,4.867209434509277,5.578310489654541,4.98837423324585,2.408517837524414,3.3003807067871094,3.203857660293579,2.914955377578736,3.43764877319336,3.646640300750733,3.989560604095459,4.136098861694336,2.566017866134644,3.953306436538696,2.788558006286621,2.803982973098755,2.822577714920044,2.874252319335937,2.828451871871948,2.8605923652648926,2.928406238555908,3.008650541305542,3.091198444366455,3.1514220237731934,3.304940223693848,2.810145378112793,3.189807415008545,3.1847341060638428,3.4158742427825928,3.425297975540161,3.486219882965088,3.213032960891724,2.898029327392578,2.6222920417785645,2.743117332458496,2.734755754470825,2.707497358322144,2.7785804271698,2.833853483200073,2.658080816268921,2.9252142906188965,2.985227584838867,3.152867555618286,3.3163862228393555,2.872232437133789,2.91536808013916,3.06389594078064,3.102710247039795,3.628381729125977,3.587779998779297,2.472398042678833,3.443042516708374,2.8391833305358887,2.7354302406311035,2.607123613357544,2.504776954650879,2.3981876373291016,2.7991743087768555,2.255688428878784,2.217230796813965,2.177140712738037,2.1462223529815674,2.12703275680542,2.1121175289154053,2.327300786972046,2.3451993465423584,2.421398401260376,2.214358329772949,2.217339515686035,2.2148256301879883,2.247668743133545,2.3998990058898926,2.4156222343444824,2.264595031738281,2.591676950454712,2.6045150756835938,2.667521476745605,2.7326040267944336,2.7190043926239014,2.6522488594055176,3.6430020332336426,3.1463444232940674,2.259392738342285,2.2898149490356445,3.949856996536255,3.276598691940308,3.128392457962036,2.35906982421875,2.236212491989136,2.69597601890564,2.344732999801636,2.260385274887085,2.217176914215088,2.1740407943725586
O,5.434706211090088,6.553817272186279,3.567049741744995,4.1772871017456055,3.6920650005340576,4.258335590362549,4.867209434509277,5.441683769226074,6.172208309173584,5.475821495056152,2.80696439743042,3.7252914905548096,3.6118357181549072,3.391782522201538,3.930133819580078,4.154705047607422,4.513392448425293,4.7051191329956055,3.122855424880981,4.6371355056762695,3.079782485961914,3.0875492095947266,3.114739179611206,3.1761374473571777,3.1532530784606934,3.210554599761963,3.3005735874176025,3.4081621170043945,3.483914852142334,3.612268924713135,3.835591316223145,3.1605827808380127,3.5861802101135254,3.634284734725952,3.877219676971436,3.891282081604004,4.022280216217041,3.8200020790100098,3.400056838989258,2.924985647201538,3.0290398597717285,3.022903680801392,3.015645265579224,3.103875160217285,3.184733390808105,3.024243831634521,3.3321075439453125,3.4200565814971924,3.6466543674468994,3.853840827941896,3.227678775787353,3.302525281906128,3.484384059906006,3.516624212265014,4.116728782653809,4.229050636291504,2.847609281539917,3.701643228530884,3.252967357635498,3.148505449295044,3.028567314147949,2.9256246089935303,2.823376178741455,3.091773271560669,2.693863868713379,2.658243417739868,2.6179256439208984,2.5938093662261963,2.585100173950196,2.574380397796631,2.609827995300293,2.6288950443267822,2.624903917312622,2.4412930011749268,2.441724300384521,2.449692249298096,2.4849853515625,2.602766990661621,2.638477802276612,2.501551389694214,2.865797519683838,2.881838321685791,2.857689380645752,3.008946657180786,2.965146064758301,2.846698522567749,4.158891201019287,3.7612342834472656,2.590155124664306,2.688760757446289,4.248622417449951,3.552410125732422,3.411530017852783,2.736852169036865,2.610004425048828,2.963747501373291,2.8039474487304688,2.7125401496887207,2.6648614406585693,2.611312866210937
F,6.33707857131958,7.228789806365967,4.188515186309815,4.782625675201416,4.328258037567139,4.901406764984131,5.578309535980225,6.172208786010742,6.919084072113037,6.104171752929688,3.486045360565185,4.363368034362793,4.227548599243164,4.038618564605713,4.5893144607543945,4.8352227210998535,5.235361099243164,5.448207378387451,3.818079948425293,5.441484451293945,3.485046625137329,3.491581916809082,3.55075740814209,3.6331419944763184,3.658616542816162,3.740044116973877,3.8755388259887695,4.020636558532715,4.100282669067383,4.240276336669922,4.545692443847656,3.709612846374512,4.2137370109558105,4.270053386688232,4.556849002838135,4.549208164215088,4.65826940536499,4.563438892364502,4.090726375579834,3.3647713661193848,3.491740465164185,3.5025947093963623,3.504711627960205,3.6131086349487305,3.699753046035767,3.6359827518463135,3.890339136123657,4.040820598602295,4.359804630279541,4.558287143707275,3.777494430541992,3.8685789108276367,4.101075649261475,4.1124653816223145,4.629429817199707,5.023717880249023,3.422797203063965,4.114096164703369,3.9248433113098153,3.8208611011505127,3.694502592086792,3.583186626434326,3.477749347686768,3.5107262134552,3.341228008270264,3.314913272857666,3.2826156616210938,3.2538208961486816,3.2312965393066406,3.2079734802246094,3.0419225692749023,3.053797721862793,2.865936279296875,2.686828374862671,2.710579633712769,2.726046562194824,2.8054184913635254,2.951169490814209,2.990192174911499,2.856637716293335,3.314258575439453,3.351137161254883,3.2204020023345947,3.43828558921814,3.393956184387207,3.229106903076172,4.669935703277588,4.4729743003845215,3.0953187942504883,3.297451972961426,4.646376132965088,3.955186367034912,3.8095898628234863,3.3445258140563965,3.213646650314331,3.3359508514404297,3.4362456798553467,3.3302791118621826,3.286367893218994,3.245136022567749
Ne,5.392187595367432,6.6635847091674805,3.673906564712525,4.388239860534668,3.814279556274414,4.422709941864014,4.988375186920166,5.475822448730469,6.104172229766846,5.579754829406738,3.075749635696411,3.939995288848877,3.765695810317993,3.534684658050537,4.052060604095459,4.229323387145996,4.555293083190918,4.687568664550781,3.168006420135498,4.555273056030273,3.332824230194092,3.313448905944824,3.3205299377441406,3.3963797092437744,3.353961944580078,3.3960201740264893,3.4559154510498047,3.5474536418914795,3.66000247001648,3.7514045238494873,3.7995104789733887,3.440882682800293,3.8321285247802734,3.7573959827423096,4.004555702209473,3.97872543334961,3.967838287353516,3.794919967651367,3.464601755142212,3.2475359439849854,3.323866128921509,3.3017733097076416,3.272311210632324,3.3354032039642334,3.3935468196868896,3.2504117488861084,3.536760807037353,3.612053155899048,3.651080846786499,3.8174095153808594,3.491034984588623,3.537071228027344,3.6482763290405273,3.720445871353149,4.12197208404541,4.129683971405029,3.04275131225586,4.01747989654541,3.5177993774414062,3.39485502243042,3.2440853118896484,3.1069509983062744,2.967756509780884,3.2966933250427246,2.7907514572143555,2.753113985061645,2.711598396301269,2.6724562644958496,2.6422197818756104,2.609837055206299,2.746875762939453,2.762615919113159,2.8777692317962646,2.6255345344543457,2.622285842895508,2.629330635070801,2.6642839908599854,2.8370161056518555,2.8708674907684326,2.75820541381836,2.9776041507720947,2.958748579025269,3.118821859359741,3.206131219863892,3.1853575706481934,3.1222259998321533,4.14811897277832,3.658900260925293,2.828338384628296,2.888341426849365,4.528271198272705,3.8635528087615967,3.699702739715576,2.969956398010254,2.8143560886383057,3.196558952331543,2.9227898120880127,2.8282930850982666,2.774624347686768,2.721234083175659
