,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm
H,6.111297607421875,7.45761775970459,3.5034637451171875,4.406059265136719,4.095004558563232,4.823387145996094,5.742832183837891,6.461856365203857,7.298726558685303,6.280316352844238,3.36234974861145,3.806288242340088,3.838308334350586,3.905904531478882,4.434152126312256,4.789173603057861,5.271700382232666,5.427347183227539,4.1190571784973145,5.413659572601318,3.346877336502075,3.344512224197388,3.401556968688965,3.482022762298584,3.564613103866577,3.68257999420166,3.8204171657562256,3.972235918045044,4.064045429229736,4.243982315063477,4.469078063964844,3.908888101577759,4.25287389755249,4.327381610870361,4.603527545928955,4.580621242523193,5.1484456062316895,4.82365608215332,4.147173404693604,3.3479161262512207,3.445119857788086,3.480077743530273,3.490665435791016,3.597378253936768,3.710862159729004,3.4070932865142822,3.9537415504455566,4.070292949676514,4.248277187347412,4.455500602722168,3.973011016845703,4.03749418258667,4.206076622009277,4.191812038421631,3.954524755477905,5.4032087326049805,3.6339244842529297,4.223862648010254,3.929563283920288,3.790129184722901,3.619431495666504,3.453965425491333,3.2940926551818848,3.808605194091797,3.095078706741333,3.0322136878967285,2.970277547836304,2.903215169906616,2.8328335285186768,2.77986741065979,3.1195130348205566,3.1121649742126465,3.2268929481506348,2.816730737686157,2.8237204551696777,2.8543481826782227,2.8976874351501465,3.1143760681152344,3.133089065551758,2.9546358585357666,3.207933187484741,3.2234814167022705,3.4037044048309326,3.4678993225097656,3.4994888305664062,3.438899040222168,3.731661796569824,4.930572509765625,3.279078960418701,3.4314208030700684,4.34391975402832,4.20898962020874,4.075493335723877,3.3089094161987305,3.143758773803711,3.6613848209381104,3.3470442295074463,3.220717668533325,3.1440093517303467,3.083245754241944
He,7.457617282867432,8.335765838623047,5.141643047332764,5.7456889152526855,5.56560754776001,6.068302631378174,6.744210720062256,7.384941577911377,8.127082824707031,7.240392208099365,4.704407691955566,5.330349922180176,5.372416019439697,5.307370185852051,5.745669841766357,6.003344535827637,6.36100435256958,6.622124195098877,5.545242786407471,6.865330696105957,4.745811939239502,4.785565376281738,4.882876873016357,5.018373489379883,5.036806583404541,5.133932113647461,5.263428211212158,5.414742946624756,5.542501449584961,5.671725273132324,5.744953155517578,5.293510913848877,5.597568035125732,5.684799671173096,5.874473571777344,5.951094150543213,6.467108249664307,6.118563652038574,5.369884490966797,4.63813591003418,4.817507266998291,4.858264923095703,4.867913722991943,5.026992321014404,5.14709997177124,4.943723201751709,5.368054866790772,5.432078838348389,5.60797643661499,5.831301212310791,5.369854927062988,5.442685127258301,5.615058898925781,5.547282695770264,5.301792621612549,6.702974319458008,4.786521434783936,5.394740581512451,5.337270259857178,5.208998680114746,5.043303966522217,4.880682468414307,4.706249237060547,4.740901470184326,4.449539661407471,4.375845432281494,4.307757377624512,4.246028900146484,4.191868782043457,4.1426682472229,4.048327922821045,4.056286811828613,4.114884853363037,3.863109350204468,3.889961004257202,3.908668756484986,3.990437269210816,4.260182857513428,4.287776947021484,3.982592821121216,4.344789028167725,4.315151691436768,4.485291004180908,4.559739589691162,4.566756725311279,4.355501174926758,5.089101314544678,6.245383262634277,4.495081424713135,4.67832612991333,5.679076671600342,5.3014421463012695,5.153652667999268,4.689822673797607,4.492679119110107,4.5698418617248535,4.697073459625244,4.550777435302734,4.4640655517578125,4.384646892547607
Li,3.5034637451171875,5.14164400100708,2.296302795410156,2.5353922843933105,2.56095027923584,2.979315757751465,3.450408458709717,3.9847397804260254,4.646535396575928,4.120862483978272,1.8029017448425293,2.43680191040039,2.4989235401153564,2.228900909423828,2.703922271728516,2.9252216815948486,3.24612045288086,3.4785048961639404,2.075870513916016,3.5222654342651367,2.222683906555176,2.209475040435791,2.218202590942383,2.284497737884521,2.2161881923675537,2.241374969482422,2.316969156265259,2.402064561843872,2.47217345237732,2.5048773288726807,2.511480569839477,2.210747003555298,2.585999011993408,2.605865001678467,2.826991558074951,2.7150323390960693,3.049623966217041,2.904758214950561,2.533323287963867,2.1853513717651367,2.2507898807525635,2.230762004852295,2.1494293212890625,2.207533359527588,2.2213122844696045,1.9268618822097776,2.269958257675171,2.2827186584472656,2.3660638332366943,2.6025190353393555,2.2660999298095703,2.2827930450439453,2.480309009552002,2.3531153202056885,2.196669101715088,3.201838970184326,2.180922031402588,3.217002868652344,2.583272218704224,2.464051485061645,2.293709754943848,2.1379916667938232,1.982636570930481,2.510205745697021,1.7617425918579102,1.6943178176879885,1.6213382482528689,1.5534601211547852,1.4952044486999512,1.4435473680496216,1.7783972024917605,1.7691775560379028,1.886977314949036,1.6057722568511963,1.5872414112091064,1.5794410705566406,1.6012210845947266,1.7719050645828247,1.7960420846939087,1.630046844482422,1.8800151348114007,1.830487370491028,2.052614450454712,2.106170177459717,2.118788480758667,2.0062577724456787,2.117279291152954,2.716203451156616,1.906340718269348,1.9559946060180664,3.4344396591186523,3.169584989547729,2.98207950592041,2.0202889442443848,1.8508422374725344,2.419718265533448,1.9183378219604488,1.8081141710281368,1.7391064167022705,1.6658965349197388
Be,4.406059741973877,5.745689868927002,2.5353925228118896,2.6221444606781006,3.053293228149414,3.349379062652588,3.871722459793091,4.511553287506104,5.3105082511901855,4.541046619415283,2.2401881217956543,2.5754504203796387,2.880959987640381,2.779789686203003,3.135339498519897,3.381438732147217,3.696575403213501,4.042751789093018,2.754679679870605,4.221236228942871,2.5712156295776367,2.5782175064086914,2.622493267059326,2.6835379600524902,2.666774272918701,2.725954532623291,2.811478614807129,2.9016191959381104,3.0082595348358154,3.089364051818848,3.0395894050598145,2.7803754806518555,3.099635124206543,3.16067886352539,3.3340184688568115,3.3734123706817627,3.671258211135864,3.550697326660156,2.920137882232666,2.459826946258545,2.556652545928955,2.5715487003326416,2.542755365371704,2.639634132385254,2.702815055847168,2.434478044509888,2.811346530914306,2.814122676849365,2.9235827922821045,3.068636417388916,2.874455690383911,2.914853572845459,3.0833261013031006,2.95520281791687,2.518815279006958,3.936397075653076,2.55914044380188,3.493690729141236,2.9667134284973145,2.8076064586639404,2.6281118392944336,2.463383197784424,2.31204891204834,2.795684576034546,2.0965518951416016,2.018540859222412,1.9487371444702148,1.893859386444092,1.844828724861145,1.8075681924819944,2.119654417037964,2.11512303352356,2.187463998794556,1.8672609329223635,1.861973524093628,1.853383421897888,1.8954668045043943,2.0565106868743896,2.07650089263916,1.887010216712952,2.316792249679565,2.2669267654418945,2.426750421524048,2.5312376022338867,2.5425333976745605,2.3748221397399902,2.3646678924560547,3.42885971069336,2.262993097305298,2.3373732566833496,3.6710495948791504,3.406245470046997,3.222839117050171,2.362274169921875,2.1913862228393555,2.7116196155548096,2.3248114585876465,2.197559356689453,2.115847110748291,2.032853841781616
B,4.095003604888916,5.565608978271484,2.5609498023986816,3.053293466567993,2.789743423461914,3.3000357151031494,3.818058013916016,4.35105037689209,5.018375873565674,4.509127140045166,2.0665669441223145,2.739323139190674,2.7098848819732666,2.431640148162842,2.9690725803375244,3.173835039138794,3.525520801544189,3.718658447265625,2.440791368484497,3.796559810638428,2.463658809661865,2.441257238388061,2.434847354888916,2.4773168563842773,2.3950746059417725,2.4036121368408203,2.4532063007354736,2.5181963443756104,2.621995449066162,2.613497734069824,2.632222890853882,2.325524091720581,2.6834540367126465,2.6620125770568848,2.889025926589966,2.823666572570801,3.4027419090271,3.1737771034240723,2.6679940223693848,2.387257099151612,2.444287300109864,2.4162182807922363,2.325867176055908,2.365274906158448,2.373495817184448,2.136195182800293,2.417062282562256,2.455763339996338,2.48319149017334,2.7582385540008545,2.3562889099121094,2.3655664920806885,2.5301177501678467,2.49839735031128,2.679481506347656,3.557013511657715,2.263021230697632,3.3789894580841064,2.730750560760498,2.5928359031677246,2.427589178085327,2.27842116355896,2.122211456298828,2.571824312210083,1.8968276977539065,1.833112955093384,1.7753242254257202,1.72974956035614,1.6821023225784302,1.6312401294708252,1.8855334520339968,1.8823468685150144,2.0594303607940674,1.7926777601242063,1.784451246261597,1.780962586402893,1.796385645866394,1.958378553390503,1.97222113609314,1.7814571857452393,2.036001443862915,2.007077693939209,2.2310714721679688,2.286024332046509,2.278367757797241,2.1979284286499023,2.5994787216186523,3.1032330989837646,2.001823663711548,2.0582058429718018,3.6162402629852295,3.241523504257202,3.053588628768921,2.153609275817871,1.972694635391236,2.48255467414856,2.0602500438690186,1.959086537361145,1.887789249420166,1.8212640285491943
C,4.823387145996094,6.068303108215332,2.979315757751465,3.349379062652588,3.300034761428833,3.762169361114502,4.270756244659424,4.878355026245117,5.617706775665283,4.892954349517822,2.486095428466797,3.132894515991211,3.1776647567749023,2.9169576168060303,3.480574369430542,3.7346692085266113,4.0887298583984375,4.361268997192383,3.087203025817871,4.559671878814697,2.6675636768341064,2.678719520568848,2.7251338958740234,2.783387422561645,2.753422737121582,2.794065475463867,2.884731769561768,2.9872865676879883,3.104355812072754,3.110194206237793,3.2252213954925537,2.7160897254943848,3.233717441558838,3.262981653213501,3.490843772888184,3.390531301498413,4.046574115753174,3.849378108978272,3.136762857437134,2.5772480964660645,2.65358304977417,2.6343307495117188,2.578763723373413,2.640413284301758,2.699908494949341,2.4905076026916504,2.7938787937164307,2.825540781021118,3.059499502182007,3.2887120246887207,2.8174307346343994,2.854068756103516,3.0997610092163086,2.905928373336792,2.9641175270080566,4.24884557723999,2.67386531829834,3.6681549549102783,3.1722288131713867,3.0222418308258057,2.842113971710205,2.670738697052002,2.517738580703736,2.900534152984619,2.314818382263184,2.263734579086304,2.204330444335937,2.144014835357666,2.08084487915039,2.0422823429107666,2.217108249664306,2.2102181911468506,2.287240028381348,1.98284125328064,1.975273609161377,1.9641141891479488,1.9909582138061523,2.158784866333008,2.173068284988404,2.002138137817383,2.381596326828003,2.3291172981262207,2.460824966430664,2.594942569732666,2.5794177055358887,2.421391010284424,2.822622537612915,3.770788192749024,2.3716371059417725,2.4787039756774902,3.889405488967896,3.499290704727173,3.31850004196167,2.535372734069824,2.372138977050781,2.778111934661865,2.504215717315674,2.3840231895446777,2.316493511199951,2.2433910369873047
N,5.742832183837891,6.744211673736572,3.4504079818725586,3.87172269821167,3.818058013916016,4.270756721496582,4.918285846710205,5.590033054351807,6.377523899078369,5.433015823364258,2.986500024795532,3.584285259246826,3.6446027755737305,3.503887176513672,4.001333236694336,4.281455039978027,4.642815589904785,4.977656841278076,3.8164725303649902,5.3289794921875,3.0709245204925537,3.091405868530273,3.1499805450439453,3.233416795730591,3.2158780097961426,3.273934841156006,3.3947644233703613,3.537063837051392,3.6806702613830566,3.7512497901916495,3.84499764442444,3.276080369949341,3.704181909561157,3.7983603477478014,4.009532451629639,4.075253009796143,4.747608661651611,4.520357131958008,3.679307460784912,2.9454145431518555,3.0506696701049805,3.042055130004883,3.019392490386963,3.1079037189483643,3.2047157287597656,3.0141794681549072,3.3702392578125,3.4281258583068848,3.6849231719970703,3.966634511947632,3.402864694595337,3.4619393348693848,3.701430559158325,3.5392794609069824,3.5775487422943115,4.999495983123779,3.143976211547852,4.010926723480225,3.666949987411499,3.532085418701172,3.360283374786377,3.1878678798675537,3.0232973098754883,3.311990976333618,2.8109772205352783,2.764338970184326,2.7196154594421387,2.6700711250305176,2.620163679122925,2.574914693832397,2.676851749420166,2.6675233840942383,2.5835444927215576,2.3254282474517822,2.3367249965667725,2.3437323570251465,2.408559083938598,2.566126585006714,2.5905182361602783,2.390511035919189,2.804399251937866,2.7858433723449707,2.88969087600708,3.034658908843994,3.039869785308838,2.83185076713562,3.392059087753296,4.501948356628418,2.8426101207733154,3.0201876163482666,4.33824348449707,3.832977056503296,3.663086652755737,3.014219284057617,2.837924003601074,3.137596607208252,3.0508475303649902,2.931209087371826,2.863065242767334,2.7897872924804688
O,6.461855411529541,7.384941577911377,3.9847397804260254,4.511553764343262,4.351050853729248,4.878355503082275,5.590032577514648,6.249668598175049,7.03126859664917,5.998769760131836,3.543830394744873,4.12662935256958,4.150052547454834,4.054797649383545,4.569979190826416,4.860277652740479,5.255794525146484,5.579896450042725,4.483543395996094,6.002060413360596,3.442906618118286,3.472207546234131,3.5545241832733154,3.649618864059448,3.666636466979981,3.7587485313415527,3.9083895683288574,4.057912349700928,4.174063682556152,4.308565616607666,4.488978862762451,3.773160934448242,4.193700313568115,4.324329853057861,4.54716157913208,4.662411689758301,5.397430896759033,5.157883644104004,4.28596305847168,3.299862861633301,3.444519281387329,3.4604644775390625,3.4637699127197266,3.591302394866944,3.718341112136841,3.5652384757995605,3.948641777038574,4.043185710906982,4.310949325561523,4.646417140960693,3.891643047332764,3.987337589263916,4.241347789764404,4.145717144012451,4.248144626617432,5.683674335479736,3.677147150039673,4.393910884857178,4.239842891693115,4.107184886932373,3.940583467483521,3.7706198692321777,3.605936527252197,3.7133164405822754,3.4060816764831543,3.349531888961792,3.304337501525879,3.264143228530884,3.213858366012573,3.1686482429504395,3.094167232513428,3.0851247310638428,2.88582444190979,2.671653509140014,2.6976478099823,2.711732864379883,2.783236503601074,2.9386377334594727,2.9597315788269043,2.75942325592041,3.200530529022217,3.201740503311157,3.253524780273437,3.387625217437744,3.3941738605499268,3.1961240768432617,4.047529220581055,5.1804375648498535,3.387277841567993,3.611474514007568,4.742136955261231,4.213186740875244,4.047973155975342,3.583597183227539,3.4108223915100098,3.5135676860809326,3.63683032989502,3.505897521972656,3.43899154663086,3.388498306274414
F,7.298726558685303,8.127082824707031,4.646534442901611,5.310507774353027,5.018377780914307,5.617705821990967,6.377522945404053,7.031268119812012,7.793581485748291,6.745879173278809,4.238198757171631,4.828553676605225,4.812736988067627,4.753703594207764,5.280674457550049,5.589022636413574,5.99937915802002,6.294178009033203,5.212588787078857,6.762938976287842,3.981243848800659,4.021322727203369,4.121490001678467,4.237655162811279,4.291344165802002,4.398059368133545,4.538527965545654,4.68595552444458,4.788023471832275,4.988468647003174,5.260922908782959,4.462193489074707,4.835922718048096,4.9824323654174805,5.233879566192627,5.3697428703308105,6.127038478851318,5.870371341705322,5.021932125091553,3.852592468261719,4.024510383605957,4.057678699493408,4.085067272186279,4.246472358703613,4.385804653167725,4.286349773406982,4.633513450622559,4.780609607696533,5.080499172210693,5.437462329864502,4.561760902404785,4.665534496307373,4.8973469734191895,4.870729446411133,4.99872636795044,6.446680545806885,4.363062858581543,4.879661560058594,4.969781875610352,4.839968204498291,4.685447216033936,4.533915519714356,4.383786201477051,4.180416584014893,4.181573390960693,4.138347148895264,4.097038745880127,4.04829216003418,3.995995044708252,3.952167510986328,3.635118961334229,3.6246178150177,3.304450511932373,3.091019868850708,3.115267276763916,3.1389577388763428,3.2139782905578613,3.3995842933654785,3.444521427154541,3.2722771167755127,3.679271936416626,3.745572805404663,3.6831204891204834,3.812736034393311,3.8534204959869385,3.6835391521453857,4.792298316955566,5.935702800750732,4.090997219085693,4.3441996574401855,5.204583644866943,4.685880661010742,4.524721622467041,4.311342716217041,4.1429948806762695,3.982215642929077,4.357307434082031,4.230466365814209,4.172148704528809,4.114462375640869
Ne,6.28031587600708,7.240392208099365,4.120862007141113,4.541046619415283,4.509126663208008,4.892954349517822,5.433014869689941,5.998770236968994,6.745880126953125,6.019715785980225,3.6300554275512695,4.242190837860107,4.322805404663086,4.171345233917236,4.615380764007568,4.857374668121338,5.173447132110596,5.457295894622803,4.400561332702637,5.727989673614502,3.738300085067749,3.773662567138672,3.8520874977111816,3.962568998336792,3.958484649658203,4.031599998474121,4.16011905670166,4.286925792694092,4.435918807983398,4.491307735443115,4.503158092498779,4.054621696472168,4.43391752243042,4.504626274108887,4.680220127105713,4.737249851226807,5.30760669708252,4.967474460601807,4.18313455581665,3.6123204231262207,3.7612946033477774,3.774990558624268,3.7549328804016113,3.871247291564941,3.98640775680542,3.769477844238281,4.165539741516113,4.142727375030518,4.36923360824585,4.47515869140625,4.152419090270996,4.2040534019470215,4.410571098327637,4.235470771789551,4.138508319854736,5.55488920211792,3.673593997955322,4.539721012115479,4.210443019866943,4.050914764404297,3.859572410583496,3.66968035697937,3.487481117248535,3.804588794708252,3.2530407905578613,3.188961744308472,3.132208824157715,3.067779541015625,3.003704309463501,2.9448351860046387,3.1260929107666016,3.128435134887696,3.173836231231689,2.886516571044922,2.9000720977783203,2.90578031539917,2.9684555530548096,3.1661951541900635,3.1775333881378174,2.898620367050171,3.408599138259888,3.323438167572021,3.522261142730713,3.654510259628296,3.637881278991699,3.3655755519866943,3.952191114425659,5.08098840713501,3.378018617630005,3.5116658210754395,4.90349817276001,4.383700370788574,4.215028285980225,3.5189576148986816,3.335015296936035,3.63659143447876,3.505189895629883,3.379858016967773,3.311032295227051,3.237165689468384
