,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm
H,5.5871100425720215,7.733516216278076,3.002363920211792,2.9268670082092285,3.8338589668273926,4.056808948516846,4.804569244384766,6.050850868225098,7.629074573516846,5.795136451721191,2.709998607635498,2.9709129333496094,3.580632209777832,3.4685850143432617,3.8052592277526855,4.104991436004639,4.584719181060791,5.255204677581787,3.00547456741333,5.614221096038818,3.130604982376098,3.1784489154815674,3.2660350799560547,3.378304481506348,3.354776859283448,3.479236364364624,3.533632278442383,3.633954524993897,3.784435749053955,3.85054874420166,3.809571266174317,3.487177848815918,3.954098701477051,4.052865505218506,4.285008907318115,4.360724925994873,4.911789417266846,4.39595365524292,3.70200252532959,2.981935501098633,3.219043016433716,3.213397741317749,3.202449083328247,3.2883520126342773,3.3900468349456787,3.0716352462768555,3.502252578735352,3.487427234649658,3.646298885345459,3.985077142715454,3.648458957672119,3.732319593429565,4.0411248207092285,3.800768613815308,2.890940427780152,5.152077674865723,3.045883893966675,4.318046569824219,3.562725305557251,3.3513429164886475,3.10937237739563,2.88399600982666,2.735053539276123,3.322151660919189,2.433627128601074,2.360825061798096,2.232264280319214,2.1507134437561035,2.08044958114624,2.0252022743225098,2.460200309753418,2.4546422958374023,2.5469157695770264,2.146167993545532,2.1610960960388184,2.1713685989379883,2.1921262741088867,2.455759286880493,2.5121216773986816,2.252734661102295,2.845767974853516,2.8074536323547363,2.956664085388184,3.117761611938477,3.154829978942871,2.8597986698150635,2.727044105529785,4.219003677368164,2.6623075008392334,2.7750563621521,4.570333003997803,4.186705589294434,3.930263757705689,2.778947591781616,2.5619006156921387,3.2981741428375244,2.705918312072754,2.5423595905303955,2.4239919185638428,2.3078982830047607
He,6.037740230560303,7.594101428985596,3.9504599571228014,4.355519771575928,4.214561462402344,4.781126976013184,5.392517566680908,6.062973976135254,7.12563419342041,6.347991943359375,3.205358028411865,4.211905479431152,4.116602897644043,3.7972066402435294,4.402354717254639,4.610987186431885,5.035952091217041,5.34794282913208,3.427236795425415,5.285915851593018,3.466316938400269,3.474181890487671,3.5157699584960938,3.617118358612061,3.603097677230835,3.6577396392822266,3.8235268592834473,4.000632286071777,4.232712268829346,4.325338840484619,4.09127140045166,3.788366079330444,4.430992603302002,4.377066612243652,4.642407417297363,4.427395343780518,4.608816146850586,4.435011386871338,3.791236400604248,3.386380195617676,3.535726308822632,3.504356622695923,3.4469051361083984,3.582902431488037,3.692950963973999,3.520106315612793,3.948587417602539,4.054494857788086,3.899712324142456,4.156431198120117,3.868461608886719,3.889312505722046,4.179803848266602,4.074456214904785,4.001793384552002,4.947057247161865,3.215892553329468,4.564630031585693,3.788582801818848,3.6247363090515137,3.397645711898804,3.1996655464172363,3.0102312564849854,3.5428597927093506,2.7659659385681152,2.696727991104126,2.62375283241272,2.5372748374938965,2.4665184020996094,2.4050893783569336,2.6619749069213867,2.6711127758026123,2.90866756439209,2.593562364578247,2.547249317169189,2.544088840484619,2.589745044708252,2.8979580402374268,2.95935583114624,2.769529342651367,3.067929983139038,2.937268018722534,3.253856420516968,3.375077962875366,3.3886468410491943,3.2016775608062744,3.987593412399292,4.276607036590576,2.8505218029022217,2.947395801544189,4.91115140914917,4.406354427337647,4.1722798347473145,3.0123023986816406,2.808173179626465,3.424529552459717,2.9773640632629395,2.8593928813934326,2.792085647583008,2.7251651287078857
Li,3.9736719131469727,6.416007041931152,1.844543933868408,2.5322465896606445,2.318605899810791,2.947016954421997,3.7964212894439697,4.847588062286377,6.28891658782959,4.598927021026611,1.4075947999954224,2.0717782974243164,2.1982650756835938,1.8788275718688965,2.5859382152557373,2.968790531158448,3.597763538360596,4.210534572601318,2.029874086380005,3.9958653450012207,2.090667724609375,2.1086201667785645,2.1632769107818604,2.175511121749878,2.187499046325684,2.245672702789306,2.3645193576812744,2.488738536834717,2.5233821868896484,2.626025438308716,2.718386650085449,2.282916307449341,2.615341663360596,2.711610794067383,2.8828608989715576,3.123210906982422,4.760534763336182,2.9076359272003174,2.770314216613769,1.9834063053131104,2.008866548538208,2.0226645469665527,2.039809465408325,2.060283899307251,2.132293224334717,1.7268414497375488,2.2267298698425293,2.251893997192383,2.5753426551818848,2.824136018753052,2.400310039520264,2.4713382720947266,2.6553874015808105,2.645235061645508,4.5677103996276855,3.8189079761505127,2.303164005279541,3.860710620880127,2.627812385559082,2.461650848388672,2.2463362216949463,2.0513956546783447,1.885486364364624,2.9519481658935547,1.6299127340316772,1.5811653137207031,1.540693998336792,1.4908905029296875,1.468315601348877,1.464116096496582,1.9798990488052368,1.952604055404663,1.6961534023284912,1.25775408744812,1.2522574663162231,1.2510390281677246,1.2848109006881714,1.4592370986938477,1.508007287979126,1.4315519332885742,2.040727376937866,2.186069965362549,2.0262179374694824,2.1418797969818115,2.2496135234832764,2.247145175933838,4.407952785491943,3.3994016647338867,1.91280484199524,1.9385499954223635,4.178749561309815,3.8967514038085938,3.6248619556427,1.9206407070159912,1.730448603630066,2.972890853881836,1.9185822010040283,1.7958011627197266,1.7503912448883057,1.7040095329284668
Be,3.9990391731262207,6.80068826675415,2.373164892196656,2.9907102584838867,2.7830958366394043,3.492065191268921,4.320454120635986,5.281617641448975,6.656867980957031,5.182519435882568,1.7636452913284302,2.7283191680908203,2.614338159561157,2.4120583534240723,3.021573066711426,3.354825973510742,3.9884185791015625,4.59043025970459,2.2217071056365967,4.606152057647705,2.518094539642334,2.5700602531433105,2.6458852291107178,2.7315874099731445,2.6466057300567627,2.627285480499268,2.6414871215820312,2.671636819839477,2.819908618927002,2.875904560089112,2.9840104579925537,2.647946357727051,2.8799877166748047,2.866800308227539,3.253258466720581,3.3438453674316406,4.2094502449035645,3.4044013023376465,3.1033785343170166,2.3761777877807617,2.5766706466674805,2.6060924530029297,2.516977548599243,2.637080192565918,2.680455684661865,2.216608047485352,2.74600887298584,2.7978522777557373,2.791419982910156,3.342496871948242,2.635411500930786,2.6325795650482178,2.748748540878296,2.974247932434082,3.65001392364502,4.289449214935303,2.365927219390869,3.923405408859253,2.8488731384277344,2.688404560089112,2.481509208679199,2.2945556640625,2.111158847808838,3.017083644866944,1.8382761478424072,1.7359503507614136,1.6515475511550903,1.5993645191192627,1.5622495412826538,1.52077317237854,2.2555720806121826,2.2377171516418457,1.8985062837600708,1.5527105331420898,1.5567665100097656,1.5526103973388672,1.605448842048645,1.8296871185302728,1.86207914352417,1.6239807605743408,2.2761175632476807,2.3422865867614746,2.3796398639678955,2.398769855499268,2.436032772064209,2.3732404708862305,3.5453550815582275,3.422311544418335,1.998098492622376,2.0508530139923096,4.337928771972656,3.871732711791992,3.6034767627716064,2.1119496822357178,1.9358073472976685,2.825775384902954,2.140309810638428,2.029680252075196,1.960166931152344,1.8933894634246824
B,4.184666156768799,6.16396427154541,1.9799054861068728,2.623974084854126,2.19126844406128,2.847397565841675,3.6351165771484375,4.666518211364746,6.024290561676025,4.421544075012207,1.4946506023406982,2.205388307571411,2.1663155555725098,1.8419461250305176,2.4838266372680664,2.82401704788208,3.386857509613037,3.9528536796569824,2.113929510116577,3.804642677307129,2.148844242095948,2.148665189743042,2.157594680786133,2.1736748218536377,2.169212818145752,2.188162088394165,2.2759838104248047,2.378422260284424,2.473612070083618,2.4634149074554443,2.58090615272522,2.1457834243774414,2.607071876525879,2.628291130065918,2.813746452331543,2.9290122985839844,5.058785438537598,2.778151035308838,2.7079710960388184,2.1291098594665527,2.1023709774017334,2.090129852294922,2.0687804222106934,2.0708272457122803,2.101001262664795,1.6867517232894895,2.156543254852295,2.162865400314331,2.424356460571289,2.632633686065674,2.277113914489746,2.350061178207397,2.5713202953338623,2.5160319805145264,4.94940185546875,3.858785152435303,2.327183723449707,3.833871364593506,2.5409605503082275,2.3541579246521,2.132368326187134,1.9549176692962649,1.7876718044281006,2.9459826946258545,1.5304495096206665,1.471047282218933,1.4398345947265625,1.40833842754364,1.3792688846588137,1.3699464797973633,1.8876914978027344,1.87232518196106,1.7782261371612549,1.3540599346160889,1.3510466814041138,1.3284471035003662,1.34205162525177,1.4549667835235596,1.5048073530197144,1.4134851694107056,1.91996705532074,2.0288405418396,1.929787755012512,2.004941940307617,2.098274707794189,2.158316373825073,4.7695088386535645,3.5430777072906494,1.9482851028442385,1.9338512420654297,4.057605743408203,3.87799072265625,3.6186060905456543,1.8826195001602173,1.7128690481185913,2.9958038330078125,1.8735491037368768,1.7771081924438477,1.723082184791565,1.6792044639587402
C,4.291298389434815,6.501498699188232,2.392831563949585,3.2017383575439453,2.693657875061035,3.156322479248047,3.964889049530029,4.971022605895996,6.312972545623779,4.821893692016602,1.7078485488891602,2.5827643871307373,2.578917980194092,2.260725975036621,2.872382640838623,3.165201187133789,3.706125736236572,4.294235706329346,2.1298024654388428,4.140175342559815,2.430342674255371,2.4678921699523926,2.5527310371398926,2.679782152175904,2.5661659240722656,2.5970849990844727,2.671096086502075,2.738312244415283,2.920970916748047,2.878575801849365,2.7556231021881104,2.6080563068389893,2.69777774810791,2.7526562213897705,2.923238515853882,3.2104272842407227,4.425503253936768,3.0832433700561523,2.771479606628418,2.2813940048217773,2.399137496948242,2.4142067432403564,2.357701301574707,2.5032312870025635,2.5769317150115967,2.182739019393921,2.635683298110962,2.5715537071228027,2.6117238998413086,3.0052826404571533,2.66453504562378,2.6679060459136963,2.740215301513672,2.798677921295166,4.190934658050537,3.925869464874268,2.2705953121185303,3.802464485168457,2.696532726287842,2.518507957458496,2.309741973876953,2.1166791915893555,1.9444668292999268,2.7657217979431152,1.719471454620361,1.657213807106018,1.5927038192749023,1.5421278476715088,1.4826256036758425,1.4261469841003418,1.934147596359253,1.9155009984970093,1.8496017456054688,1.52829110622406,1.492282152175903,1.4751348495483398,1.531145453453064,1.7397433519363403,1.771278738975525,1.5774991512298584,2.1416659355163574,2.195241451263428,2.153179883956909,2.2760872840881348,2.294603109359741,2.2083427906036377,4.036313533782959,3.2948617935180664,1.9527868032455444,1.94626533985138,4.124217033386231,3.728739738464356,3.449629306793213,1.9974478483200075,1.820361375808716,2.786959409713745,1.92527437210083,1.8263553380966189,1.7777315378189087,1.7471390962600708
N,4.666836738586426,6.722009181976318,2.818929672241211,3.667273998260498,3.078981876373291,3.6743478775024414,4.291328430175781,5.22003984451294,6.565675735473633,5.205178737640381,2.158466100692749,3.1546881198883057,3.000243902206421,2.748886585235596,3.2541544437408447,3.5024330615997314,3.95330023765564,4.41808557510376,2.446016550064087,4.5016398429870605,2.8030385971069336,2.8130831718444824,2.8187079429626465,2.988551616668701,2.847813606262207,2.834970474243164,2.878535985946656,2.951756000518799,3.1329269409179688,3.128535747528076,3.093683242797852,2.865952730178833,3.124202251434326,3.124572277069092,3.322389841079712,3.3873114585876465,4.242011547088623,3.4388587474823,2.955904006958008,2.6758570671081543,2.880534410476685,2.892362117767334,2.7575931549072266,2.8900487422943115,2.9701781272888184,2.6841957569122314,3.005135536193848,3.009564161300659,2.903829336166382,3.283798694610596,2.8677520751953125,2.866730213165283,2.993612289428711,3.099640130996704,3.829617977142334,4.269213676452637,2.3867011070251465,3.914738416671753,2.902858018875122,2.7468652725219727,2.5532360076904297,2.3760428428649902,2.221304655075073,2.8707895278930664,1.9957847595214844,1.9349628686904907,1.861026763916016,1.807817459106445,1.752109169960022,1.701230525970459,2.088608980178833,2.083710193634033,2.1901168823242188,1.889545202255249,1.8682514429092407,1.8465418815612795,1.895639181137085,2.1420397758483887,2.183264970779419,1.918694376945496,2.406482458114624,2.340026378631592,2.514289617538452,2.5485010147094727,2.523211002349853,2.414048671722412,3.753306388854981,3.452169418334961,2.082751035690308,2.10455584526062,4.301467418670654,3.7575972080230713,3.504542350769043,2.225929975509644,2.062541484832764,2.775467872619629,2.159691572189331,2.04123592376709,1.9720358848571773,1.907893180847168
O,5.264792919158936,6.950920104980469,3.202223300933838,3.9493701457977295,3.469794988632202,4.131659030914307,4.717460632324219,5.441683769226074,6.65107536315918,5.569764614105225,2.5229594707489014,3.483850240707397,3.360973834991455,3.11484694480896,3.7263922691345215,3.980592250823975,4.347589015960693,4.669962406158447,2.840407133102417,4.720526695251465,3.0160932540893555,2.991316556930542,3.0087761878967285,3.1787900924682617,3.0503158569335938,3.108349084854126,3.212322235107422,3.3352267742156982,3.499591112136841,3.5929718017578125,3.445310592651367,3.139525413513184,3.5290944576263428,3.548610210418701,3.7764525413513184,3.786978721618652,4.330474376678467,3.7109010219573975,3.173635244369507,2.917921543121338,3.082003355026245,3.0664939880371094,2.9805307388305664,3.1407082080841064,3.1624038219451904,2.9279656410217285,3.336498737335205,3.4153857231140137,3.3246395587921143,3.552737236022949,3.210690259933472,3.258105993270874,3.4190893173217773,3.490870475769043,3.992779731750488,4.453100681304932,2.5789103507995605,4.050612926483154,3.108229160308838,2.95141077041626,2.7744839191436768,2.609518527984619,2.487494468688965,3.002362966537476,2.3092241287231445,2.262261390686035,2.207289695739746,2.1546125411987305,2.1050009727478027,2.053876638412476,2.236734390258789,2.2443971633911133,2.4393510818481445,2.131333112716675,2.1215977668762207,2.115672826766968,2.1842737197875977,2.444943904876709,2.4648447036743164,2.227658748626709,2.6338844299316406,2.585860013961792,2.7615983486175537,2.8064398765563965,2.7947447299957275,2.700905561447144,3.935579538345337,3.708419799804688,2.279944896697998,2.3255629539489746,4.4296088218688965,3.847111225128174,3.612272024154663,2.445994138717652,2.302950859069824,2.887859344482422,2.45344352722168,2.3310317993164062,2.2682950496673584,2.21555495262146
F,6.096039772033691,7.4257493019104,3.771067142486572,4.484948635101318,4.0491557121276855,4.7316670417785645,5.42982292175293,6.040926933288574,6.919084072113037,6.2017998695373535,3.029841184616089,4.046980857849121,3.933639526367188,3.7679834365844727,4.368236541748047,4.652368068695068,5.101552963256836,5.313315391540527,3.363694667816162,5.176324367523193,3.273390293121338,3.3236207962036133,3.334615707397461,3.452282190322876,3.475507497787476,3.588104724884033,3.765578269958496,3.9555299282073975,4.0899739265441895,4.291183471679688,4.124358654022217,3.646942615509033,4.199606895446777,4.212498188018799,4.520630359649658,4.473204135894775,4.583610534667969,4.308843612670898,3.5811891555786133,3.2067441940307617,3.3828935623168945,3.363152027130127,3.3483669757843018,3.5182342529296875,3.617408275604248,3.419950485229492,3.927814245223999,4.0586838722229,3.9540321826934814,4.152102470397949,3.7122747898101807,3.808954954147339,4.071426868438721,4.098360538482666,4.2730255126953125,4.829145908355713,2.977634191513061,4.254417419433594,3.501695156097412,3.363779067993164,3.2077739238739014,3.0778276920318604,2.9588537216186523,3.252599239349365,2.815356731414795,2.7809650897979736,2.734768867492676,2.6941072940826416,2.654356002807617,2.628901481628418,2.5390625,2.564504384994507,2.7295072078704834,2.447118043899536,2.4252939224243164,2.443115711212158,2.519744396209717,2.777994155883789,2.805652141571045,2.633768320083618,2.992253303527832,2.957226037979126,3.061408281326294,3.172869682312012,3.149366617202759,3.025545597076416,4.319751262664795,4.156772136688232,2.641406774520874,2.762892723083496,4.662145137786865,4.032951354980469,3.8182432651519775,2.8871512413024902,2.75288200378418,3.129925012588501,2.9926552772521973,2.8957908153533936,2.843914031982422,2.795236110687256
Ne,5.023178577423096,7.1224365234375,3.0453805923461914,3.863008737564087,3.320451021194458,3.97015643119812,4.617932796478272,5.405711174011231,6.68564510345459,5.579754829406738,2.44887924194336,3.3840041160583496,3.275933265686035,3.0146238803863525,3.542742729187012,3.773627996444702,4.241656303405762,4.652412414550781,2.6765427589416504,4.589001178741455,3.000678062438965,3.0175933837890625,2.9711530208587646,3.1255691051483154,2.955718278884888,3.01891565322876,3.050621032714844,3.144442558288574,3.360259294509888,3.388864755630493,3.279355525970459,3.118525266647339,3.396378517150879,3.3359410762786865,3.593297004699707,3.607234477996826,4.264041423797607,3.636590003967285,3.115738868713379,2.902531147003174,3.073296070098877,3.016928434371948,2.911611557006836,3.0177814960479736,3.060059070587158,2.8427505493164062,3.2543740272521973,3.292720079421997,3.091882705688477,3.4516265392303467,3.13335394859314,3.163417339324951,3.2389066219329834,3.402787685394287,3.9408750534057617,4.279024600982666,2.603778123855591,4.159453392028809,3.1368191242218018,2.9734766483306885,2.775193691253662,2.610985517501831,2.4476613998413086,3.074814796447754,2.220952272415161,2.1385598182678223,2.0565719604492188,1.9798530340194704,1.915940284729004,1.86993670463562,2.2384355068206787,2.231968879699707,2.45766019821167,2.143033742904663,2.1169607639312744,2.1051182746887207,2.1506030559539795,2.389256715774536,2.423614025115967,2.195651054382324,2.59082555770874,2.503968000411988,2.780512809753418,2.790390968322754,2.7966837882995605,2.7003695964813232,3.895750999450684,3.66028356552124,2.319601058959961,2.33866810798645,4.51544713973999,3.973721265792847,3.728973388671875,2.464508295059204,2.3018198013305664,2.991639375686645,2.3979716300964355,2.2670397758483887,2.178850650787353,2.117633819580078
