,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm
H,6.873107433319092,8.067187309265137,3.700701713562012,4.566200256347656,4.777925968170166,5.535276412963867,6.425232410430908,7.179958820343018,8.04567813873291,6.272165298461914,3.314671039581299,3.5827174186706543,3.652189254760742,3.913157224655152,4.391600131988525,4.831194877624512,5.286389350891113,5.465062141418457,4.842779636383057,6.007637023925781,2.854931354522705,2.8996379375457764,2.971567153930664,2.978665351867676,3.2034358978271484,3.356797695159912,3.530376434326172,3.704092979431152,3.712502002716065,4.033035755157471,4.720170021057129,3.8344106674194336,4.1769561767578125,4.340292930603027,4.606993198394775,4.702242851257324,5.15672492980957,4.498635768890381,4.232458114624023,3.384052276611328,3.4391391277313232,3.522500991821289,3.644788026809693,3.696791410446167,3.794607400894165,3.617899894714356,4.019904136657715,4.294392108917236,4.693718910217285,5.137930870056152,4.102120399475098,4.261734962463379,4.559264659881592,4.626226902008057,3.3081796169281006,5.079397201538086,3.8608202934265137,3.649818181991577,3.5302822589874268,3.4871714115142822,3.4876158237457275,3.413562059402466,3.3992652893066406,3.719395637512207,3.355465888977051,3.346851348876953,3.363633155822754,3.3853416442871094,3.4175736904144287,3.419965982437134,3.5726089477539062,3.530217409133911,2.8728060722351074,2.860483169555664,2.902401924133301,2.953732490539551,3.017768144607544,3.0782155990600586,3.1342458724975586,3.177011728286743,3.423039436340332,3.662679433822632,3.307398796081543,3.419567823410034,3.4892849922180176,3.517965078353882,3.0081613063812256,3.519605875015259,3.1840932369232178,3.2836759090423584,3.375117540359497,3.230698108673096,3.238532304763794,3.318645477294922,3.2978618144989014,3.228830337524414,3.354956150054932,3.378481149673462,3.395251512527466,3.449735164642334
He,8.06718635559082,9.25240993499756,5.403977394104004,5.864388465881348,6.537933826446533,6.997861862182617,7.699565410614014,8.396167755126953,9.21606731414795,7.489900588989258,5.152304649353027,5.188654899597168,5.445290565490723,5.916485786437988,6.076526165008545,6.4917097091674805,6.840697288513184,7.229269027709961,6.349222183227539,7.827481269836426,4.717884540557861,4.782025337219238,4.859087467193604,4.84203052520752,5.106822490692139,5.258253574371338,5.410664081573486,5.564325332641602,5.506382942199707,5.882416248321533,6.464797496795654,5.7076616287231445,5.893496036529541,6.1111578941345215,6.328482627868652,6.588426113128662,6.55848503112793,6.211244106292725,6.056267738342285,4.684787750244141,4.800667762756348,4.935230731964111,5.119351387023926,5.217596054077148,5.368734359741211,5.359530925750732,5.706119537353516,6.004031181335449,6.315577507019043,6.918442726135254,5.834466934204102,6.000391960144043,6.2271270751953125,6.376940727233887,5.194878101348877,6.691484451293945,5.451457500457764,5.011045932769775,5.2773847579956055,5.253268241882324,5.275717735290527,5.223669528961182,5.235578536987305,5.182883739471436,5.20875883102417,5.208137035369873,5.224865436553955,5.254093170166016,5.301601409912109,5.2990403175354,5.283082962036133,5.224329948425293,3.859919309616089,3.807775259017944,3.893776655197144,3.973288059234619,4.096468925476074,4.165373802185059,4.283654689788818,4.426201343536377,4.860833644866943,5.28176212310791,4.4530534744262695,4.658162593841553,4.813294887542725,4.784335613250732,4.144790172576904,4.766502380371094,4.061891078948975,4.215879917144775,4.183200836181641,3.930674076080322,3.940505981445313,4.0678229331970215,4.07907772064209,3.887198925018311,4.2091169357299805,4.213151931762695,4.241796970367432,4.277706146240234
Li,3.7007012367248535,5.403977394104004,2.4452061653137207,2.494722604751587,3.3575589656829834,3.803141832351685,4.177380561828613,4.788599967956543,5.447447776794434,4.039239883422852,1.5355015993118286,2.0132126808166504,2.1772589683532715,2.2873215675354004,2.688323974609375,3.061044931411743,3.3499765396118164,3.650146961212158,2.292356252670288,4.024235725402832,1.802859783172608,1.8555033206939693,1.9180258512496948,1.891163945198059,2.014166831970215,2.0745444297790527,2.1636204719543457,2.2369816303253174,2.2220447063446045,2.3686652183532715,2.779233932495117,2.2621214389801025,2.508592367172241,2.6123738288879395,2.7600021362304688,2.8229713439941406,2.4348719120025635,2.1535000801086426,2.4541234970092773,1.8925673961639404,1.9225298166275024,1.9582324028015137,2.0608396530151367,2.0511603355407715,2.1185073852539062,1.8411706686019893,2.21869158744812,2.3516626358032227,2.7537102699279785,2.9257497787475586,2.312340021133423,2.4140312671661377,2.6522862911224365,2.615694761276245,1.866543889045716,2.1598117351531982,2.040943145751953,2.0416736602783203,1.7010276317596436,1.6729332208633425,1.6638487577438354,1.6501127481460571,1.6452912092208862,2.083216428756714,1.6638514995574951,1.6891707181930542,1.7207181453704834,1.7594976425170898,1.7927676439285278,1.836957573890686,1.9593206644058228,1.9443477392196653,1.5922003984451294,1.5710424184799194,1.6110914945602417,1.6572504043579102,1.7136770486831665,1.7564350366592407,1.806989669799805,1.856215596199036,2.073060274124145,2.229190826416016,1.9571666717529297,2.066049575805664,2.106355905532837,2.137310028076172,2.22559118270874,2.203834295272827,1.9898136854171755,2.0696053504943848,2.090365409851074,2.0421838760375977,2.036296844482422,2.1408133506774902,2.130695581436157,2.05246639251709,2.182724952697754,2.2149815559387207,2.230826139450073,2.2814865112304688
Be,4.566199779510498,5.864388465881348,2.494722843170166,2.508890390396118,3.639726161956787,3.841985702514648,4.370628833770752,5.043366432189941,5.814836502075195,4.199863433837891,2.019140720367432,2.043208360671997,2.3102643489837646,2.7161741256713867,2.8262922763824463,3.211444854736328,3.495187282562256,3.875303030014038,2.965537548065185,4.565840244293213,2.1375741958618164,2.1981756687164307,2.268351554870605,2.258504867553711,2.376509428024292,2.433298826217652,2.515033721923828,2.575573444366455,2.586587905883789,2.732637405395508,3.133714199066162,2.642500400543213,2.8546700477600098,2.9784271717071533,3.1158535480499268,3.2286365032196045,2.8872933387756348,2.7708702087402344,2.865463733673096,2.259440422058105,2.311202049255371,2.365540742874145,2.5032105445861816,2.5176947116851807,2.604872465133667,2.338407039642334,2.707263469696045,2.855776309967041,3.2566564083099365,3.5087454319000244,2.8059043884277344,2.906045913696289,3.1328659057617188,3.1058356761932373,1.9297447204589844,2.884847402572632,2.5104074478149414,2.45664119720459,2.173081159591675,2.1350643634796143,2.119715690612793,2.0807642936706543,2.067214012145996,2.5014047622680664,2.042973041534424,2.055731773376465,2.069023847579956,2.087998867034912,2.122798204421997,2.1604220867156982,2.3487839698791504,2.323028564453125,1.831506609916687,1.8258211612701416,1.877286553382873,1.9311456680297847,1.9904621839523315,2.0321462154388428,2.078357458114624,2.1243107318878174,2.3958702087402344,2.557544946670532,2.246253967285156,2.3726465702056885,2.385782480239868,2.3948824405670166,2.273739814758301,2.4476208686828613,2.212066888809204,2.300428628921509,2.37870454788208,2.2583532333374023,2.2549281120300293,2.3522439002990723,2.338742256164551,2.2571322917938232,2.3929548263549805,2.423567771911621,2.437641143798828,2.485687255859375
B,4.777926921844482,6.537934303283691,3.3575594425201416,3.639726161956787,4.219021320343018,4.798881530761719,5.295403003692627,5.903026103973389,6.571175575256348,5.1757659912109375,2.279171228408813,2.835196256637573,3.02532958984375,3.1597819328308105,3.614848136901856,4.021245002746582,4.357485771179199,4.631360054016113,3.1609039306640625,4.844156265258789,2.197384834289551,2.258491516113281,2.339398145675659,2.3132004737854004,2.4724740982055664,2.547230958938598,2.637174606323242,2.752890586853028,2.7017409801483154,2.910764217376709,3.46710205078125,2.7362136840820312,3.028127193450928,3.1591920852661133,3.3498544692993164,3.4567370414733887,3.266512155532837,2.6891114711761475,2.883618354797364,2.2470734119415283,2.303739547729492,2.361534833908081,2.4769446849823,2.4910829067230225,2.5797324180603027,2.3026227951049805,2.703282833099365,2.833495140075684,3.2742066383361816,3.5050208568573,2.7821972370147705,2.881241798400879,3.134603500366211,3.072620391845703,2.5749967098236084,2.706866502761841,2.3625009059906006,2.3425068855285645,2.054438591003418,2.015496015548706,2.002467155456543,1.964028239250183,1.950190186500549,2.4001002311706543,1.9176130294799805,1.9287052154541016,1.948483943939209,1.9708415269851685,1.994075059890747,2.014568567276001,2.245554208755493,2.209493637084961,1.7425090074539185,1.706639289855957,1.745126485824585,1.794741988182068,1.8581520318984983,1.8924505710601809,1.9515002965927124,2.012492656707764,2.27342176437378,2.4207987785339355,2.115454196929932,2.2450151443481445,2.294174194335937,2.317201614379883,2.438288927078247,2.3653180599212646,2.1041176319122314,2.189786911010742,2.2669174671173096,2.164930820465088,2.1621134281158447,2.208942174911499,2.1947238445281982,2.129427909851074,2.2446560859680176,2.277173519134521,2.292818546295166,2.351933002471924
C,5.535276412963867,6.997861862182617,3.8031415939331055,3.84198522567749,4.798881530761719,5.177332401275635,5.64907169342041,6.274946689605713,7.006953716278076,5.513017654418945,2.904064178466797,3.182527780532837,3.4877941608428955,3.753023386001587,4.069749355316162,4.51516056060791,4.842085838317871,5.197717189788818,3.8815724849700928,5.574405670166016,2.687495470046997,2.7409634590148926,2.8075151443481445,2.785786390304565,2.949679374694824,3.0440878868103027,3.150707244873047,3.273877143859864,3.232572555541992,3.47675895690918,4.054563999176025,3.306652545928955,3.55183219909668,3.7122278213500977,3.900742769241333,4.045595645904541,3.851718187332153,3.538537979125977,3.537907600402832,2.830230236053467,2.9141554832458496,2.9819393157958984,3.102893352508545,3.1423938274383545,3.2315731048583984,2.964275360107422,3.348985433578491,3.5309767723083496,3.95101261138916,4.290044784545898,3.4196252822875977,3.527346611022949,3.789406299591065,3.788572311401367,2.894845962524414,3.6146199703216553,3.0209288597106934,2.9572465419769287,2.688258647918701,2.6474368572235107,2.6350748538970947,2.584780216217041,2.5716378688812256,3.002377986907959,2.5209755897521973,2.518970727920532,2.511610984802246,2.518684864044189,2.5492846965789795,2.553278923034668,2.83906626701355,2.80407452583313,2.0755343437194824,2.0439724922180176,2.093148946762085,2.1421990394592285,2.204053401947021,2.230978012084961,2.272273540496826,2.323563814163208,2.633975028991699,2.8203113079071045,2.4492669105529785,2.5849945545196533,2.6201813220977783,2.61841344833374,2.62659239768982,2.658907175064087,2.4723565578460693,2.5559399127960205,2.629121780395508,2.4738149642944336,2.47597336769104,2.5355467796325684,2.521751880645752,2.4611499309539795,2.5810842514038086,2.5965914726257324,2.609104633331299,2.648632526397705
N,6.42523193359375,7.699564933776855,4.177380561828613,4.370628833770752,5.295403480529785,5.649071216583252,6.21104907989502,6.895063877105713,7.66802167892456,6.028800010681152,3.5530567169189453,3.627963066101074,3.938502311706543,4.381559371948242,4.578030109405518,5.017336368560791,5.349616050720215,5.733010292053223,4.6854448318481445,6.298176765441895,3.177544355392456,3.2293496131896973,3.297102212905884,3.276678562164306,3.48812222480774,3.6149685382843018,3.733856916427612,3.874300241470337,3.817832946777344,4.125328063964844,4.72080659866333,3.930931806564331,4.125101566314697,4.309359550476074,4.525739669799805,4.746737480163574,4.732320785522461,4.3551177978515625,4.237913131713867,3.394373893737793,3.487934112548828,3.570610284805298,3.679235219955444,3.741084575653076,3.8426389694213854,3.705367088317871,4.041335105895996,4.256324768066406,4.630021572113037,5.085357189178467,4.138288497924805,4.260003089904785,4.495907306671143,4.560282230377197,3.466068744659424,4.691836357116699,3.6937685012817374,3.607636213302612,3.417046308517456,3.3754186630249023,3.374341011047364,3.3240902423858643,3.318726062774658,3.6441166400909424,3.2790563106536865,3.2649567127227783,3.262798547744751,3.2707653045654297,3.3023972511291504,3.2894997596740723,3.5338797569274902,3.484485626220703,2.5487658977508545,2.498387098312378,2.5446856021881104,2.5743303298950195,2.6437931060791016,2.6682560443878174,2.716084718704224,2.7387282848358154,3.181047916412353,3.444310188293457,2.905245780944824,3.0777859687805176,3.118931531906128,3.050251007080078,2.853313446044922,3.122962236404419,2.8513777256011963,2.939053535461426,3.1367902755737305,2.8672661781311035,2.872331619262696,2.898303508758545,2.893400192260742,2.848015308380127,2.961952209472656,2.984679698944092,2.9994773864746094,3.039714097976685
O,7.179958820343018,8.396167755126953,4.788599967956543,5.0433669090271,5.903027057647705,6.274947166442871,6.895064353942871,7.5764970779418945,8.36596965789795,6.691950798034668,4.221576690673828,4.309138298034668,4.591781139373779,5.031804084777832,5.251694679260254,5.681643486022949,6.0301618576049805,6.404841899871826,5.434833526611328,7.025706768035889,3.7734978199005127,3.832327365875244,3.908623695373535,3.8944411277771,4.144296169281006,4.28442907333374,4.418647289276123,4.583950042724609,4.519326686859131,4.871871948242188,5.510347366333008,4.65562105178833,4.848479747772217,5.055386543273926,5.28062629699707,5.533878326416016,5.566860198974609,5.192778587341309,4.997802257537842,3.889586925506592,3.986330509185791,4.099136829376221,4.242886543273926,4.353189468383789,4.486898422241211,4.491401195526123,4.802422523498535,5.074659824371338,5.399293899536133,5.9214043617248535,4.902132987976074,5.061521530151367,5.294576644897461,5.406982898712158,4.314465522766113,5.708624839782715,4.416323184967041,4.189628601074219,4.170490264892578,4.14630126953125,4.167666912078857,4.1373395919799805,4.146214485168457,4.252486705780029,4.110570907592773,4.104893207550049,4.111440181732178,4.13330602645874,4.180905818939209,4.16984224319458,4.276154518127441,4.205190658569336,3.029884099960327,2.980039596557617,3.0364136695861816,3.075037002563477,3.15948224067688,3.178250789642334,3.2452433109283447,3.30470871925354,3.79288911819458,4.157136917114258,3.4311747550964355,3.637683868408203,3.7403934001922607,3.638104677200317,3.2668728828430176,3.669495105743408,3.252525806427002,3.346486568450928,3.5788369178771973,3.2471704483032227,3.249551296234131,3.281085968017578,3.2758026123046875,3.205169439315796,3.3472695350646973,3.3673129081726074,3.391265392303467,3.435493230819702
F,8.04567813873291,9.216066360473633,5.447447776794434,5.8148369789123535,6.571174621582031,7.006953716278076,7.668021202087402,8.365968704223633,9.166415214538574,7.442253112792969,4.939593315124512,5.044343948364258,5.299789905548096,5.714658737182617,5.972238540649414,6.404531478881836,6.776583671569824,7.148027420043945,6.215968608856201,7.788755416870117,4.466626167297363,4.5274577140808105,4.612009048461914,4.600071907043457,4.872964382171631,5.033003807067871,5.177733898162842,5.343583106994629,5.2765092849731445,5.641520977020264,6.30423641204834,5.430267333984375,5.620452404022217,5.844088554382324,6.078551292419434,6.346859931945801,6.386504650115967,6.00543212890625,5.836814403533936,4.513230800628662,4.628210067749023,4.752108573913574,4.900689125061035,5.041091442108154,5.224903106689453,5.338983535766602,5.618311882019043,5.902152061462402,6.229641914367676,6.771817207336426,5.773366928100586,5.95325231552124,6.184393882751465,6.320099353790283,5.277771472930908,6.699959754943848,5.3284010887146,4.9404296875,5.183215141296387,5.175822734832764,5.208630561828613,5.178411483764648,5.198947906494141,5.074567317962647,5.18341064453125,5.193939685821533,5.21865701675415,5.251265525817871,5.303579807281494,5.293871402740479,5.252610683441162,5.196639060974121,3.718421220779419,3.656723499298096,3.735105037689209,3.803036212921143,3.9291257858276367,3.968018293380737,4.064122200012207,4.194282531738281,4.7029290199279785,5.143497467041016,4.235986232757568,4.454062461853027,4.599107265472412,4.513249397277832,3.852571487426758,4.448708534240723,3.855890512466431,3.99145770072937,4.129370212554932,3.773881673812866,3.78097152709961,3.788862705230713,3.794121265411377,3.671953201293945,3.916403770446777,3.909488439559937,3.932652711868286,3.949568748474121
Ne,6.272165298461914,7.4899001121521,4.039239883422852,4.199863433837891,5.175765514373779,5.513018608093262,6.028800010681152,6.69195032119751,7.442252159118652,5.790116310119629,3.5330934524536133,3.5301804542541504,3.841696977615357,4.2767252922058105,4.433708190917969,4.848423480987549,5.172929286956787,5.559633255004883,4.669514656066895,6.2471418380737305,3.2018284797668457,3.2543656826019287,3.3224472999572754,3.3222849369049072,3.514520168304444,3.6210455894470215,3.73354721069336,3.852125644683838,3.833722114562988,4.103597640991211,4.63485050201416,3.958134651184082,4.148946285247803,4.322650909423828,4.502301216125488,4.701470375061035,4.705889225006104,4.3064165115356445,4.24945592880249,3.4666013717651367,3.5562188625335693,3.650205135345459,3.754585027694702,3.848734855651856,3.950890302658081,3.939883947372437,4.187845706939697,4.378972053527832,4.689654350280762,5.079382419586182,4.365176677703857,4.502110481262207,4.703166484832764,4.761763095855713,3.744030475616455,4.861770153045654,3.926873445510864,3.806154489517212,3.666855335235596,3.6275460720062256,3.6275320053100586,3.591552495956421,3.5980591773986816,3.860253810882568,3.6018903255462646,3.617848873138428,3.633865356445313,3.658605813980103,3.695267677307129,3.698858976364136,3.814543247222901,3.7986536026000977,2.931795358657837,2.8790132999420166,2.932912826538086,2.9734749794006348,3.059330940246582,3.080197095870972,3.133713722229004,3.1556589603424072,3.633125305175781,3.893221855163574,3.3273751735687256,3.523300886154175,3.585068702697754,3.4903812408447266,3.077434539794922,3.3688526153564453,3.081082344055176,3.1621885299682617,3.374256134033203,3.0765185356140137,3.0844013690948486,3.031023025512696,3.024794101715088,2.9972829818725586,3.1136605739593506,3.111844062805176,3.1210508346557617,3.1438913345336914
